Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-06-30,,,,,,,,,,,,,,,,,,
2023-12-31,1.94800,1.20400,-3.15600,0.14800,-3.00800,-3.00800,-3.00800,-3.00800,-3.15600,-3.15600,2.61160,0.09290,0.15300,-52.42250,-52.42250,-32.30940,-47.54980,0.36660
2023-09-30,1.54200,1.10000,-2.64200,0.21900,-2.42300,-2.42300,-2.42300,-2.42300,-2.64200,-2.64200,3.34260,0.15580,0.24010,-46.87560,-46.87560,-29.68270,-39.57210,
2023-06-30,1.77600,1.27200,-3.04800,0.22400,-2.82400,-2.82400,-2.82400,-2.82400,-3.04800,-3.04800,4.11070,0.11900,0.17600,-37.39410,-37.39410,-26.05170,-32.94450,0.62970
2023-03-31,2.05400,1.23300,-3.28700,0.25600,-3.03100,-3.03100,-3.03100,-3.03100,-3.28700,-3.28700,5.20800,0.09430,0.13450,-30.06950,-30.06940,-22.60590,-27.23520,
2022-12-31,1.94100,1.33200,-3.28000,-4.55100,-7.83100,-7.83100,-7.83100,-7.83100,-3.28000,-3.28000,8.71960,0.06020,0.08370,-57.44990,-57.44990,-48.44120,-53.99200,1.20210
2022-09-30,1.94800,1.65800,-3.60600,-0.06600,-3.67200,-3.67200,-3.67200,-3.67200,-3.60600,-3.60600,7.48090,0.06740,0.09430,-24.58000,-24.58000,-20.09850,-22.92420,
2022-06-30,2.73400,1.69700,-4.43100,2.33800,-2.09300,-2.09300,-2.09300,-2.09300,-4.43100,-4.43100,10.16530,0.05730,0.07820,-11.78960,-11.78960,-10.08920,-11.11350,
2022-03-31,1.56000,2.01600,-3.57600,2.19600,-1.38000,-1.38000,-1.38000,-1.38000,-3.57600,-3.57600,8.30860,0.05620,0.07590,-6.96860,-6.96860,-5.83190,-6.57680,
2021-12-31,2.22400,5.70700,-7.93100,-2.95000,-10.88100,-10.88100,-10.88100,-10.88100,-7.93100,-7.93100,5.68100,0.05580,0.07290,-53.45880,-53.45880,-42.06030,-50.47780,2.01680
2021-09-30,0.58100,2.36200,-2.94300,5.15900,2.21600,2.21600,2.21600,2.21600,-2.94300,-2.94300,4.11010,0.03640,0.31310,16.66040,16.66040,12.21270,16.05330,
2021-06-30,0.43700,0.50300,-0.94000,-0.05900,-0.99900,-0.99900,-0.99900,-0.99900,-0.84700,-0.94000,0.37310,-0.05460,-1.56640,10.44430,10.44430,-16.94940,11.01430,
2021-03-31,0.66700,0.95100,-1.61800,-5.67300,-7.29100,-7.29100,-7.29100,-7.29100,-1.61800,-1.61800,,,,,,,,
2020-12-31,,,,,,,,,,,,,,,,,,
2020-09-30,1.14300,0.48800,-1.63100,1.97900,0.34800,0.34800,0.34800,0.34800,-1.63100,-1.63100,,,,,,,,
2019-12-31,,,,,,,,,,,,,,,,,,
