Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,58.22810,39.16410,19.06410,9.74340,16.80230,0.46110,26.08450,-7.02050,1.97940,-5.04110,-0.02650,-5.01460,-5.01460,,-4.11960,-7.02050,-7.02050,36.43200,36.43200,-0.11310,-0.11310,2.13190,0.01590,32.74030,-12.05690,-12.05690,-8.65750,-7.07490,0.08790,0.59410,151.48850,-1.18040,-1.32570,-0.75710,-1.18040,,-0.1394,-0.1262
2024-06-30,95.63410,60.64250,34.99160,25.74970,15.13230,0.48320,40.39880,-5.40720,2.15930,-3.24780,-0.33630,-2.91160,-2.91160,35.92490,33.60640,-5.40720,-5.40720,36.32100,36.32100,0.92530,0.92530,1.76610,0.04590,36.58910,-5.65400,-5.65400,-3.39610,35.14060,0.12160,0.74440,120.90010,-0.67710,-0.76020,-0.37020,-0.67710,,-0.6898,-0.703
2024-03-31,101.04080,62.98610,38.05470,29.78170,18.02410,0.48220,47.32350,-9.26880,0.84690,-8.42200,0.01240,-8.43440,-8.43440,-7.07410,-14.57550,-9.26880,-9.26880,36.32000,36.32000,-0.40090,-0.40090,1.32150,0.05690,37.66270,-9.17330,-9.17330,-8.33520,-14.42530,0.08880,0.80410,111.92780,-2.12030,-2.41200,-0.74160,-2.12030,,-0.44320,-0.44320
2023-12-31,127.53800,78.14030,49.39770,26.84670,33.15100,-0.26590,60.26360,-10.86580,0.53980,-10.32610,0.43060,-10.75670,-10.75670,,-11.14600,-10.86580,-10.86590,36.31900,36.31900,-0.30680,-0.30680,1.05640,0.08540,38.73180,-8.51970,-8.51970,-8.09650,-8.73930,0.11190,1.27010,70.86180,-2.58250,-3.07410,-0.94350,-2.58250,10.68020,0.6047,0.5842
2023-09-30,116.50070,75.74660,40.75410,31.78910,23.53460,1.33210,53.99160,-13.23740,0.40600,-12.83140,0.18520,-13.01660,-13.01660,,-12.55340,-13.23740,-13.23740,36.32000,36.32000,-0.34530,-0.34530,1.17500,0.05780,34.98190,-11.36250,-11.36250,-11.01400,-10.77540,0.10000,0.72660,123.86930,-3.08880,-3.68410,-1.11770,-3.08880,,-0.6383,-0.6274
2023-06-30,138.80680,88.49410,50.31270,34.27360,28.53940,1.30220,61.51080,-11.19810,0.04190,-11.15620,1.03730,-12.19340,-12.19340,,-11.63500,-11.19810,-11.19810,36.25700,36.25700,-0.32090,-0.32090,1.20570,0.08140,36.24660,-8.06740,-8.06740,-8.03720,-8.38220,0.11480,0.81750,110.08510,-2.71550,-3.26040,-1.00800,-2.71550,11.51380,-0.0207,-0.0316
2023-03-31,135.37330,85.16690,50.20640,42.06040,25.03440,0.16160,66.93330,-16.72690,-0.06960,-16.79650,-0.27370,-16.52280,-16.52280,,-15.91720,-16.72690,-16.72690,36.32000,36.32000,-0.43860,-0.43860,1.16580,0.09020,37.08740,-12.35610,-12.35610,-12.40750,-11.75800,0.11010,0.77370,116.32970,-3.62470,-4.38670,-1.34440,-3.62470,,-2.46860,-2.46860
2022-12-31,175.28650,104.06130,71.22520,54.44580,49.71390,7.57210,96.58770,-25.36240,-2.46330,-27.82570,-1.80680,-26.01900,-26.01890,,-23.22380,-25.36240,-25.36240,36.49160,36.49160,-0.65790,-0.65790,1.17040,0.08820,40.63360,-14.46910,-14.46910,-15.87440,-13.24910,0.13280,1.25360,71.79550,-5.34140,-6.46670,-1.97120,-5.34140,12.49040,0.6141,0.5628
2022-09-30,156.05430,101.35350,54.70080,41.93430,38.13260,2.77550,77.29140,-22.59060,0.28340,-22.30720,-1.78530,-20.52190,-20.52190,,-19.33260,-22.59060,-22.59060,36.82310,36.82310,-0.52560,-0.52560,1.24110,0.09300,35.05240,-14.47610,-14.47610,-14.29450,-12.38840,0.11920,0.88620,101.55900,-3.97830,-4.80150,-1.56810,-3.97830,,-0.3703,-0.3703
2022-06-30,171.42530,109.39520,62.03010,57.07800,45.36830,-1.55960,104.00590,-41.97590,0.60750,-41.36830,-2.37630,-38.99210,-38.99210,,-37.01210,-41.97590,-41.97590,36.54050,36.54050,-1.01300,-1.01300,1.22330,0.07780,36.18490,-24.48640,-24.48640,-24.13200,-21.59080,0.12600,0.77970,115.42330,-7.52760,-9.20960,-2.86620,-7.52760,,1.4914,1.513
2022-03-31,160.58460,105.57730,55.00730,57.21090,50.46480,-3.26310,110.93880,-55.93150,0.29300,-55.63850,-3.26670,-52.37170,-52.37170,,-50.05140,-55.93150,-55.93150,36.93830,36.93830,-1.35500,-1.35500,1.28540,0.08420,34.25440,-34.82990,-34.82990,-34.64750,-31.16820,0.12160,0.79930,112.60110,-9.48480,-11.65850,-3.96450,-9.48480,14.15830,-4.77300,-4.79460
