Date,revenue,gross-profit,selling-general-administrative-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9968.00000,9968.00000,9124.00000,839.00000,8476.00000,1727.00000,6749.00000,6749.00000,6134.00000,3608.23500,3608.23500,1.70000,1.70000,0.34080,1.90900,51.00190,36.90960,0.00540,,3.37410,0.21780,2.22420,,0,0
2024-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,,,,
2024-03-31,12868.00000,12868.00000,8870.00000,3997.00000,12650.00000,1813.00000,10837.00000,10837.00000,10183.00000,3767.60000,3767.60000,2.70300,2.70300,0.33830,2.77090,60.81440,48.95440,0.00690,,5.46280,0.36120,3.61450,53.07890,0.00000,
2023-12-31,,,,,,,,,,,,,0.00000,,,,,,,,,,,0,0
2023-09-30,7505.00000,7505.00000,9038.00000,-1534.00000,7714.00000,1448.00000,6266.00000,6266.00000,5619.00000,3875.17200,3875.17200,1.45000,1.45000,0.31940,1.84400,49.19020,35.83090,0.00520,,3.30070,0.20740,2.24630,49.24510,0,0
2023-03-31,11945.00000,11945.00000,8020.00000,3927.00000,12886.00000,1860.00000,11026.00000,11026.00000,10327.00000,3980.60000,3980.60000,2.59400,2.59400,0.30170,2.27320,62.94450,50.44450,0.00680,,5.58210,0.36880,3.89780,50.04130,0.00000,
2022-09-30,4084.00000,4084.00000,8854.00000,-4777.00000,3229.00000,572.00000,2657.00000,2657.00000,2002.00000,4004.00000,4004.00000,0.50000,0.50000,0.32000,1.57700,29.29600,18.16370,0.00370,,1.42850,0.08880,0.97140,47.11550,0,0
2022-03-31,6486.00000,6486.00000,8812.00000,-2331.00000,4144.00000,712.00000,3432.00000,3432.00000,2755.00000,3935.71400,3935.71400,0.70000,0.70000,0.29430,2.15080,33.63090,22.35840,0.00410,,1.67690,0.11360,1.18350,51.24650,0.00000,
2021-09-30,6123.00000,6123.00000,7250.00000,-1207.00000,5403.00000,1161.00000,4242.00000,4242.00000,3543.00000,3936.66700,4168.23500,0.90000,0.85000,0.28630,1.41890,40.34500,26.45610,0.00450,,2.05240,0.14290,1.46480,51.13030,0,0
2021-03-31,7357.00000,7357.00000,8092.00000,-735.00000,5779.00000,1211.00000,4568.00000,4568.00000,3880.00000,4084.21000,4084.21000,0.95000,0.95000,0.31620,2.12480,39.65550,26.62460,0.00490,,2.19920,0.15440,1.50380,51.43780,0.00000,
