Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.19710,3.07970,1.11730,0.40070,1.96360,,2.36430,-1.24690,-0.06430,-1.31120,-1.31120,-1.31120,-1.31120,-1.19870,-1.24690,6.21700,6.21700,-0.21000,-0.21000,1.40710,0.14830,0.25550,26.62180,-29.70990,-29.70990,-31.24210,-31.24210,0.24350,0.88990,1.34370,66.98120,-12.93470,-128.18560,-7.60640,-11.01650,1.59640,-0.05130,-0.05520
2024-06-30,4.71620,3.69180,1.02450,0.35450,2.02630,,2.38080,-1.35640,-0.05280,-1.40920,-1.41110,-1.41110,-1.41110,-1.30060,-1.35640,6.06800,6.06800,-0.23000,-0.23000,1.45070,0.16060,0.32230,21.72190,-28.75920,-28.75920,-29.87920,-29.92020,0.27890,1.28720,1.33020,67.65880,-14.01600,-147.44780,-8.34350,-11.76490,1.65750,-0.1609,-0.1628
2024-03-31,5.24260,3.38380,1.85870,0.19280,1.92450,,2.11730,-0.25850,-0.05850,-0.31710,-0.31710,-0.31710,-0.31710,-0.20620,-0.25850,6.06800,6.06800,-0.05000,-0.05000,1.63670,0.13960,0.24720,35.45460,-4.93130,-4.93130,-6.04770,-6.04770,0.28690,1.11600,1.24120,72.51000,-2.81550,-14.74320,-1.73520,-2.42240,1.85550,-0.0352,-0.0532
2023-12-31,4.82430,3.37330,1.45100,0.22170,1.93340,,2.15520,-0.70420,-0.05460,-0.75880,-0.75880,-0.75880,-0.75880,-0.65150,-0.70420,6.06700,6.06700,-0.13000,-0.13000,1.81600,0.14800,0.22290,30.07650,-14.59620,-14.59620,-15.72880,-15.72880,0.27260,1.08820,1.37380,65.51000,-6.70480,-34.34430,-4.28770,-5.71280,1.86520,-0.0198,-0.0397
2023-09-30,4.32130,2.85760,1.46360,0.21280,1.65610,,1.86890,-0.40530,-0.05910,-0.46440,-0.46440,-0.46440,-0.46440,-0.35370,-0.40530,6.06700,6.06700,-0.08000,-0.08000,1.80170,0.15260,0.22770,33.87000,-9.37910,-9.37910,-10.74720,-10.74720,0.22660,0.96180,0.95330,94.41270,-3.97240,-17.93900,-2.43550,-3.36630,1.92700,-0.22630,-0.23140
2023-06-30,5.02410,3.26500,1.75910,0.38530,1.98840,,2.37370,-0.61450,0.52040,-0.09420,-0.09610,-0.09610,-0.09610,-0.56130,-0.61450,5.66600,5.66600,-0.02000,-0.02000,1.87450,0.15710,0.23250,35.01350,-12.23180,-12.23180,-1.87470,-1.91330,0.25450,1.17610,1.28580,69.99540,-0.79790,-3.25050,-0.48690,-0.67260,1.98560,-0.1076,-0.1071
2023-03-31,5.04810,3.31200,1.73610,0.20640,2.02300,,2.22930,-0.49330,0.09480,-0.39840,-0.39840,-0.39840,-0.39840,-0.44060,-0.49330,5.64000,5.64000,-0.07000,-0.07000,1.27330,0.15370,0.22430,34.39140,-9.77140,-9.77140,-7.89280,-7.89280,0.27760,1.11900,1.14990,78.26600,-4.10840,-63.82270,-2.19080,-3.47700,1.71920,0.0904,0.0892
2022-12-31,5.88700,3.28750,2.59950,0.15530,1.87310,,2.02840,0.57110,-0.06240,0.50870,0.50870,0.50870,0.50870,0.62340,0.57110,5.63800,5.93600,0.09000,0.09000,1.36440,0.15910,0.23120,44.15640,9.70050,9.70050,8.64060,8.64060,0.33700,1.15470,1.45990,61.64930,5.16300,64.79950,2.91180,4.34160,1.74740,-0.0325,-0.032
2022-09-30,5.08530,3.44590,1.63940,0.24550,1.49580,,1.74120,-0.10180,-0.05690,-0.15870,-0.15870,-0.15870,-0.15870,-0.04940,-0.10180,5.63800,5.63800,-0.03000,-0.03000,1.35320,0.17980,0.26520,32.23880,-2.00190,-2.00190,-3.12120,-3.12120,0.29620,1.25050,1.48920,60.43330,-1.76890,169.23490,-0.92450,-1.45090,0.53050,0.03540,0.03260
2022-06-30,4.79350,3.35210,1.44140,0.23320,1.63860,0.01000,1.86190,-0.42050,0.69070,0.27020,0.26930,0.26930,0.26930,-0.40410,-0.42050,5.23000,5.23000,-0.03000,-0.03000,1.41830,0.18770,0.27660,30.06910,-8.77160,-8.77160,5.63780,5.61790,0.28700,1.10920,1.79950,50.01520,3.00170,-327.95780,1.61220,2.43830,1.59130,-0.0214,-0.0324
2022-03-31,4.65140,2.92310,1.72820,0.21490,1.57440,,1.78940,-0.06110,-0.05280,-0.11390,-0.11390,-0.11390,-0.11390,0.00510,-0.06110,5.60100,5.60100,-0.02000,-0.02000,1.29320,0.20320,0.30290,37.15500,-1.31400,-1.31400,-2.44870,-2.44870,0.26940,0.98580,1.38940,64.77520,-1.33550,22.38490,-0.65960,-1.06410,1.51510,-0.0277,-0.033
