Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.37110,1.14790,2.22320,11.60500,11.60510,-9.38180,-9.38180,0.03730,-9.41920,-9.41920,-9.41920,32.47800,32.47800,-0.29000,-0.29000,-6.58470,-421.99840,-423.67770,0.02310,160.77020,160.77040,-9.76880,160.77040,-0.12380,-0.267,-0.2669
2024-06-30,2.85290,0.36800,2.48480,13.83120,13.83130,-11.34640,-11.34640,0.02320,-11.36960,-11.36960,-11.36960,38.32530,38.32530,-0.28920,-0.28920,-4.76480,-456.62370,-457.55870,0.02780,140.79530,140.79540,-12.73550,140.79530,-0.20390,-0.1697,-0.1697
2024-03-31,2.18140,0.20720,1.97410,9.99680,9.99690,-8.02270,-8.02270,0.03750,-8.06020,-8.06020,-8.06020,33.94300,33.94300,-0.22720,-0.22720,2.47480,-406.39180,-408.29240,0.03230,-293.73610,-293.73670,-13.18810,-293.73680,0.07620,-0.20200,-0.20160
2023-12-31,-4.33710,-0.02130,-4.31580,9.08060,9.08060,-13.39640,-13.39640,0.23090,-13.62730,-13.62730,-13.62730,31.59640,31.59640,-0.40560,-0.40560,0.83980,310.40590,315.75700,-0.06480,-168.18060,-168.18060,-20.46480,-168.18060,0.24380,-0.3173,-0.1235
2023-09-30,3.16980,0.39300,2.77680,15.64170,15.64170,-12.86490,-12.86490,0.05590,-12.92080,-12.92080,-12.92080,32.68100,32.68100,-0.40000,-0.40000,0.58470,-463.30760,-465.32020,0.03360,-64.41180,-64.41180,-15.64620,-64.41180,0.61330,-0.4082,-0.4089
2023-06-30,4.61170,0.24770,4.36400,14.92290,14.92290,-10.55890,-10.55890,0.02640,-10.58530,-10.58530,-10.58530,31.44540,31.44540,-0.33050,-0.33050,0.24530,-241.95670,-242.56090,0.04580,-41.50550,-41.50550,-11.10710,-41.50550,0.78090,-0.2655,-0.268
2023-03-31,5.50130,0.16510,5.33620,17.43540,17.43540,-12.09930,-12.09930,-0.02660,-12.07260,-12.07260,-12.07260,29.37190,29.37190,-0.41310,-0.41310,0.24180,-226.74110,-226.24170,0.05460,-46.70060,-46.70070,-12.36120,-46.70060,0.86470,-0.34720,-0.34720
2022-12-31,-2.09490,,-2.09490,28.66080,,-30.75570,-30.89630,-0.10790,-30.78840,-30.78840,-30.78840,27.15220,27.15220,-1.11540,-1.11540,0.16490,1382.05300,1377.22400,-0.02210,-113.39990,-113.39980,-30.41690,-113.39990,0.96070,-0.6317,-0.6349
2022-09-30,5.94810,,5.94810,8.21450,,-2.26640,-2.26640,0.12720,-2.39350,-2.39350,-2.39350,26.86890,26.86890,-0.08260,-0.08260,,-38.10220,-40.24050,0.15240,27.59090,27.59090,-6.13300,27.59090,-13.03210,0.0118,0.0116
2022-06-30,-4.07460,,-4.07460,7.13090,,-11.20550,-11.20550,-0.31410,-10.89130,-10.89130,-10.89130,26.86890,26.86890,-0.41310,-0.41310,,275.00840,267.29860,-0.10610,128.26290,128.26290,-28.36210,128.26290,-12.75610,-0.1406,-0.1406
2022-03-31,3.52420,,3.52420,3.55210,,-0.02790,-0.02790,0.41950,-0.44740,-0.44740,-0.44740,26.86890,26.86890,-0.02070,-0.02070,,-0.79160,-12.69490,0.08590,5.77670,5.77670,-1.09060,5.77670,-11.63450,0.04950,0.01730
2021-12-31,136.25030,0.48400,135.76630,15.28100,15.28100,120.48530,120.48500,23.50500,96.98000,-0.25300,-0.25300,0.66570,0.66570,-1.75570,-1.75570,,1126028.00000,-2364.48600,0.00010,-0.41380,-0.41380,-0.20650,-0.41380,2.34610,-0.3623,-0.3623
2021-09-30,0.00000,,0.00000,0.20980,,-0.20970,-0.20970,,-0.20970,-0.20970,-0.20740,0.66570,0.66570,-0.30980,-0.30980,-1.36400,,,0.00000,9.04610,9.04460,-0.47980,9.04450,,-0.2898,-0.2898
