Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.84200,2.89800,-9.74000,1.06100,-8.67900,,-8.67900,-8.67900,-8.67900,-9.74000,-9.74000,30.68700,30.68700,-0.28000,-0.28000,30.72850,-7.73530,-7.49350,-7.73530,3.63350,0,0
2024-06-30,9.07800,1.39300,-10.47100,0.97700,-9.49400,,-9.49400,-9.49400,-9.49400,-10.47100,-10.47100,30.32400,30.32400,-0.31000,-0.31000,,-8.28500,-8.01660,-8.28500,3.74340,0,0
2024-03-31,6.76500,1.56300,-8.32800,0.46300,-7.86500,0.00600,-7.87100,-7.87100,-7.87100,-8.32800,-8.32800,29.67700,29.67700,-0.27000,-0.27000,,-8.15900,-7.78170,-8.15900,3.23790,0.00000,
2023-12-31,4.86200,2.09300,-6.95500,-0.03600,-6.99100,-0.00100,-6.99000,-6.99000,-6.99000,-6.95500,-6.95500,26.59400,26.59400,-0.20000,-0.20000,21.35840,-7.72960,-7.38570,-7.72960,3.10240,-1.1219,-1.1243
2023-09-30,8.74300,2.21800,-10.96100,0.02700,-10.93400,0.00100,-10.93500,-10.93500,-10.93500,-10.96100,-10.96100,27.31600,27.31600,-0.40000,-0.40000,,-20.71260,-18.98500,-20.71260,1.91290,0,0
2023-06-30,5.51600,1.35500,-6.87100,0.06200,-6.80900,0.00300,-6.81200,-6.81200,-6.81200,-6.87100,-6.87100,25.78500,25.78500,-0.26000,-0.26000,,-12.22610,-11.22330,-12.22610,2.04620,0,0
2023-03-31,5.72300,1.15800,-6.88100,-0.00800,-6.88900,0.00600,-6.89500,-6.89500,-6.89500,,-6.88100,20.95020,20.95020,-0.33000,-0.33000,,,,,,,
2022-12-31,,,,,,,,,,,,,,,0.00000,,,,,,0,0
2022-09-30,1.18500,1.35500,-2.54000,0.13700,-2.40300,,-2.40300,-2.40300,-2.40300,-2.54000,-2.54000,24.86900,24.86900,-0.10000,-0.10000,,,,,,0,0
2022-06-30,1.57900,0.92700,-2.50600,0.11500,-2.39100,,-2.39100,-2.39100,-2.39100,-2.50600,-2.50600,19.65900,19.65900,-0.12000,-0.12000,35.01190,-4.81760,-4.68300,-4.81760,,0,0
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,0,0
2020-12-31,,,,,,,,,,,,,,,0.00000,,,,,,0,0
