Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-08-31,43.00340,43.00340,11.55510,-0.12190,18.19740,18.19740,,18.19740,13.31760,13.31760,32.61030,31.32630,13.72600,13.72600,0.97000,0.97000,0.21900,0.12370,2.19550,100.00000,42.31620,72.84620,42.31620,30.96880,0.03540,4.26320,21.11110,3.57950,3.57950,1.09640,3.13690,27.06630,5.1716,5.1716
2024-05-31,38.67820,38.67820,11.44140,0.06030,14.33500,14.33500,,14.33500,6.61040,6.61040,28.53570,27.29710,13.68300,13.68300,0.48000,0.48000,0.13120,0.11010,1.67400,100.00000,37.06230,70.57500,37.06230,17.09090,0.03220,4.01480,22.41700,1.79700,1.79700,0.55010,1.59920,26.85270,3.81090,3.81090
2024-02-29,37.23340,37.23340,10.01370,-1.88400,12.78450,12.78450,,12.78450,5.30680,5.30680,26.59790,25.33580,12.67100,12.67100,0.39000,0.39000,0.06510,0.08640,2.15890,100.00000,34.33620,68.04590,34.33620,14.25270,0.03130,3.58060,25.13550,1.43340,1.43340,0.44550,1.30960,27.11670,-1.9457,-1.9457
2023-11-30,36.34030,36.34030,9.43200,-0.21990,14.16610,14.16610,,14.16610,-4.05560,-4.05560,28.00850,26.68840,13.05300,13.05300,-0.31000,-0.31000,0.07280,0.08870,1.68250,100.00000,38.98160,73.44020,38.98160,-11.16010,0.03100,3.89270,23.12040,-1.12790,-1.12790,-0.34610,-1.02790,27.41580,-0.7559,-0.7559
2023-08-31,35.51410,35.51410,9.37320,0.23730,13.96480,13.96480,,13.96480,7.89600,7.89600,27.74710,26.37830,12.15800,12.15800,0.65000,0.65000,0.07480,0.08810,1.67020,100.00000,39.32180,74.27530,39.32180,22.23330,0.03070,4.36730,20.60790,2.18070,2.18070,0.68290,1.98850,28.44300,-0.3549,-0.3549
2023-05-31,34.63200,34.63200,6.97400,-0.00620,15.95900,15.95900,,15.95900,-0.21330,-0.21330,28.87190,27.65180,11.86200,11.86200,-0.02000,-0.02000,0.07920,0.09400,1.79160,100.00000,46.08150,79.84450,46.08150,-0.61580,0.03020,4.36640,20.61180,-0.06320,-0.06320,-0.01860,-0.05730,28.48170,-9.35030,-9.35030
2023-02-28,32.31510,32.31510,11.36350,-1.04710,9.64950,9.64950,0.00000,9.64950,19.20050,19.20050,20.92380,19.90450,11.96400,11.96400,1.59000,1.59000,0.15040,0.08560,1.51950,100.00000,29.86050,61.59510,29.86060,59.41640,0.03000,3.75910,23.94190,5.53390,5.53390,1.78090,5.06000,29.17820,2.8024,2.8024
2022-11-30,26.25700,26.25700,7.86160,-0.06810,9.87740,9.87740,-0.47930,10.35680,6.01430,6.01430,19.22090,18.32730,11.89300,11.89300,0.51000,0.51000,0.08330,0.06930,1.36820,100.00000,37.61830,69.79980,37.61830,22.90540,0.02530,2.82840,31.81970,1.79120,1.79120,0.57890,1.66710,28.25100,-1.9579,-1.9579
2022-08-31,21.85290,21.85290,6.33470,0.10190,7.69800,7.69800,,7.69800,0.94840,0.94840,16.49560,15.62000,11.96300,11.96300,0.08000,0.08000,0.02900,0.06900,0.60190,100.00000,35.22660,71.47830,35.22660,4.34010,0.02250,4.35340,20.67340,0.28130,0.28130,0.09750,0.26180,28.27310,-5.1193,-5.1193
2022-05-31,18.67910,18.67910,3.93010,0.09870,7.97620,7.97620,-0.06930,8.04550,-1.48740,-1.48740,15.64650,14.84770,12.11200,12.11200,-0.12000,-0.12000,0.16950,0.06750,1.26480,100.00000,42.70130,79.48840,42.70120,-7.96300,0.01860,3.50730,25.66060,-0.43080,-0.43080,-0.14840,-0.40170,28.69310,-6.62240,-6.62240
2022-02-28,18.98080,18.98080,7.09870,-0.57250,5.79700,5.79700,-0.00960,5.80660,8.40490,8.40490,11.93000,11.30970,11.45700,11.45700,0.67000,0.67000,0.11440,0.03390,0.91830,100.00000,30.54130,59.58490,30.54130,44.28110,0.02170,3.72640,24.15180,2.36240,2.36240,0.95920,2.28220,29.32820,-12.7582,-12.7582
2021-11-30,16.50210,16.50210,6.50310,0.04050,5.19660,5.19660,2.44720,2.74950,8.34010,8.34010,10.56100,10.03950,11.45100,11.45100,0.73000,0.73000,0.32630,0.03520,0.73490,100.00000,31.49070,60.83790,31.49070,50.53970,0.02030,3.61350,24.90660,2.43430,2.43430,1.02750,2.34870,29.16500,1.491,1.491
2021-08-31,18.44170,18.44170,6.83360,-0.03070,6.39330,6.39330,0.44890,5.94440,7.94170,7.94170,12.13020,11.57750,11.17500,11.17500,0.71000,0.71000,0.18750,,0.73850,100.00000,34.66750,62.77870,34.66750,43.06370,0.02470,3.60560,24.96110,2.45030,2.45030,1.06480,2.45030,28.96700,2.6471,2.6471
2021-05-31,16.81600,16.81600,9.89120,-0.02790,2.55590,2.55590,,2.55590,21.04850,21.04850,7.36720,6.89680,11.17000,11.17000,1.88000,1.88000,0.07660,0.10850,0.66220,100.00000,15.19940,41.01360,15.19940,125.16960,0.02370,2.53930,35.44300,6.57060,6.57060,2.97010,5.85750,28.70470,-9.11000,-9.11000
2021-02-28,16.21480,16.21480,7.12670,-0.66400,4.28900,4.28900,,4.28900,9.25600,9.25600,8.80410,8.42400,11.18900,11.18900,0.82000,0.82000,0.11930,,0.40480,100.00000,26.45120,51.95260,26.45120,57.08390,0.02740,3.83910,23.44320,3.04290,3.04290,1.56310,3.04290,27.25430,0.4235,0.4235
2020-11-30,14.28280,14.28280,6.22200,-0.02970,4.47110,4.47110,3.89540,0.57570,6.36630,6.36630,8.40140,8.03100,11.17000,11.17000,0.57000,0.57000,0.13380,,0.36060,100.00000,31.30420,56.22840,31.30420,44.57350,0.02440,3.40700,26.41620,2.12310,2.12310,1.08630,2.12310,26.84450,-2.9126,-2.9126
2020-08-31,13.85560,13.85560,5.18490,-0.00750,5.33470,5.33470,,5.33470,21.81050,21.81050,9.01260,8.66320,11.20700,11.20700,1.95000,1.95000,0.24980,,0.36260,100.00000,38.50230,62.52470,38.50230,157.41330,0.02390,3.15150,28.55790,7.31460,7.31460,3.76820,7.31460,26.68490,-0.1263,-0.1263
2020-05-31,13.29710,13.29710,1.72390,0.00890,9.01830,9.01830,,9.01830,-22.65580,-22.65580,11.85490,11.58220,11.21800,11.21800,-2.02000,-2.02000,0.13020,,0.21300,100.00000,67.82150,87.10290,67.82150,-170.38120,0.02590,3.08590,29.16480,-8.04450,-8.04450,-4.40780,-8.04450,25.10530,-2.95670,-2.95670
2020-02-29,17.61300,17.61300,10.48250,-2.42690,1.64940,1.64940,,1.64940,26.79290,26.79290,5.00630,4.70370,9.31900,9.31900,2.71000,2.71000,0.19650,,0.19720,100.00000,9.36450,26.70590,9.36450,152.11960,0.03320,3.66140,24.58070,8.80510,8.80510,5.04700,8.80510,27.12490,3.5033,3.5033
