Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,296.71900,14.75000,281.96900,24.31400,232.27000,274.15200,7.81700,0.93400,8.75100,-26.61200,35.36300,35.36300,0.00000,35.16100,25.38500,7.81700,498.47700,505.31400,0.07000,0.07000,2.05060,0.31710,0.46440,95.02900,2.63450,2.63450,2.94930,11.84990,0.15990,5.66240,15.89440,3.30650,345.61400,1.90530,2.25800,2.14880,0.0618,0.0376
2024-06-30,315.13400,14.15200,300.98200,24.77900,242.69200,291.79500,9.18700,-0.47100,8.71600,4.62800,4.08800,4.08800,,3.76000,33.51100,9.18700,501.59100,506.97900,0.01000,0.01000,1.97860,0.32220,0.47550,95.50920,2.91530,2.91530,2.76580,1.19310,0.17010,4.75140,18.94190,0.39150,-35.61290,0.22070,0.26540,2.08730,0.1232,0.0986
2024-03-31,305.39000,12.49700,292.89300,23.75600,242.57200,290.17700,2.71600,-0.55400,2.16200,3.47900,-1.31700,-1.31700,,-1.63100,26.56500,2.71600,502.62700,502.62700,0.00000,0.00000,1.98910,0.32240,0.47580,95.90790,0.88940,0.88940,0.70790,-0.53410,0.16640,5.02200,17.92100,-0.12630,10.28670,-0.07180,-0.08560,2.07190,0.04440,0.01890
2023-12-31,300.43300,17.23900,283.19400,24.18500,227.46600,275.56790,7.62610,0.50900,8.13500,5.65200,2.48300,2.48300,-8.02800,-5.56000,31.54310,7.62610,505.90000,505.90000,-0.01000,-0.01000,1.88370,0.32200,0.47490,94.26200,2.53840,2.53840,2.70780,-1.85070,0.16190,5.87930,15.30790,0.23770,-20.16750,0.13380,0.16120,2.07150,0.0178,-0.0052
2023-09-30,351.23100,13.66300,337.56800,21.49700,298.80700,345.43000,-7.86200,-1.14700,-9.00900,-6.05700,-2.95200,-2.95200,-2.33500,-5.35600,17.26400,-7.86200,506.33200,506.33200,-0.01000,-0.01000,1.69830,0.32170,0.47440,96.11000,-2.23840,-2.23840,-2.56500,-1.52490,0.18430,4.54560,19.79950,-0.28240,34.91900,-0.15490,-0.19150,2.06260,0.0162,-0.011
2023-06-30,351.58700,14.70800,336.87900,25.54900,302.04400,352.26000,-15.38100,0.15000,-15.23100,0.36000,-15.59100,-15.59100,1.11200,-14.69900,9.28600,-15.38100,506.08600,506.08600,-0.03000,-0.03000,1.68530,0.32240,0.47570,95.81670,-4.37470,-4.37470,-4.33210,-4.18080,0.18480,4.47970,20.09050,-1.49640,89.61900,-0.81960,-1.01400,2.05890,0.1103,0.0896
2023-03-31,355.49700,16.93700,338.56000,25.31200,296.27700,349.44100,-10.88100,-1.22200,-12.10300,1.88400,-13.98700,-13.98700,-1.01300,-15.32500,16.97100,-10.88100,505.03300,505.03300,-0.03000,-0.03000,1.80030,0.32090,0.47260,95.23570,-3.06080,-3.06080,-3.40450,-4.31090,0.18820,3.85140,23.36810,-1.33420,127.28170,-0.74050,-0.90600,2.07210,0.04190,0.01850
2022-12-31,314.37800,1.57000,312.80800,19.19200,268.56300,322.52710,-9.71910,0.57700,-9.14200,5.30300,-14.44500,-14.44500,,-53.34900,25.05290,-9.71910,503.00800,503.00800,-0.11000,-0.11000,1.71830,0.32020,0.47110,99.50060,-3.09150,-3.09150,-2.90800,-16.96970,0.16480,4.36840,20.60270,-1.37390,149.28650,-0.75720,-0.93390,2.08350,0.0696,0.0298
2022-09-30,498.03600,109.05700,388.97900,15.81600,362.65700,400.03700,-11.05800,-7.32600,-18.38400,-0.94500,-17.43900,-17.43900,,-17.47900,10.50600,-11.05800,503.20200,503.20200,-0.03000,-0.03000,1.70780,0.31260,0.45490,78.10260,-2.22030,-2.22030,-3.69130,-3.50960,0.25300,4.83780,18.60350,-1.60210,-325.34800,-0.88610,-1.10120,2.16160,0.0085,-0.0575
2022-06-30,515.78200,127.77100,388.01100,20.95400,370.78500,408.89700,-20.88600,-6.77600,-27.66200,-3.66500,-23.99700,-23.99700,,-24.23200,-3.72800,-20.88600,502.45300,502.45300,-0.05000,-0.05000,1.66640,0.31030,0.45000,75.22770,-4.04940,-4.04940,-5.36310,-4.69810,0.25570,4.30650,20.89860,-2.18180,-506.89350,-1.18940,-1.50470,2.18790,0.0156,-0.0544
