Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.88430,0.88790,-0.00360,0.28300,-0.63170,0.91620,-0.91980,-0.40540,-1.32510,-1.32510,-1.32510,-1.32510,-0.65320,-0.91980,2.74990,2.74990,-0.48000,-0.48000,1.86440,0.02620,0.23550,-0.40340,-104.01590,-104.01590,-149.85550,-149.85550,0.11280,0.37520,0.67190,133.94850,-28.04350,-28.04350,-16.90820,-27.30840,1.37090,0.6229,0.6365
2024-06-30,1.77660,1.48200,0.29450,0.29540,-0.68940,0.98630,-0.69170,-1.15020,-1.84200,-1.84200,-1.84200,-1.84200,-0.02600,-0.69170,1.20980,1.20980,-1.52000,-1.52000,1.78400,0.03920,0.25190,16.57800,-38.93610,-38.93610,-103.68180,-103.68180,0.21920,0.56180,2.95860,30.42010,-39.91390,-39.91400,-22.72690,-38.34750,2.03120,-0.893,-0.897
2024-03-31,2.26030,2.08960,0.17080,0.30600,-0.70570,1.01290,-0.84220,-0.25090,-1.09310,-1.09310,-1.09310,-1.09310,-0.72750,-0.84220,0.52770,0.52770,-2.00000,-2.00000,1.23700,0.17140,0.43910,7.55470,-37.26000,-37.26000,-48.36000,-48.36000,0.32960,0.91630,2.48170,36.26610,-42.42820,-42.42820,-15.93810,-35.15460,3.59970,-1.28840,-1.33220
2023-12-31,1.00880,1.19140,-0.18250,0.55960,-0.75200,1.28300,-1.46550,0.84290,-0.62270,-0.62270,-0.62270,-0.62270,-1.35750,-1.46550,0.10170,0.10170,41.81000,41.81000,1.28130,0.15650,0.34830,-18.09000,-145.26820,-145.26820,-61.72010,-61.72000,0.15860,0.45670,1.88850,47.65580,-23.99550,-23.99540,-9.78650,-20.24100,5.61670,-33.828,-35.3597
2023-09-30,1.56170,1.58650,-0.02480,0.30180,-0.41090,0.71550,-0.74030,0.29450,-0.44580,-0.44580,-0.44580,-0.44580,-0.50310,-0.74030,3.43710,3.43710,-0.13000,-0.13000,0.79790,0.47780,3.37640,-1.58800,-47.40300,-47.40300,-28.54700,-28.54700,0.21570,0.79700,10.21010,8.81480,-92.43610,-92.43590,-6.15750,-48.27460,4.03930,32.3437,32.6296
2023-06-30,1.65560,1.57450,0.08100,0.46690,-0.66270,1.15730,-1.07630,-0.37550,-1.45170,-1.45170,-1.45170,-1.45170,-0.82420,-1.07630,0.04730,0.04730,-30.68000,-30.68000,0.74000,1.04540,-269.38280,4.89350,-65.00830,-65.00830,-87.68840,-87.68840,0.23580,0.49980,6.32920,14.21990,9240.17900,9239.78400,-20.67330,-419.04730,-0.28920,8.4,8.5301
2023-03-31,1.89840,1.61410,0.28440,0.53180,-0.70010,1.23450,-0.95020,-1.00120,-1.95140,-1.95140,-1.95140,-1.95140,-0.67390,-0.95020,0.03380,0.03380,-55.00000,-55.00000,0.80290,0.17260,11.22240,14.97870,-50.05210,-50.05210,-102.78980,-102.78980,0.23610,0.45940,1.81610,49.55700,-407.18760,-407.18840,-24.26420,-336.89120,10.94730,-41.64920,-42.10370
2022-12-31,2.05480,1.98780,0.06700,0.53420,-5.64090,6.33310,-6.26610,-0.69970,-6.96580,-6.96580,-6.96580,-6.96580,-4.91930,-6.26610,0.50320,0.50320,222.50000,222.50000,0.68400,-0.25110,-5.20830,3.25970,-304.95450,-304.95450,-339.00450,-339.00450,0.23680,0.41340,2.52610,35.62790,559.17720,559.17760,-80.26530,699.57230,-46.55170,155.5134,160.917
2022-09-30,2.42920,3.97370,-1.54450,0.35490,-1.31600,1.82240,-3.36690,-0.37120,-3.73810,-3.73810,-3.73810,-3.73810,-2.21170,-3.36690,0.02520,0.02520,-148.50000,-148.50000,1.05560,0.19180,1.27600,-63.57910,-138.59960,-138.59960,-153.88180,-153.88180,0.14410,0.64940,3.14590,28.60900,-70.18640,-190.88030,-22.17730,-56.72520,208.68050,-2.3158,-4.2914
2022-06-30,2.95890,2.62110,0.33780,0.59250,-0.76730,1.47000,-1.13220,-0.30500,-1.43720,-1.43720,-1.43720,-1.43720,-0.76460,-1.13220,0.02500,0.02500,-60.00000,-60.00000,1.31390,0.15080,1.06110,11.41500,-38.26470,-38.26470,-48.57310,-48.57310,0.14370,0.46070,2.36480,38.05830,-16.60390,-32.49240,-6.98160,-14.09970,345.35070,-36.3853,-37.3639
