,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-11-07,2024-09-30,$0.26,$0.11
1,2024-08-01,2024-06-30,$0.32,$0.10
2,2024-05-02,2024-03-31,$0.16,$0.03
3,2024-02-22,2023-12-31,$0.18,$0.04
4,2023-11-01,2023-09-30,$0.23,$0.12
5,2023-08-03,2023-06-30,$0.34,$0.17
6,2023-05-04,2023-03-31,$0.17,$0.03
7,2023-02-21,2022-12-31,$0.23,$0.07
8,2022-11-03,2022-09-30,$0.26,$0.12
9,2022-08-03,2022-06-30,$0.31,$0.23
10,2022-05-05,2022-03-31,$0.07,$0.04
11,2022-02-17,2021-12-31,$0.09,$-0.03
12,2021-11-04,2021-09-30,$0.10,$-0.02
13,2021-08-05,2021-06-30,$-0.03,$-0.10
14,2021-05-06,2021-03-31,$-0.15,$-0.82
15,2021-02-24,2020-12-31,$-0.16,$-1.04
16,2020-11-05,2020-09-30,$-0.16,$-0.40
17,2020-08-06,2020-06-30,$-0.25,$-0.36
18,2020-05-11,2020-03-31,$0.06,$-0.17
19,2020-02-20,2019-12-31,$0.24,$0.66
20,2019-11-08,2019-09-30,$0.25,$0.06
21,2019-08-05,2019-06-30,$0.31,$0.14
22,2019-05-08,2019-03-31,$0.18,$0.04
23,2019-02-25,2018-12-31,$0.25,$0.12
24,2018-11-05,2018-09-30,$0.26,$0.15
25,2018-08-02,2018-06-30,$0.32,$0.14
26,2018-05-03,2018-03-31,$0.15,$0.02
27,2018-02-26,2017-12-31,$0.23,$0.12
28,2017-11-06,2017-09-30,$0.25,$0.11
29,2017-08-07,2017-06-30,$0.31,$0.18
30,2017-05-05,2017-03-31,$0.17,$0.04
31,2017-02-22,2016-12-31,$0.23,$0.12
32,2016-11-09,2016-09-30,$0.25,$0.15
33,2016-08-05,2016-06-30,$0.32,$0.22
34,2016-05-06,2016-03-31,$0.18,$0.08
35,2016-02-23,2015-12-31,$0.25,$0.14
36,2015-11-05,2015-09-30,$0.27,$0.13
37,2015-08-07,2015-06-30,$0.31,$0.12
38,2015-05-08,2015-03-31,$0.17,$0.05
39,2015-02-24,2014-12-31,$0.23,$0.32
