Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,60.63000,16.01600,-76.64600,4.15200,-72.49400,0.05300,-72.54700,-72.54700,-72.54700,-77.81600,-76.64600,159.57600,159.57600,-0.45000,-0.45000,10.98220,-22.61870,-22.61870,-20.57860,-22.61870,1.99860,-0.2075,-0.2075
2024-06-30,48.62800,15.19400,-63.82200,5.24700,-58.57500,0.12500,-58.70000,-58.70000,-58.70000,-65.82700,-63.82200,158.98400,158.98400,-0.37000,-0.37000,17.22460,-15.39640,-15.39640,-14.51270,-15.39640,2.38360,-0.3514,-0.3514
2024-03-31,45.75700,14.31700,-60.07400,6.35300,-53.72100,,-53.72100,-53.72100,-53.72100,-61.06300,-60.07400,157.94300,157.94300,-0.34000,-0.34000,17.99280,-12.65390,-12.65390,-11.93240,-12.65390,2.66410,-0.27200,-0.27200
2023-12-31,38.86400,11.23600,-114.00400,5.54200,-108.46200,,-108.73000,-108.73000,-108.73000,-114.51100,-114.00400,65.02100,65.02100,0.01000,0.01000,19.04660,-23.17960,-23.17960,-21.91280,-23.17960,2.95330,-0.116,-0.1162
2023-09-30,41.60100,15.26300,-56.86400,3.83700,-53.02700,,-53.02700,-53.02700,-53.02700,-57.72700,-56.86400,46.69100,46.69100,-1.14000,-1.14000,18.05220,-10.34280,-10.34280,-9.73420,-10.34280,3.35760,-0.2686,-0.269
2023-06-30,32.76900,9.29300,-42.06200,3.51900,-38.54300,,-38.54300,-38.54300,-38.54300,-43.03100,-42.06200,30.12500,30.12500,-1.28000,-1.28000,,,,,,,-0.998,-0.998
2023-03-31,29.48500,9.68300,-39.16800,3.54300,-35.62500,,-35.62500,-35.62500,-35.62500,-39.90200,-39.16800,29.27700,29.27700,-1.22000,-1.22000,,,,,,,-1.12860,-1.12980
2022-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,3.0576,3.0752
2022-09-30,22.54900,8.05300,-30.60200,1.25800,-29.34400,,-29.34400,-29.34400,-29.34400,-30.60200,-30.60200,27.64600,27.64600,-1.06000,-1.06000,,,,,,,-3.0576,-3.0752
