Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,160.82100,58.98100,101.84000,60.45700,61.80200,40.03800,40.03800,9.71000,30.32800,30.32800,30.32800,43.51600,43.96600,0.70000,0.69000,0.60530,42.42890,32.13900,0.01000,2.76640,3.45450,0.32180,2.76640,24.70010,0.4382,0.4407
2024-06-30,154.41300,55.04300,99.37000,57.91000,59.25500,40.11500,40.11500,10.44400,29.67100,29.67100,29.67100,43.36200,43.74200,0.68000,0.68000,1.02940,42.98420,31.79320,0.00970,2.87230,3.65130,0.30800,2.87230,23.38140,0.9173,0.9071
2024-03-31,153.79400,52.78000,101.01400,59.10700,60.45200,40.56200,40.56200,10.12200,30.44000,30.44000,30.44000,43.25800,43.72700,0.70000,0.70000,0.85790,42.98140,32.25570,0.01000,3.01670,3.87310,0.32350,3.01670,22.87680,1.42560,1.44910
2023-12-31,150.11700,49.32900,100.78800,59.26900,60.81900,39.96900,39.96900,10.36500,29.60400,29.60400,29.60400,40.04520,40.44560,0.68000,0.68000,0.54490,42.72340,31.64410,0.01050,2.98980,3.86060,0.33330,2.98980,22.62480,0.1703,0.1721
2023-09-30,148.96600,44.13800,104.82800,65.14300,66.69400,38.13400,38.13400,9.91200,28.22200,28.22200,28.22200,43.02600,43.45800,0.66000,0.65000,0.93200,39.71260,29.39030,0.01070,3.06780,4.05970,0.31560,3.06780,21.04220,1.459,1.4657
2023-06-30,121.56300,31.10600,90.45700,53.66300,55.11800,35.33900,35.33900,9.23200,26.10700,26.10700,26.10700,37.03500,37.33800,0.70000,0.70000,0.84310,41.73880,30.83490,0.01120,3.20750,4.10330,0.34460,3.20750,21.56020,1.1677,1.134
2023-03-31,115.14700,24.28400,90.86300,57.17000,58.62500,32.23800,32.23800,8.29300,23.94500,23.94500,23.94500,36.95500,37.54000,0.65000,0.64000,0.97280,39.78130,29.54790,0.01080,3.00950,3.87920,0.31800,3.00950,21.09750,1.30890,1.30140
2022-12-31,105.02700,17.20000,87.82700,56.78000,58.37600,29.45100,29.45100,6.74700,22.70400,22.70400,22.70400,36.97300,37.47610,0.61000,0.61000,0.98120,37.26700,28.72940,0.01070,2.96470,3.86280,0.30840,2.96470,20.42560,0.9121,0.914
2022-09-30,91.89500,11.02800,80.86700,48.74300,50.35400,30.51300,30.51300,7.85700,22.65600,22.65600,22.65600,36.85200,37.37100,0.61000,0.61000,1.02310,39.78690,29.54190,0.01050,3.03060,4.00320,0.31130,3.03060,19.95320,0.9023,0.9016
2022-06-30,80.70700,4.91900,75.78800,47.81300,49.68100,26.10700,26.10700,5.82400,20.28300,20.28300,20.28300,37.06480,37.61230,0.55000,0.54000,1.12240,37.35980,29.02550,0.00980,2.65080,3.49160,0.28440,2.65080,20.31280,1.6264,1.64
