Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,1.21100,0.40600,0.80500,0.20100,1.69400,1.89500,-1.09000,0.03000,-1.06000,-1.06000,-1.06000,-1.06000,-1.02400,-1.09000,1.46000,1.46000,-0.73000,-0.73000,3.62200,,66.47400,-90.00830,-90.00830,-87.53100,-87.53100,0.36000,0.64960,7.08190,12.70850,-40.18200,-41.24510,-31.51010,-40.18200,1.80680,-0.7466,-0.9349
2024-06-30,0.81300,0.32400,0.48900,0.20700,1.48400,1.69100,-1.20200,0.04700,-1.15500,-1.15500,-1.15500,-1.15500,-1.15500,-1.20200,1.46000,1.46000,-0.79000,-0.79000,6.86620,,60.14760,-147.84750,-147.84750,-142.06640,-142.06640,0.19240,0.67920,5.17830,17.38010,-31.84450,-32.52610,-27.33080,-31.84450,2.48420,-0.8148,-0.8868
2024-03-31,0.35000,0.14400,0.20600,0.19000,1.27100,1.46100,-1.25500,0.06200,-1.19300,-1.19300,-1.19300,-1.19300,-1.20500,-1.25500,1.45960,1.45960,-0.80000,-0.80000,9.57670,,58.85710,-358.57140,-358.57140,-340.85710,-340.85710,0.06620,0.42860,11.66670,7.71430,-25.40460,-25.96870,-22.55630,-25.40460,3.21730,-0.78860,-0.84540
2023-12-31,0.11700,0.09300,0.02400,0.20000,1.73900,1.93900,-1.91500,0.07600,-1.83900,-1.83900,-1.83900,-1.83900,-1.87200,-1.91500,1.22370,1.22370,-1.44000,-1.44000,12.28420,,20.51280,-1636.75200,-1636.75200,-1571.79500,-1571.79500,0.01830,0.37500,2.20750,40.76920,-31.76170,-32.37680,-28.76140,-31.76170,3.96580,-1.1212,-1.2776
2023-09-30,0.09500,0.05600,0.03900,0.01500,1.19500,1.21000,-1.17100,-0.02600,-1.19700,-1.19700,-1.19700,-1.19700,-1.16600,-1.17100,1.26700,1.26700,-0.94000,-0.94000,18.82200,,41.05260,-1232.63200,-1232.63200,-1260.00000,-1260.00000,0.01190,0.33940,5.27780,17.05260,-15.84800,-15.84800,-15.01510,-15.84800,5.17470,-2.7142,-2.7911
2023-06-30,0.04700,0.03200,0.01500,0.01800,0.64700,0.66500,-0.65000,-0.02200,-0.67200,-0.67200,-0.67200,-0.67200,-0.64500,-0.65000,1.08300,1.08300,-0.62000,-0.62000,0.03700,-0.31900,31.91490,-1382.97900,-1382.97900,-1429.78700,-1429.78700,0.06690,0.33680,5.87500,15.31920,22.25900,22.25900,-95.59030,22.25900,-2.78660,-0.1168,-0.1196
2023-03-31,0.09000,0.04600,0.04400,0.02500,0.91600,0.94100,-0.89700,-0.02000,-0.91700,-0.91700,-0.91700,-0.91700,-0.89200,-0.89700,1.07990,1.07990,-0.80000,-0.80000,0.05930,-0.37480,48.88890,-996.66660,-996.66660,-1018.88900,-1018.88900,0.12690,0.48420,4.28570,21.00000,36.51930,36.51930,-129.33710,36.51930,-2.31770,-0.17220,-0.17220
2022-12-31,0.03300,0.04000,-0.00700,0.03000,0.44500,0.47500,-0.48200,-0.04100,-0.52300,-0.52300,-0.52300,-0.52300,-0.47700,-0.48200,1.04340,1.04340,-0.70000,-0.70000,0.15280,-0.49730,-21.21210,-1460.60600,-1460.60600,-1584.84900,-1584.84900,0.04650,0.28170,16.50000,5.45450,27.78960,27.78960,-73.66200,27.78960,-1.74520,-0.2191,-0.2215
2022-09-30,0.04800,0.02700,0.02100,0.03300,0.52000,0.55300,-0.53200,-0.01600,-0.54800,-0.54800,-0.54800,-0.54800,-0.52900,-0.53200,1.07840,1.07840,-0.50000,-0.50000,,,43.75000,-1108.33300,-1108.33300,-1141.66700,-1141.66700,,,,,,,,,,-0.2776,-0.3145
2022-06-30,0.04400,0.02300,0.02100,0.00800,1.72400,1.73200,-1.71100,-0.57900,-2.29000,-2.29000,-2.29000,-2.29000,-1.71100,-1.71100,1.07570,1.07570,-2.10000,-2.10000,,,47.72730,-3888.63600,-3888.63600,-5204.54500,-5204.54500,,,,,,,,,,-0.1279,-0.1605
2022-03-31,0.06500,0.02000,0.04500,0.00200,0.18500,0.18700,-0.14200,-0.00200,-0.14400,-0.14400,-0.14400,-0.14400,-0.14200,-0.14200,0.97870,0.97870,-0.10000,-0.10000,,,69.23080,-218.46160,-218.46160,-221.53850,-221.53850,,,,,,,,,,-0.12770,-0.12770
2021-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0,0
