Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,2.10650,8.81970,-6.71320,,3.24230,-9.95550,2.03200,-7.92350,,-7.92350,-7.92350,-8.11210,-5.22820,-9.95550,4.74500,4.74500,-1.71000,-1.71000,0.16020,,0.48940,-318.68600,-472.60240,-472.60240,-376.13950,-385.09400,0.00600,0.90860,99.05410,-3.64180,-3.64180,-2.24390,-3.64180,42.79960,0.54110,-3.61890
2021-12-31,3.00940,-14.63270,17.64210,-22.14060,25.45300,-7.81100,17.41590,9.60490,,9.60490,9.60490,9.34920,-3.06360,-7.81100,4.10440,4.10440,8.51880,12.58990,0.21790,,0.50440,586.24220,-259.55760,-259.55760,319.16980,310.67320,0.00890,1.27130,70.79610,4.69500,4.69500,2.84770,4.69500,46.12810,-0.7194,-8.8807
2021-09-30,3.48200,10.45850,-6.97650,-1.97270,4.96630,-11.94290,20.16060,8.21770,,8.21770,8.21770,8.14590,-7.62270,-11.94290,4.32450,4.66560,1.97800,-1.75820,0.28190,,0.45160,-200.36240,-342.99270,-342.99270,236.00960,233.94660,0.01050,2.08460,43.17310,4.30600,4.30600,2.47140,4.30600,44.04670,-1.8301,-5.5598
2021-06-30,2.36380,7.81680,-5.45300,-0.26060,3.23270,-8.68570,24.14690,15.46110,,15.46110,15.46110,15.54110,-4.54900,-8.68570,4.29510,4.88460,3.51650,3.18170,0.47970,,0.58270,-230.69230,-367.45390,-367.45390,654.09080,657.47190,0.00660,2.71880,33.10320,8.54400,8.54400,4.29190,8.54400,41.92070,-0.2164,-0.7009
2021-03-31,1.91530,0.76620,1.14920,-6.17570,9.09660,-7.94740,-118.15000,-126.09750,,-126.09750,-126.09750,-126.14720,-3.79240,-7.94740,3.42840,3.42840,-36.70330,-36.70330,0.40680,,0.71630,59.99810,-414.94130,-414.94130,-6583.62700,-6586.22300,0.00550,2.00180,44.95860,-86.55170,-86.55170,-35.94110,-86.55170,33.99930,-2.29280,-7.15120
2020-12-31,1.75490,8.95200,-7.19710,-0.41430,3.30110,-10.49810,-3.92400,-14.42220,,-14.42220,-14.42220,-14.26170,-6.76190,-10.49810,1.21230,1.21230,60.43960,60.43960,0.33750,,0.60950,-410.10730,-598.21120,-598.21110,-821.81380,-812.66770,0.00570,4.79370,18.77460,-8.73640,-8.73640,-4.65730,-8.73640,56.60940,1.8653,-19.2871
2020-09-30,1.67710,8.98720,-7.31010,-0.19970,2.95270,-10.26280,1.83590,-8.42690,,-8.42690,-8.42690,-8.39090,-4.46600,-10.26280,1.48220,1.48220,-5.71430,-5.71430,0.25340,,0.73570,-435.87320,-611.93320,-611.93320,-502.46660,-500.32010,0.00600,1.33910,67.21110,-5.61750,-5.61750,-3.00110,-5.61750,100.69570,25.3014,65.7405
2020-06-30,1.70360,2.42830,-0.72470,-0.60710,3.33040,-4.05510,-5.64310,-9.69820,,-9.69820,-9.69820,-9.69820,2.11150,-4.05510,0.24730,0.24730,-39.12090,-39.12090,0.07710,0.48690,0.94900,-42.53960,-238.03490,-238.03490,-569.28450,-569.28450,0.05470,,,-193.96450,-193.96450,-31.11610,-99.52050,24.01450,-24.2448,-54.6637
2020-03-31,1.96350,6.68400,-4.72040,-0.45090,3.17300,-7.89340,-5.24440,-13.13780,,-13.13780,-13.13780,-13.13780,-1.93690,-7.89340,0.24730,0.24730,-53.18680,-53.18680,0.16620,0.45170,0.82370,-240.40470,-401.99920,-401.99920,-669.08930,-669.08930,0.02280,,,-262.75660,-262.75640,-15.23550,-144.07910,17.37840,-18.07070,-47.03870
2019-12-31,5.68740,12.71190,-7.02450,-12.64590,20.81050,-27.83500,-18.61500,-46.45000,,-46.19890,-46.19890,-46.19890,-11.80830,-27.83500,0.24730,0.24730,-183.03610,-183.03610,0.06220,,5.27210,-123.50820,-489.41020,-489.41020,-816.71040,-812.29550,0.02410,4.19620,21.44780,-132.18820,-132.18820,-19.59560,-132.18820,141.30200,-17.952,-49.2773
2019-09-30,2.17390,3.99560,-1.82170,-0.22900,2.98020,-4.80190,-5.83630,-10.63820,,-10.63820,-10.63820,-10.63820,-4.80190,-4.80190,0.24730,0.24730,-43.07690,-43.07690,0.17100,0.23670,0.31020,-83.80130,-220.89190,-220.89190,-489.36490,-489.36490,0.01870,,,-212.76430,-212.76470,-9.17010,-162.39320,18.35190,26.5909,-9.6993
2019-06-30,,,,-0.14810,,-0.14810,0.76650,0.61840,0.12990,0.48850,0.48850,0.48850,-0.14810,-0.14810,0.18480,0.18480,-0.43960,-0.43960,0.24410,,0.02000,,,,,,,,,9.77050,9.77030,0.37800,9.77050,19.01080,-4.1525,-4.1525
2019-03-31,,,,-0.17510,,-0.17510,0.74100,0.56590,0.12120,0.44470,0.44470,0.44470,-0.17510,-0.17510,0.26210,0.26210,0.61850,0.61850,0.09880,,,,,,,,,,,8.89390,8.89110,0.34460,8.89390,19.03410,-0.71420,-0.71420
2018-12-31,,,,-0.19410,,-0.19410,0.71220,0.51810,0.10690,0.41130,0.41130,-0.94610,-0.19410,-0.19410,0.25570,0.25570,-0.46390,-0.46390,0.16170,,,,,,,,,,,8.22550,8.22550,0.32010,8.22550,19.07640,-0.2618,-0.2618
2018-09-30,,,,-0.17030,,-0.17030,0.60880,0.43850,0.09210,0.34640,0.34640,0.34640,-0.17030,-0.17030,0.26090,0.26090,-0.30930,-0.30930,0.49630,,,,,,,,,,,6.92790,6.92800,0.27090,6.92790,19.12360,-0.2582,-0.2582
2018-06-30,,,,-0.18630,,-0.18630,0.55050,0.36420,0.07650,0.28780,0.28780,0.28780,-0.18630,-0.18630,0.26010,0.26010,-0.30930,-0.30930,1.27230,,,,,,,,,,,5.75510,5.75510,0.22590,5.75510,24.74130,-0.5588,-0.5588
2018-03-31,,,,-0.22990,,-0.22990,0.27530,0.04540,0.00950,0.03590,0.03590,-0.17780,-0.22990,-0.22990,0.24000,0.24000,-0.77320,-0.77320,2.47840,,,,,,,,,,,0.71710,0.71710,0.02820,0.71710,24.74140,-0.79870,-0.79870
2017-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,0.0002,0.0002
2017-09-30,,,,0.00000,,0.00000,,0.00000,,0.00000,0.00000,0.00000,0.00000,0.00000,0.20210,0.20210,0.00000,0.00000,,,,,,,,,,,,,,,,,-0.0002,-0.0002
