Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,7.50160,1.84700,5.65460,-8.60410,12.80610,-7.15150,2.73120,-4.42030,0.26600,-4.68630,-4.68630,-4.68630,0.42600,-7.15150,6.55140,6.55140,-0.72000,-0.72000,0.05110,,2.60930,75.37850,-95.33250,-95.33250,-58.92500,-62.47090,0.01720,4.51930,19.91450,-5.00130,-5.00130,-1.07570,-5.00130,14.29040,-0.2743,-1.0209
2024-06-30,4.69970,1.70900,2.99070,-7.19920,11.38040,-8.38970,-7.09930,-15.48900,,-15.48900,-15.48900,-15.75500,-1.26230,-8.38970,6.52800,6.52800,-2.41000,-2.41000,0.04510,,2.36380,63.63660,-178.51640,-178.51640,-329.57600,-335.23600,0.01080,4.15400,21.66590,-15.77800,-15.77800,-3.54490,-15.77800,14.98980,-0.4315,-0.5527
2024-03-31,4.19130,0.97440,3.21690,-6.15040,10.30920,-7.09220,-7.53790,-14.63020,,-14.63020,-14.63020,-14.88760,-0.17990,-7.09220,6.48600,6.48600,-2.30000,-2.30000,0.05180,,1.97510,76.75120,-169.21250,-169.21250,-349.05930,-355.20090,0.00950,3.30500,27.23150,-12.87830,-12.87830,-3.32830,-12.87830,17.47210,-0.38190,-0.83940
2023-12-31,6.13710,1.63070,4.50640,-15.23950,19.82290,-15.31650,-4.58720,-19.90370,,-19.63770,-19.63770,-20.16310,-8.93680,-15.31650,5.82650,5.82650,-3.21000,-3.21000,0.05370,,1.74240,73.42820,-249.57110,-249.57100,-324.31540,-328.54180,0.01390,5.53660,16.25540,-15.49480,-15.49480,-4.44400,-15.49480,19.68890,-1.1778,-2.334
2023-09-30,8.74480,1.81410,6.93080,-12.40940,16.96920,-10.03850,-6.12580,-16.16440,0.26600,-16.43040,-16.43040,-16.41910,-1.92130,-10.03850,5.67260,5.67260,-2.89000,-2.89000,0.06590,,1.41200,79.25570,-114.79370,-114.79370,-184.84470,-187.75750,0.01960,2.33380,38.56350,-11.39660,-11.39660,-3.67520,-11.39660,25.40430,0.021,-3.1297
2023-06-30,6.12730,1.58760,4.53970,-10.69390,14.06700,-9.52730,-3.76610,-13.29340,,-13.29340,-13.29340,-13.55360,-3.55360,-9.52730,5.66040,5.66040,-2.39000,-2.39000,0.08310,,1.22430,74.08930,-155.48950,-155.48950,-216.95470,-221.20130,0.01360,2.32010,38.79150,-8.31790,-8.31790,-2.94670,-8.31790,28.20130,-1.4267,-3.1835
2023-03-31,3.12040,1.45920,1.66120,-13.67370,16.22710,-14.56590,-4.82650,-19.39240,,-19.39240,-19.39240,-19.60980,-9.47550,-14.56590,5.62910,5.62910,-3.48000,-3.48000,0.07800,,1.11870,53.23720,-466.78920,-466.78920,-621.46420,-628.43190,0.00680,1.15580,77.87040,-11.25820,-11.25820,-4.20510,-11.25820,30.50310,-2.05060,-3.77010
2022-12-31,3.06030,-13.31180,16.37210,-21.91200,24.52880,-8.15670,-10.03360,-18.19030,,-18.19030,-18.19030,-18.50770,-1.87770,-8.15670,5.20810,5.20810,-3.45000,-3.45000,0.15410,,0.90020,534.98520,-266.53380,-266.53370,-594.40040,-604.77060,0.00670,1.68970,53.26400,-9.51090,-9.51090,-3.98650,-9.51090,34.12280,-1.3879,-5.1978
2022-09-30,8.12700,1.80960,6.31740,-14.07050,16.72130,-10.40380,-0.55570,-10.95950,,-10.95950,-10.95950,-11.12430,-6.57740,-10.40380,5.38350,5.38350,-2.07000,-2.07000,0.19030,,0.81570,77.73310,-128.01510,-128.01510,-134.85220,-136.88000,0.01930,2.27700,39.52610,-5.34070,-5.34070,-2.60110,-5.34070,37.21040,-0.5977,-7.3391
2022-06-30,2.68550,8.63230,-5.94670,,3.52750,-9.47430,0.37930,-9.09500,,-9.09500,-9.09500,-9.20240,-4.86250,-9.47430,5.18300,5.18300,-1.78000,-1.78000,0.15180,,0.58920,-221.43550,-352.79040,-352.79040,-338.66710,-342.66670,0.00710,0.98090,91.74990,-4.26390,-4.26390,-2.40760,-4.26390,39.88860,0.505,-3.0568
