Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,622.10000,8.00000,614.10000,195.00000,234.30000,,430.30000,183.80000,6.50000,190.30000,60.50000,129.80000,129.80000,129.80000,190.30000,183.80000,101.10000,104.30000,1.28000,1.24000,4.36720,,,98.71400,29.54510,29.54510,30.58990,20.86480,0.17600,0.17470,1.29310,69.60140,4.77400,4.83530,3.67190,4.77400,26.86660,1.5077,1.4308
2024-06-30,590.20000,9.20000,581.00000,191.10000,242.00000,,435.60000,145.40000,-46.80000,98.60000,33.60000,65.00000,65.00000,65.00000,159.80000,145.40000,100.80000,103.90000,0.64000,0.63000,4.19020,,,98.44120,24.63570,24.63570,16.70620,11.01320,0.17860,0.21650,1.26060,71.39610,2.59050,2.62550,1.96670,2.59050,24.86820,0.6181,0.5068
2024-03-31,515.30000,7.50000,507.80000,159.40000,243.10000,,408.50000,99.30000,-64.80000,34.50000,-8.90000,43.40000,43.40000,43.40000,98.40000,99.30000,99.80000,103.60000,0.43000,0.42000,2.52350,,0.10850,98.54450,19.27030,19.27030,6.69510,8.42230,0.14840,0.20160,1.14330,78.71730,1.81890,1.84540,1.24990,1.81890,23.71870,1.25770,1.14960
2023-12-31,515.20010,8.50000,506.70010,137.50000,218.90000,,356.40000,150.30000,47.90000,198.20000,50.50000,147.70000,147.70000,147.70000,138.40010,150.30000,97.70000,101.00000,1.52000,1.49000,2.45420,,0.07620,98.35020,29.17310,29.17310,38.47050,28.66850,0.15850,0.22190,1.17280,76.74110,6.61740,6.72430,4.54270,6.61740,22.61400,1.2254,1.1717
2023-09-30,498.80000,11.20000,487.60000,142.20000,204.20000,,346.40000,141.20000,-25.60000,115.60000,32.50000,83.10000,83.10000,83.10000,146.70000,141.20000,97.90000,101.10000,0.85000,0.82000,2.38560,,0.08490,97.75460,28.30790,28.30790,23.17560,16.66000,0.17510,0.38890,1.19390,75.38490,4.15060,4.22430,2.91760,4.15060,20.38800,2.0921,2.0183
2023-06-30,452.70000,11.50000,441.20000,145.80000,221.80000,,367.60000,73.60000,48.00000,121.60000,26.10000,95.50000,95.50000,95.50000,80.80000,73.60000,97.60000,100.20000,0.98000,0.95000,2.56930,,0.09160,97.45970,16.25800,16.25800,26.86110,21.09570,0.17320,0.36280,1.16800,77.05770,5.15380,5.25850,3.65470,5.15380,18.98570,1.8323,1.7671
2023-03-31,420.40000,8.50000,411.90000,139.50000,242.70000,,526.10000,-114.20000,10.90000,-103.30000,-26.70000,-76.60000,-76.60000,-76.60000,-111.30000,-114.20000,97.10000,97.10000,-0.79000,-0.79000,3.83000,0.09140,0.10060,97.97810,-27.16460,-27.16460,-24.57180,-18.22070,0.17820,0.25450,1.07350,83.83450,-4.54730,-4.65000,-3.24600,-4.13160,17.27690,-1.28940,-1.37690
2022-12-31,411.99990,7.70000,404.29990,118.00000,182.90000,,300.90000,103.39990,14.50000,117.90000,28.90000,89.00000,89.00000,89.00000,111.69990,103.40000,95.80000,98.90000,0.92000,0.91000,2.70320,,0.09920,98.13110,25.09710,25.09710,28.61650,21.60200,0.17390,0.21940,1.17710,76.45630,5.21140,5.32740,3.75730,5.21140,17.69740,1.4479,1.4295
2022-09-30,387.90000,6.10000,381.80000,107.70000,186.30000,,294.00000,87.80000,10.10000,97.90000,29.40000,68.50000,68.50000,68.50000,92.00000,87.80000,95.80000,99.00000,0.72000,0.69000,2.48510,,0.10950,98.42740,22.63470,22.63470,25.23850,17.65920,0.18100,0.16490,1.28780,69.88400,4.43480,4.43480,3.19590,4.43480,16.07280,0.9629,0.986
2022-06-30,378.20000,4.80000,373.40000,135.90000,182.80000,,318.70000,54.70000,-78.00000,-23.30000,-6.40000,-16.90000,-16.90000,-16.90000,59.00000,54.70000,95.60000,95.60000,-0.18000,-0.18000,3.56770,0.10610,0.11870,98.73080,14.46330,14.46330,-6.16080,-4.46850,0.18860,0.16380,1.35560,66.39340,-1.18730,-1.18730,-0.84260,-1.06130,14.88910,1.4359,1.3422
