Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,6.75870,0.94730,5.81140,0.84760,0.56820,0.00000,1.41580,4.39560,0.46440,4.86000,0.83390,4.02610,4.02610,4.02610,4.40670,4.39560,4.83400,4.83900,0.83000,0.83000,36.32360,85.98470,65.03620,65.03620,71.90770,59.56990,0.10260,0.12770,2.28920,39.31510,6.20770,6.20770,6.11150,6.20770,13.41700,0.4409,0.3977
2024-06-30,6.78320,0.97550,5.80780,0.87850,0.54040,,1.41890,4.38880,0.49400,4.88280,0.78520,4.09760,4.09760,4.09760,4.41120,4.38880,4.83400,4.83900,0.85000,0.85000,18.57680,85.61910,64.70090,64.70090,71.98290,60.40750,0.10170,0.13620,3.23010,27.86300,6.31570,6.31570,6.14280,6.31570,13.42150,1.20940,1.02000
2024-03-31,7.08320,1.73800,5.34530,0.81130,0.47360,,1.28490,4.06030,0.50840,4.56870,0.75570,3.81300,3.81300,3.81300,4.10600,4.06030,4.83300,4.84000,0.78000,0.78000,32.04870,75.46350,57.32260,57.32260,64.50060,53.83110,0.10610,0.24280,2.25230,39.95850,5.81530,5.81530,5.70980,5.81530,13.56400,0.6452,0.6453
2023-12-31,6.75630,1.35510,5.40120,0.54090,0.38930,,0.93020,4.47100,0.49170,4.96270,0.77820,4.18440,4.18440,4.18440,4.51250,4.47100,4.83300,4.83700,0.87000,0.87000,36.08350,79.94350,66.17550,66.17550,73.45270,61.93400,0.09990,0.18440,3.00850,29.91530,6.28280,6.28280,6.18730,6.28280,13.78050,0.9797,0.9797
2023-09-30,7.13330,1.59990,5.53340,0.68320,0.43380,0.20290,0.91400,4.61930,0.51210,5.13140,0.40790,4.72360,4.72360,4.72360,4.67440,4.61930,4.83300,4.84100,0.98000,0.98000,26.13810,77.57180,64.75770,64.75770,71.93660,66.21870,0.10530,0.22960,2.44650,36.78790,7.10430,7.10430,6.97610,7.10430,13.75720,1.1071,1.1045
2023-06-30,8.83140,2.07960,6.75180,0.69600,0.47510,-0.21240,1.38360,5.36820,0.43650,5.80480,1.40100,4.40370,4.40370,4.40370,5.42770,5.36820,4.83200,4.84100,0.91000,0.91000,20.45680,76.45200,60.78580,60.78580,65.72870,49.86440,0.12960,0.33050,1.63630,55.00060,6.61760,6.61760,6.46480,6.61760,13.76900,1.03810,1.03720
2023-03-31,12.79770,2.52930,10.26840,0.61150,0.75270,,1.36420,8.90420,0.40810,9.31230,1.07970,8.23260,8.23260,8.23260,8.97400,8.90420,4.83100,4.83200,1.70000,1.70000,16.79810,80.23620,69.57640,69.57650,72.76550,64.32920,0.18480,0.39420,1.96180,45.87560,12.27300,12.27300,11.88740,12.27300,13.88520,0.8988,0.8929
2022-12-31,7.40170,1.47840,5.92330,0.70060,0.40340,,1.10400,4.81920,0.40610,5.22530,0.99400,4.23130,4.23130,4.23130,4.84820,4.81920,4.83100,4.83200,0.88000,0.88000,11.63620,80.02650,65.11020,65.11020,70.59670,57.16710,0.11260,0.22890,3.52920,25.50160,6.66820,6.66820,6.43740,6.66820,13.13510,1.1166,0.9339
2022-09-30,10.71780,2.40280,8.31500,0.67000,0.43560,,1.10560,7.20940,0.35140,7.56080,1.47040,6.09040,6.09040,6.09040,7.28070,7.20940,4.83100,4.83100,1.26000,1.26000,7.65490,77.58150,67.26590,67.26590,70.54430,56.82470,0.15880,0.41460,1.82890,49.21120,9.55880,9.55880,9.02170,9.55880,13.18880,1.2462,1.2461
2022-06-30,7.33640,1.65180,5.68460,0.60190,0.37130,,0.97330,4.71130,0.28310,4.99440,0.85430,4.14010,4.14010,4.14010,4.79890,4.71130,4.83100,4.83100,0.86000,0.86000,33.90540,77.48430,64.21840,64.21840,68.07670,56.43250,0.11270,0.29800,2.08820,43.09870,6.51550,6.51550,6.36210,6.51550,13.15320,0.68950,0.68450
