Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,0.01850,0.01850,0.38650,0.36800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.60900,46.60900,0.00000,0.00000,,100.00000,-0.00010,-0.00010,-0.00010,-0.00010,0.00490,0.00000,0.00000,0.00000,0.00000,0.05740
2024-06-30,1.89210,1.89210,0.82640,,1.06570,1.06570,1.06570,1.06570,1.06570,1.06570,1.06570,46.60900,46.60900,0.02290,0.02290,,100.00000,56.32210,56.32210,56.32210,56.32210,0.45640,39.79980,39.79980,25.70790,39.79980,0.05740
2024-03-31,5.10870,5.10870,1.01620,,4.09250,4.09250,4.09250,4.09250,4.09250,4.09250,4.09250,46.60900,46.60900,0.08780,0.08780,,100.00000,80.10910,80.10910,80.10910,80.10910,0.84750,151.36420,151.36420,67.89560,151.36420,0.05800
2023-12-31,4.01230,4.01230,0.38020,,3.63210,3.63210,3.63210,3.63210,3.63210,3.63210,3.63210,46.60900,46.60900,0.07790,0.07790,,100.00000,90.52420,90.52430,90.52430,90.52430,0.92710,131.92030,131.92030,83.92870,131.92030,0.05910
2023-09-30,4.33980,4.33980,0.39280,,3.94710,3.94710,3.94710,3.94710,3.94710,3.94710,3.94710,46.60900,46.60900,0.08470,0.08470,,100.00000,90.94980,90.94980,90.94980,90.94980,0.68980,141.78750,141.78750,62.74130,141.78750,0.05970
2023-06-30,8.58170,8.58170,0.49420,,8.08750,8.08750,8.08750,8.08750,8.08750,8.08750,8.08750,46.60900,46.60900,0.17350,0.17350,,100.00000,94.24130,94.24130,94.24130,94.24130,1.86380,287.54030,287.54030,175.64740,287.54030,0.06030
2023-03-31,36.45360,36.45360,0.48240,,35.97130,35.97130,35.97130,35.97130,35.97130,35.97130,35.97130,46.60900,46.60900,0.77180,0.77180,,100.00000,98.67680,98.67680,98.67680,98.67680,1.58820,1258.57700,1258.57700,156.71600,1258.57700,0.06130
2022-12-31,29.09270,29.09270,0.31690,,28.77570,28.77570,28.77570,28.77570,28.77570,28.77570,28.77570,46.60900,46.60900,0.61740,0.61740,,100.00000,98.91060,98.91050,98.91050,98.91060,3.44010,969.30070,969.30100,340.26300,969.30070,0.06370
2022-09-30,21.35810,21.35810,0.24660,,21.11150,21.11150,21.11150,21.11150,21.11150,21.11150,21.11150,46.60900,46.60900,0.45300,0.45300,,100.00000,98.84550,98.84550,98.84550,98.84550,2.15200,674.39120,674.39110,212.71590,674.39120,0.06720
2022-06-30,13.72480,13.72480,0.38170,,13.34300,13.34300,13.34300,13.34300,13.34300,13.34300,13.34300,46.60900,46.60900,0.28630,0.28630,,100.00000,97.21880,97.21880,97.21880,97.21880,1.44580,405.43900,405.43910,140.55450,405.43900,0.07060
2022-03-31,14.89070,14.89070,0.52150,,14.36920,14.36920,14.36920,14.36920,14.36920,14.36920,14.36920,46.60900,46.60900,0.30830,0.30830,,100.00000,96.49800,96.49800,96.49800,96.49800,1.49080,418.09660,418.09660,143.86320,418.09660,0.07370
2021-12-31,15.78630,15.78630,0.40740,,15.37890,15.37890,15.37890,15.37890,15.37890,15.37890,15.37890,46.60900,46.60900,0.33000,0.33000,,100.00000,97.41950,97.41950,97.41950,97.41950,1.58950,416.67690,416.67690,154.84860,416.67690,0.07920
2021-09-30,6.05980,6.05980,0.38590,,5.67390,5.67390,5.67390,5.67390,5.67390,5.67390,5.67390,46.60900,46.60900,0.12170,0.12170,,100.00000,93.63170,93.63170,93.63170,93.63170,0.89730,140.81560,140.81560,84.01320,140.81560,0.08640
2021-06-30,7.56610,7.56610,0.40010,,7.16600,7.16600,7.16600,7.16600,7.16600,7.16600,7.16600,46.60900,46.60900,0.15370,0.15370,,100.00000,94.71150,94.71150,94.71150,94.71150,1.21900,163.39090,163.39090,115.45360,163.39090,0.09410
2021-03-31,8.21250,8.21250,0.46130,,7.75120,7.75120,7.75120,7.75120,7.75120,7.75120,7.75120,46.60900,46.60900,0.16630,0.16630,,100.00000,94.38350,94.38350,94.38350,94.38350,0.99780,162.88630,162.88630,94.17180,162.88630,0.10210
2020-12-31,2.80540,2.80540,0.19330,,2.21500,2.21500,2.21500,2.21500,2.21500,2.21500,2.21500,46.60900,46.60900,0.04750,0.04750,,100.00000,78.95460,78.95460,78.95460,78.95450,0.43760,43.22890,43.22890,34.55340,43.22890,0.10990
2020-09-30,0.00040,0.00040,0.29030,0.28990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.60900,46.60900,0.00000,0.00000,,,,,,,0.00010,0.00000,0.00000,0.00000,0.00000,0.11100
2020-06-30,0.97280,0.97280,0.49470,0.10710,0.58520,0.58520,0.58520,0.58520,0.58520,0.58520,0.58520,46.60900,46.60900,0.01260,0.01260,,100.00000,60.16240,60.16240,60.16240,60.16240,0.16040,11.31550,11.31550,9.64960,11.31550,0.11100
2020-03-31,5.07200,5.07200,0.45370,,4.61830,4.61830,4.61830,4.61830,4.61830,4.61830,4.61830,46.60900,46.60900,0.09910,0.09910,,100.00000,91.05460,91.05460,91.05460,91.05460,0.65420,87.89690,87.89690,59.56960,87.89690,0.11270
2019-12-31,0.94430,0.94430,0.44550,,0.07940,0.07940,0.07940,0.07940,0.07940,0.07940,0.07940,46.60900,46.60900,0.00170,0.00170,,100.00000,8.41020,8.41020,8.41020,8.41020,0.14460,1.45670,1.45670,1.21590,1.45670,0.11700
2019-09-30,0.00560,0.00560,0.34010,0.33450,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.60900,46.60900,0.00000,0.00000,,100.00000,0.00010,0.00010,0.00010,0.00010,0.00090,0.00000,0.00000,0.00000,0.00000,0.11990
2019-06-30,2.41790,2.41790,0.50610,0.08490,1.99670,1.99670,1.99670,1.99670,1.99670,1.99670,1.99670,46.60900,46.60900,0.04280,0.04280,,100.00000,82.58110,82.58110,82.58110,82.58110,0.37190,35.74270,35.74270,30.71200,35.74270,0.11990
2019-03-31,6.55760,6.55760,0.54280,,6.01480,6.01480,6.01480,6.01480,6.01480,6.01480,6.01480,46.60900,46.60900,0.12910,0.12910,,100.00000,91.72290,91.72290,91.72290,91.72290,0.74980,106.02470,106.02470,68.77000,106.02470,0.12170
2018-12-31,6.81490,6.81490,0.33030,,6.38670,6.38670,6.38670,6.38670,6.38670,6.38670,6.38670,46.60900,46.60900,0.13700,0.13700,,100.00000,93.71690,93.71690,93.71690,93.71690,0.85500,109.27290,109.27300,80.12860,109.27290,0.12540
2018-09-30,3.00580,3.00580,0.27370,0.09790,2.83000,2.83000,2.83000,2.83000,2.83000,2.83000,2.83000,46.60900,46.60900,0.06070,0.06070,,100.00000,94.15040,94.15040,94.15040,94.15040,0.43250,46.79990,46.79990,40.72460,46.79990,0.12970
2018-06-30,2.99450,2.99450,0.46260,,2.53190,2.53190,2.53190,2.53190,2.53190,2.53190,2.53190,46.60900,46.60900,0.05430,0.05430,,100.00000,84.55200,84.55200,84.55200,84.55200,0.41680,41.11980,41.11980,35.23740,41.11980,0.13210
2018-03-31,6.65210,6.65210,0.42470,,6.22740,6.22740,6.22740,6.22740,6.22740,6.22740,6.22740,46.60900,46.60900,0.13360,0.13360,,100.00000,93.61550,93.61550,93.61550,93.61550,0.75840,98.28530,98.28530,70.99470,98.28530,0.13590
2017-12-31,10.55250,10.55250,0.38660,,10.16580,10.16580,10.16580,10.16580,10.16580,10.16580,10.16580,46.60900,46.60900,0.21810,0.21810,,100.00000,96.33610,96.33610,96.33610,96.33610,0.95990,154.55740,154.55740,92.47350,154.55740,0.14110
2017-09-30,15.12270,15.12270,0.28680,,14.83600,14.83600,14.83600,14.83600,14.83600,14.83600,14.83600,46.60900,46.60900,0.31830,0.31830,,100.00000,98.10380,98.10380,98.10380,98.10380,0.83930,214.43590,214.43590,82.34090,214.43590,0.14840
2017-06-30,6.45250,6.45250,0.47100,,5.98140,5.98140,5.98140,5.98140,5.98140,5.98140,5.98140,46.60900,46.60900,0.12830,0.12830,,100.00000,92.70010,92.70010,92.70010,92.70010,0.64390,83.00160,83.00160,59.68820,83.00160,0.15460
2017-03-31,8.60960,8.60960,0.46260,,8.14700,8.14700,8.14700,8.14700,8.14700,8.14700,8.14700,46.60900,46.60900,0.17480,0.17480,,100.00000,94.62700,94.62700,94.62700,94.62700,0.73130,109.16120,109.16120,69.19740,109.16120,0.16010
2016-12-31,8.40650,8.40650,0.72570,,7.68080,7.68080,7.68080,7.68080,7.68080,7.68080,7.68080,46.60900,46.60900,0.16490,0.16490,,100.00000,91.36760,91.36760,91.36760,91.36750,0.71750,98.67000,98.67000,65.55280,98.67000,0.16700
