Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.08390,2.60440,0.47950,1.34130,2.10980,-1.63030,,-1.63030,-1.63030,-1.63030,-1.66160,-0.86170,-1.63030,1.79800,1.79800,-0.92000,-0.92000,0.07940,0.14110,0.21810,15.54860,-52.86310,-52.86310,-52.86310,-53.87840,0.19420,5.32700,16.89520,-24.40650,35.91700,-10.26690,-20.96390,3.69240,-0.2095,-0.2095
2024-06-30,3.52120,2.97270,0.54850,2.20200,3.16350,-2.61510,-0.03290,-2.64800,-2.64800,-2.64800,-2.67900,-1.65360,-2.61510,1.79800,1.79800,-1.49000,-1.49000,0.07090,,0.13600,15.57660,-74.26780,-74.26780,-75.20300,-76.08250,0.21220,6.74550,13.34220,-32.00280,86.62120,-15.95780,-32.00280,4.60200,-0.6488,-0.6488
2024-03-31,3.49620,2.75360,0.74260,2.68970,3.63010,-2.88760,0.48690,-2.40060,-2.40060,-2.40060,-2.40290,-1.94710,-2.88760,17.48400,17.48400,-0.14000,-0.14000,0.18380,,0.05080,21.24000,-82.59200,-82.59200,-68.66400,-68.72950,0.19130,5.71950,15.73560,-21.56030,762.72550,-13.13210,-21.56030,6.19270,-0.02430,-0.02430
2023-12-31,5.91060,4.26680,1.64380,5.80280,20.22810,-18.58430,0.40010,-18.18410,-18.18410,-18.18410,-18.20700,-17.06180,-18.58430,1.52040,1.52040,-4.71000,-4.71000,0.25170,0.01190,0.03410,27.81050,-314.42260,-314.42260,-307.65330,-308.04020,0.29960,6.78690,13.26090,-147.30130,-2580.27500,-92.17240,-145.54400,8.11100,0.0493,0.0551
2023-09-30,9.69440,6.44660,3.24790,3.29720,5.10770,-1.85990,-0.02490,-1.88490,-1.88490,-1.88490,-1.83300,-0.04930,-1.85990,1.51500,1.51500,-1.21000,-1.21000,0.60610,0.00120,0.01110,33.50250,-19.18530,-19.18530,-19.44260,-18.90830,0.26970,4.19360,21.46110,-6.28410,-44.41710,-5.24390,-6.27660,19.70970,0.0744,0.0188
2023-06-30,8.34400,5.39070,2.95330,1.88550,3.58500,-0.63170,0.04220,-0.58950,-0.58950,-0.58950,-0.61880,1.06780,-0.63170,1.51500,1.51500,-0.41000,-0.41000,0.59390,0.00340,0.01280,35.39470,-7.57110,-7.57110,-7.06550,-7.41600,0.22400,4.44150,20.26370,-1.84920,-11.27010,-1.58260,-1.84280,20.94990,1.1849,0.4908
2023-03-31,6.62260,5.07740,1.54520,2.24770,3.94730,-2.40210,-0.21330,-2.61540,-2.61540,-2.61540,-2.64600,-0.70260,-2.40210,15.14800,15.14800,-0.17000,-0.17000,0.65340,0.00570,0.01500,23.33160,-36.27180,-36.27180,-39.49220,-39.95470,0.17550,4.07850,22.06720,-8.09990,-43.43890,-6.93060,-8.05370,21.21800,0.03770,-0.02420
2022-12-31,6.96350,5.54290,1.42060,2.93230,4.60180,-3.18120,0.00000,-3.18120,-3.18120,-3.18120,-3.16150,-1.52740,-3.18120,1.46790,1.46790,-2.10000,-2.10000,0.93640,0.00740,0.01610,20.40070,-45.68310,-45.68310,-45.68310,-45.40020,0.18020,6.42890,13.99940,-9.18410,-42.58970,-8.22990,-9.11580,22.96630,-0.6094,-1.1452
2022-09-30,6.24660,4.67920,1.56740,1.57740,3.26990,-1.70260,-0.01000,-1.71260,-1.71260,-1.71260,-1.85460,0.16740,-1.70260,1.47030,1.47030,-1.30000,-1.30000,1.75910,0.00880,0.01670,25.09160,-27.25620,-27.25620,-27.41610,-29.69060,0.15170,9.68680,9.29100,-4.52910,-17.50260,-4.15890,-4.48950,25.71740,-0.3708,-0.8494
2022-06-30,8.37240,6.67210,1.70030,1.92560,3.53150,-1.83110,0.39320,-1.43800,-1.43800,-1.43800,-1.57850,-0.39220,-1.83110,1.47030,1.47030,-1.10000,-1.10000,1.88920,0.01020,0.01790,20.30820,-21.87090,-21.87090,-17.17490,-18.85340,0.19370,9.97620,9.02140,-3.64460,-13.66010,-3.32720,-3.60730,26.83410,0.0811,0.0311
2022-03-31,8.78650,6.25810,2.52830,2.09360,3.98400,-1.45560,0.00000,-1.45560,-1.45560,-1.45560,-1.59460,0.43990,-1.45560,1.45110,1.45110,-1.10000,-1.10000,1.81610,0.01120,0.01870,28.77520,-16.56650,-16.56650,-16.56640,-18.14820,0.19550,7.49250,12.01210,-3.56590,-13.24100,-3.23830,-3.52580,27.76330,-0.40980,-0.40980
