Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share
2024-09-30,4.58840,2.09260,2.49580,0.19090,-0.55650,0.74750,1.74830,0.01450,1.76270,1.76270,1.76270,1.52130,1.74830,1.74830,6.00000,6.00000,0.25350,0.25350,1.00000,54.39270,38.10220,38.10220,38.41740,33.15430,1.12150,890.25940,0.10110,71.13640,71.13640,43.08460,71.13640,0.41300
2024-06-30,4.71470,1.68940,3.02520,0.23430,-1.28650,1.52080,1.50450,0.01520,1.51960,1.51960,1.51960,1.34580,1.50450,1.50450,6.00000,6.00000,0.22430,0.22430,1.00000,64.16630,31.91030,31.91030,32.23210,28.54410,1.26340,880.75020,0.10220,59.57650,59.57650,40.72150,59.57650,0.42510
2024-03-31,4.37140,1.56520,2.80630,0.36150,-0.70980,1.07130,1.73500,,1.73500,1.73500,1.73500,1.49320,1.73500,1.73500,6.00000,6.00000,0.24890,0.24890,1.00000,64.19580,39.68920,39.68920,39.68920,34.15840,1.16980,843.74460,0.10670,66.20790,66.20790,46.42910,66.20790,0.43680
2023-12-31,5.94170,2.69400,3.24770,0.14730,-0.35520,0.50250,2.74510,,2.71150,2.71150,2.71150,2.41690,2.74510,2.74510,6.00000,6.00000,0.40280,0.40280,1.00000,54.65910,46.20140,46.20140,45.63580,40.67690,1.31190,1173.77700,0.07670,101.49500,101.49500,59.87070,101.49500,0.44530
2023-09-30,5.37230,1.56540,3.80690,0.24160,-0.61570,0.85720,2.94970,0.01660,2.96630,2.96630,2.96630,2.45120,2.94970,2.94970,6.00000,6.00000,0.40850,0.40850,1.00000,70.86220,54.90520,54.90520,55.21410,45.62640,1.25610,915.37160,0.09830,108.55060,108.55060,69.35400,108.55060,0.45540
2023-06-30,6.24780,1.76600,4.48180,0.13950,-0.96730,1.10680,3.37510,0.01700,3.39210,3.39210,3.39210,3.04060,3.37510,3.37510,6.00000,6.00000,0.50680,0.50680,1.00000,71.73400,54.01980,54.01980,54.29200,48.66680,1.47010,1050.75900,0.08570,121.68240,121.68240,79.81560,121.68240,0.46460
2023-03-31,7.87800,1.59210,6.28580,0.28780,-1.93840,2.22630,4.05960,,4.05960,4.05960,4.05960,3.63920,4.05960,4.05960,6.00000,6.00000,0.60650,0.60650,1.00000,79.78990,51.53100,51.53100,51.53100,46.19450,1.60500,1431.06200,0.06290,143.30060,143.30060,82.70620,143.30060,0.47220
2022-12-31,6.34330,1.62860,4.71470,0.20360,-1.42920,1.63290,3.08190,,3.07620,3.07620,3.07620,2.76300,3.08190,3.08190,6.00000,6.00000,0.46050,0.46050,1.00000,74.32540,48.58430,48.58430,48.49430,43.55820,1.30420,1881.18200,0.04780,103.85590,103.85590,63.24400,103.85590,0.49370
2022-09-30,7.07160,1.51420,5.55730,0.08600,-1.11280,1.19890,4.35850,0.00480,4.36330,4.36330,4.36330,3.73630,4.35850,4.35850,6.00000,6.00000,0.62270,0.62270,1.00000,78.58720,61.63370,61.63370,61.70150,52.83490,1.35260,3255.78800,0.02760,144.20130,144.20130,83.45600,144.20130,0.50430
2022-06-30,7.37840,1.50050,5.87780,0.20950,-1.55680,1.76630,4.11150,0.00090,4.11250,4.11250,4.11250,3.55900,4.11150,4.11150,6.00000,6.00000,0.59320,0.59320,1.00000,79.66320,55.72440,55.72440,55.73670,48.23560,1.28770,,,132.79660,132.79660,71.77150,132.79660,0.51610
