Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.44300,,-0.44300,7.40780,6.96480,6.96480,6.96480,6.96480,-0.44300,-0.44300,12.50000,12.50000,0.11000,0.11000,2.50650,,-32.34030,-32.34080,1.27630,-32.34030,-1.72290,-0.0165,-0.0165
2024-06-30,0.37340,,-0.37340,6.95880,6.58540,6.58540,6.58540,6.58540,-0.37340,-0.37340,12.50000,12.50000,0.11000,0.11000,3.83360,,-31.22060,-31.22070,1.22270,-31.22060,-1.68740,-0.0198,-0.0198
2024-03-31,0.45550,,-0.45550,6.84890,6.39340,6.39340,6.39340,6.39340,-0.45550,-0.45550,12.50000,12.50000,0.10000,0.10000,4.89340,,-30.85680,-30.85680,1.20180,-30.85680,-1.65760,-0.02090,-0.02090
2023-12-31,0.43140,,-0.43140,7.38110,6.94970,6.94970,6.94970,6.94970,-0.43140,-0.43140,12.50000,12.50000,0.19000,0.19000,8.65210,,-34.29560,-34.29550,1.32260,-34.29560,-1.62110,-0.0211,-0.0211
2023-09-30,0.38390,,-0.38390,6.78410,6.40010,6.40010,6.40010,6.40010,-0.38390,-0.38390,12.50000,12.50000,0.10000,0.10000,8.96040,,-32.27070,-32.27070,1.23420,-32.27070,-1.58660,-0.0206,-0.0206
2023-06-30,0.30730,,-0.30730,3.87320,3.56590,3.56590,3.56590,3.56590,-0.30730,-0.30730,12.50000,12.50000,0.07000,0.07000,11.59620,,-18.34400,-18.34400,0.69630,-18.34400,-1.55510,-0.0665,-0.0665
2023-03-31,0.00030,,-0.00030,,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,12.50000,12.50000,0.00000,0.00000,0.00110,,-3.46380,-3.46380,-0.03560,-3.46380,0.00070,0.00000,
2022-12-31,0.00470,,-0.00470,,-0.00470,-0.00470,-0.00470,-0.00470,-0.00470,-0.00470,12.50000,12.50000,,0.00000,0.00240,26.02870,-52.44950,-52.44940,-0.91690,-52.44950,0.00070,0,0
2022-09-30,0.00030,,-0.00030,,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,12.50000,12.50000,0.00000,0.00000,,,,,,,,0,0
2022-06-30,0.00030,,-0.00030,,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,-0.00030,12.50000,12.50000,0.00000,0.00000,,,,,,,,-0.0002,-0.0002
2022-03-31,,0.00180,0.00180,,0.00180,0.00180,0.00180,-0.00180,0.00180,0.00180,11.25000,11.25000,0.00000,0.00000,,,,,,,,0.00020,0.00020
