Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,63.61400,11.80000,-75.41400,4.78000,-70.63400,-70.63400,-70.63400,-70.63400,-80.99400,-75.41400,110.16600,110.16600,-0.64000,-0.64000,6.43810,,,,,,,,,-34.61450,-22.44780,-18.39350,-22.44780,2.84870,-0.3767,-0.379
2024-06-30,,,54.29400,10.09300,-64.38700,5.43700,-58.95000,-58.95000,-58.95000,-58.95000,-61.20000,-64.38700,99.24000,99.24000,-0.59000,-0.59000,9.24860,,,,,,,,,-22.75160,-15.79490,-13.71140,-15.79490,3.41330,-0.4055,-0.407
2024-03-31,,,52.70500,9.69900,-62.40400,4.05600,-58.34800,-58.34800,-58.34800,-58.34800,-63.20100,-62.40400,94.80500,94.80500,-0.62000,-0.62000,12.04560,,,,,,,,,-29.14760,-13.81560,-12.25510,-13.81560,4.41710,-0.55410,-0.55480
2023-12-31,,,48.71900,9.50900,-58.22800,3.86300,-54.36500,-54.36500,-54.36500,-54.36500,-61.93200,-58.22800,79.65800,79.65800,-0.64000,-0.64000,7.09420,,,,,,,,,-27.48940,-21.08790,-17.34480,-21.08790,2.99340,-0.6571,-0.6634
2023-09-30,,,50.12700,9.45300,-59.58000,4.19800,-55.38200,-55.38200,-55.38200,-55.38200,-58.09000,-59.58000,86.16600,86.16600,-0.64000,-0.64000,8.23620,,,,,,,,,-22.80380,-18.28400,-15.58100,-18.28400,3.51700,-0.3138,-0.311
2023-06-30,,,38.87100,8.21400,-47.08500,3.00900,-44.07600,-44.07600,-44.07600,-44.07600,-47.26000,-47.08500,74.75300,74.75300,-0.59000,-0.59000,12.98750,,,,,,,,,-15.40480,-12.65000,-11.23330,-12.65000,4.08310,-0.3989,-0.4149
2023-03-31,,,36.03800,7.19900,-43.23700,4.65000,-38.58700,-38.58700,-38.58700,-38.58700,-43.75100,-43.23700,70.73500,70.73500,-0.55000,-0.55000,10.71350,,,,,,,,,-23.92950,-17.26000,-14.66080,-17.26000,3.15110,-0.55870,-0.57430
2022-12-31,,,36.74200,7.00300,-43.74500,4.12700,-39.61800,-39.61800,-39.61800,-39.61800,-44.50700,-43.74500,58.74000,58.74000,-0.50000,-0.50000,9.86870,,,,,,,,,-20.86200,-15.49180,-13.17040,-15.49180,3.65900,-0.7372,-0.7837
2022-09-30,,,29.93600,6.88500,-36.82100,1.75900,-35.06200,-35.06200,-35.06200,-35.06200,-37.02100,-36.82100,69.57600,69.57600,-0.50000,-0.50000,12.58620,,,,,,,,,-15.64490,-12.09280,-10.57490,-12.09280,4.15040,-0.1731,-0.2115
2022-06-30,,,29.47900,6.37600,-35.85500,0.92800,-34.92700,-34.92700,-34.92700,-34.92700,-35.75800,-35.85500,49.38900,49.38900,-0.71000,-0.71000,11.95590,,,,,,,,,-14.08430,-10.93570,-9.54150,-10.93570,4.86070,-0.4812,-0.5035
2022-03-31,,,25.47000,5.94800,-31.41800,0.78400,-30.63400,-30.63400,-30.63400,-30.63400,-31.34900,-31.41800,45.10600,45.10600,-0.68000,-0.68000,10.89170,,,,,,,,,-27.98570,-16.30660,-14.80840,-16.30660,4.10010,-0.62820,-0.63790
2021-12-31,,,20.51400,5.12600,-25.64000,0.72800,-24.91200,-24.91200,-24.91200,-24.91200,-25.57200,-25.64000,38.73100,38.73100,-0.62000,-0.62000,13.03700,,,,,,,,,-19.34400,-11.63110,-10.73370,-11.63110,4.88940,-0.564,-0.5761
2021-09-30,,,14.79800,5.02100,-19.81900,0.73500,-19.08400,-19.08400,-19.08400,-19.08400,-19.77100,-19.81900,39.84900,39.84900,-0.48000,-0.48000,12.41870,,,,,,,,,-17.06400,-9.67560,-8.86040,-9.67560,4.94940,-0.3321,-0.3612
2021-06-30,,,12.38800,4.90400,-17.29200,0.74300,-16.54900,-16.54900,-16.54900,-16.54900,-17.27800,-17.29200,38.44200,38.44200,-0.43000,-0.43000,16.17940,,,,,,,,,-12.98940,-7.77660,-7.24190,-7.77660,5.34270,-0.2952,-0.2984
2021-03-31,,,8.21300,4.58700,-12.80000,1.07200,-11.72800,-11.72800,-11.72800,-11.72800,-12.78300,-12.80000,34.87900,34.87900,-0.34000,-0.34000,28.15690,,,,,,,,,-8.87930,-5.17190,-4.93580,-5.17190,6.09680,-0.32590,-0.32590
2020-12-31,,,6.10800,5.34800,-11.45600,0.11800,-11.33800,-11.33800,-11.33800,-115.73800,-11.43900,-11.45600,11.08100,11.08100,-9.34000,-9.34000,18.70410,,,,,,,,,-9.15940,-4.83150,-4.51860,-4.83150,7.25450,-0.5468,-0.6417
2020-09-30,0.31200,0.31200,51.91300,5.59800,-57.19900,7.21600,-49.98300,-49.98300,-49.98300,-49.98300,-57.07700,-57.19900,9.85100,9.85100,-5.07000,-5.07000,6.63070,100.00000,-18333.01000,-18333.01000,-16020.19000,-16020.19000,0.00220,,,225.41270,225.41250,-35.73530,225.41270,-8.30720,-0.6032,0.2516
2020-06-30,0.52800,0.52800,5.12900,2.80200,-7.40300,0.01000,-7.39300,-7.39300,-7.39300,-7.39300,-7.11700,-7.40300,7.77700,7.77700,-0.95000,-0.95000,2.89620,100.00000,-1402.08300,-1402.08300,-1400.18900,-1400.18900,0.01700,,,-38.42320,-38.42320,-23.80620,-38.42320,2.46980,-1.0376,-1.0376
2020-03-31,7.03100,7.03100,9.49800,3.67400,-6.14100,0.04700,-6.09400,-6.09400,-6.09400,-6.09400,-5.84600,-6.14100,7.53400,7.53400,-0.81000,-0.81000,3.37140,100.00000,-87.34180,-87.34180,-86.67330,-86.67330,0.18060,,,-23.71020,-23.71020,-15.65010,-23.71020,3.33550,-1.04770,-1.04770
