Date,revenue,cost-goods-sold,gross-profit,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,17.35100,7.32900,10.02200,-10.28900,10.28900,-0.26700,0.08400,-0.18300,-0.05100,-0.13200,-0.13200,,-0.13200,0.89900,-0.26700,8.42300,8.51400,-0.02000,-0.02000,6.39330,,,57.76040,-1.53880,-1.53880,-1.05470,-0.76080,0.23760,0.19210,13.34690,6.74310,-0.22910,-0.22910,-0.18070,-0.22910,6.84060,-0.063,-0.167
2024-06-30,17.28600,7.26800,10.01800,-9.95500,9.95500,0.06300,0.08700,0.15000,0.04900,0.10100,0.10100,,0.10100,1.25300,0.06300,8.41600,8.50500,0.01000,0.01000,6.41560,,,57.95440,0.36450,0.36450,0.86780,0.58430,0.23750,0.19540,16.06510,5.60220,0.17550,0.17550,0.13870,0.17550,6.83080,-0.0605,-0.084
2024-03-31,19.27500,8.35500,10.92000,-10.27100,10.27100,0.64900,0.05800,0.70700,0.18200,0.52500,0.52500,,0.52500,1.88900,0.64900,8.40000,8.50000,0.06000,0.06000,6.39470,,,56.65370,3.36710,3.36710,3.66800,2.72370,0.26610,0.22780,28.85480,3.11910,0.91720,0.91720,0.72480,0.91720,6.81240,0.12780,-0.01660
2023-12-31,20.84500,9.36000,11.48500,-9.72600,9.72600,1.75900,0.21500,1.97400,0.03700,1.93700,1.93700,,1.93700,2.94900,1.75900,8.34000,8.37000,0.23000,0.23000,5.73740,0.00000,0.00000,55.09720,8.43840,8.43850,9.46990,9.29240,0.28900,0.24640,40.71290,2.21060,3.43770,3.43770,2.68520,3.43760,6.70870,0.3989,0.3697
2023-09-30,17.54200,6.60400,10.93800,-10.05800,10.05800,0.88000,-0.04300,0.83700,0.20100,0.63600,0.63600,,0.63600,2.05600,0.88000,8.33000,8.40500,0.08000,0.08000,6.30520,,0.00010,62.35320,5.01650,5.01650,4.77140,3.62560,0.25540,0.17120,25.53420,3.52470,1.18560,1.18570,0.92610,1.18560,6.44000,-0.1352,-0.1541
2023-06-30,17.48200,6.56100,10.92100,-10.13100,10.13100,0.79000,0.00200,0.79200,0.26100,0.53100,0.53100,,0.53100,1.93100,0.79000,8.32700,8.36700,0.06000,0.06000,5.39670,0.00000,0.00020,62.47000,4.51890,4.51890,4.53040,3.03740,0.24650,0.17490,21.50310,4.18540,1.00200,1.00210,0.74870,1.00190,6.36050,0.183,0.1726
2023-03-31,20.36000,8.54100,11.81900,-10.83800,10.83800,0.98100,-0.03900,0.94200,0.27800,0.66400,0.66400,,0.66400,2.10000,0.98100,8.30300,8.35000,0.08000,0.08000,6.78700,,0.00030,58.05010,4.81830,4.81830,4.62670,3.26130,0.29860,0.23810,26.23710,3.43030,1.26920,1.26930,0.97380,1.26920,6.29480,0.09540,0.08500
2022-12-31,22.36800,9.89900,12.46900,-12.14900,12.14900,0.32000,0.03200,0.35200,-0.09600,0.44800,0.44800,,0.44800,1.43200,0.32000,8.36300,8.39500,0.05000,0.05000,5.32720,0.00000,0.00030,55.74480,1.43060,1.43060,1.57370,2.00290,0.32620,0.25900,33.28570,2.70390,0.87050,0.87050,0.65330,0.87050,6.20560,0.6156,0.6408
2022-09-30,19.05700,7.46100,11.59600,-10.62000,10.62000,0.97600,0.00500,0.98100,0.25800,0.72300,0.72300,,0.72300,2.07400,0.97600,8.23600,8.27600,0.09000,0.09000,4.31960,,0.00030,60.84900,5.12150,5.12150,5.14770,3.79390,0.27140,0.17640,9.38310,9.59180,1.42710,1.42720,1.02950,1.42710,6.15140,-0.2579,-0.3028
2022-06-30,18.41000,7.90900,10.50100,-11.23800,11.23800,-0.73700,-0.03000,-0.76700,-0.17800,-0.58900,-0.58900,,-0.58900,0.37200,-0.73700,8.27900,8.27900,-0.07000,-0.07000,3.96340,,0.00030,57.03970,-4.00330,-4.00330,-4.16620,-3.19930,0.25890,0.19720,7.77450,11.57630,-1.17480,-1.17490,-0.82820,-1.17480,6.08740,-0.2525,-0.2882
