Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,452.22970,338.17980,114.04990,34.81050,1.38340,33.42710,80.62280,110.98140,191.60420,24.91600,166.68820,166.68820,166.73090,91.43100,80.62280,165.97220,165.97220,1.00460,1.00460,3.71630,0.00010,25.21950,17.82780,17.82780,42.36880,36.86860,0.11420,0.55540,0.91970,97.86220,5.48590,5.71270,4.20990,5.48590,18.31480,1.5293,1.0639
2024-06-30,486.82430,368.64510,118.17920,33.68450,2.36380,31.32060,86.85860,154.38630,241.24500,10.48510,230.75990,230.75990,230.78590,130.33800,86.85860,166.00200,,1.39030,0.00000,3.58580,0.00010,24.27550,17.84190,17.84190,49.55480,47.40640,0.11580,0.59680,0.86970,103.48550,7.24800,7.56090,5.48810,7.24800,19.19070,0.2751,0.0626
2024-03-31,464.45350,346.12020,118.33330,35.04290,0.26640,34.77650,83.55680,8.65980,92.21660,6.48670,85.72980,85.72980,85.77610,68.91490,83.55680,165.67700,165.67700,0.51770,0.51770,3.36970,0.00010,25.47800,17.99040,17.99040,19.85490,18.46820,0.11480,0.55000,0.78820,114.18560,3.07930,2.96790,2.11900,2.83680,18.21590,-0.27510,-0.06260
2023-12-31,510.01150,395.95890,114.05260,41.87750,-16.07410,57.95160,56.10100,-19.06930,37.03190,12.05960,24.97230,24.97230,25.21620,66.38510,56.10100,153.91400,,0.26740,0.00000,3.21760,0.00010,22.36280,11.00000,11.00000,7.26100,4.94420,0.13520,0.68680,1.26850,70.94750,0.88740,0.93040,0.66180,0.88740,16.96180,0,0
2023-09-30,554.03330,420.61090,133.42240,28.43150,1.38900,27.04250,106.37990,16.55660,122.93650,17.46090,105.47560,105.47560,105.57670,122.94130,106.37990,165.89800,,0.63640,0.00000,3.36300,0.00010,24.08200,19.20100,19.20100,22.18940,19.05600,0.13770,0.60080,0.96550,93.21470,3.56730,3.73870,2.62080,3.56730,17.82210,0,0
2023-06-30,572.88390,425.03890,147.84500,29.16880,4.83220,24.33660,123.50840,-27.42130,96.08710,40.32600,55.76110,55.76110,55.83850,140.10700,123.50840,166.08700,,0.33620,0.00000,3.28780,0.00010,25.80720,21.55910,21.55910,16.77250,9.74690,0.15160,0.58520,1.02700,87.63240,2.01680,2.11780,1.47540,2.01680,16.66500,0,0
2023-03-31,687.43880,515.54740,171.89140,31.43610,3.09860,28.33750,143.55390,-59.81210,83.74180,28.46340,55.27840,55.27840,55.35290,158.60110,143.55390,166.07300,,0.33290,0.00000,3.06780,0.00010,25.00460,20.88240,20.88240,12.18170,8.05200,0.18900,0.83470,1.18030,76.24920,2.11840,2.22510,1.51960,2.11840,15.72890,0.00000,
2022-12-31,495.55510,363.85920,131.69590,35.85170,3.19720,32.65430,99.04160,-43.01290,56.02860,66.17710,-10.14850,-10.14850,-10.06870,112.89760,99.04160,154.12500,,0.11690,0.00000,2.87220,0.00010,26.57550,19.98600,19.98600,11.30620,-2.03180,0.14860,0.57700,1.30430,69.00290,-0.42890,-0.45070,-0.30440,-0.42890,14.26210,0,0
2022-09-30,663.58800,507.37860,156.20940,29.37820,0.23990,29.13830,127.07100,8.12420,135.19530,39.43340,95.76200,95.76200,95.81200,140.80030,127.07100,165.77100,,0.57800,0.00000,3.28380,0.00010,23.54010,19.14910,19.14910,20.37340,14.43850,0.20220,0.78120,1.38120,65.16070,4.05560,4.26290,2.91780,4.05560,14.23270,0,0
2022-06-30,777.35420,539.13180,238.22240,30.59880,0.06940,30.52930,207.69310,7.15900,214.85200,34.63060,180.22150,180.22150,180.17680,221.51110,207.69310,165.90900,,1.08600,0.00000,3.94620,0.00010,30.64530,26.71790,26.71790,27.63890,23.17820,0.24560,0.77300,1.64510,54.70950,7.52440,7.91550,5.69510,7.52440,14.43710,0,0
