Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,186.57500,29.80600,156.76900,47.88500,147.74800,195.63300,-38.86400,13.92900,-24.93500,5.02400,-29.95900,-29.95900,-29.95900,-29.64700,-38.86400,302.09600,302.09600,-0.10000,-0.10000,3.26190,84.02470,-20.83020,-20.83020,-13.36460,-16.05740,0.11840,1.88140,47.83710,-2.63950,-3.35270,-1.90190,-2.63950,3.75120,0.1382,0.131
2024-06-30,174.13100,28.17500,145.95600,40.99300,148.75000,189.74300,-43.78700,13.24700,-30.54000,-10.35600,-20.18400,-20.18400,-20.18400,-41.87600,-43.78700,299.80500,299.80500,-0.07000,-0.07000,3.25550,83.81970,-25.14600,-25.14600,-17.53850,-11.59130,0.11280,1.72640,52.13280,-1.81010,-2.31980,-1.30760,-1.81010,3.70510,0.1203,0.1087
2024-03-31,165.14300,25.89000,139.25300,34.68400,136.73600,171.42000,-32.16700,12.79500,-19.37200,3.95300,-23.32500,-23.32500,-23.32500,-22.54800,-32.16700,297.87000,297.87000,-0.08000,-0.08000,4.06510,84.32270,-19.47830,-19.47830,-11.73040,-14.12410,0.11250,1.95840,45.95510,-2.16350,-2.17590,-1.58950,-2.16350,3.61180,0.13640,0.13000
2023-12-31,160.11100,27.00900,133.10200,35.83400,137.30900,173.14310,-40.04100,14.71500,-25.32600,2.75500,-28.08100,-28.08100,-28.08100,-34.17400,-40.04100,293.08700,293.08700,-0.09000,-0.09000,4.14270,83.13110,-25.00830,-25.00830,-15.81780,-17.53850,0.10990,1.64760,54.62530,-2.61890,-2.63400,-1.92760,-2.61890,3.61400,0.106,0.0983
2023-09-30,153.55000,26.26300,127.28700,34.88500,131.13700,166.02200,-38.73500,10.99300,-27.74200,3.29100,-31.03300,-31.03300,-31.03300,-33.90600,-38.73500,294.14600,294.14600,-0.11000,-0.11000,4.31600,82.89610,-25.22630,-25.22630,-18.06710,-20.21040,0.10830,1.91230,47.06260,-2.93180,-2.94910,-2.18840,-2.93180,3.58980,0.0805,0.0744
2023-06-30,145.07900,24.86100,120.21800,34.18000,129.32700,163.50700,-43.28900,11.21600,-32.07300,3.58500,-35.65800,-35.65800,-35.65800,-42.25700,-43.28900,291.99500,291.99500,-0.12000,-0.12000,4.47010,82.86380,-29.83820,-29.83820,-22.10730,-24.57830,0.10360,1.96290,45.84960,-3.37140,-3.39120,-2.54640,-3.37140,3.61170,0.0678,0.0619
2023-03-31,137.69200,25.23600,112.45600,32.85700,127.70600,160.56300,-48.10700,9.47900,-38.62800,4.03600,-42.66400,-42.66400,-42.66400,-39.37800,-48.10700,290.13300,290.13300,-0.15000,-0.15000,4.52120,81.67210,-34.93810,-34.93810,-28.05390,-30.98510,0.09900,1.89120,47.58900,-4.06150,-4.08560,-3.06750,-4.06150,3.61550,0.03970,0.03140
2022-12-31,133.17000,25.15600,108.01400,34.65800,133.96400,168.62200,-60.60800,9.97300,-50.63500,4.84200,-55.47700,-55.47700,-55.47700,-54.65800,-60.60800,284.58700,284.58700,-0.20000,-0.20000,4.70020,81.10990,-45.51170,-45.51170,-38.02280,-41.65880,0.09650,1.88970,47.62560,-5.27440,-5.30560,-4.01940,-5.27440,3.63830,0.0249,0.0137
2022-09-30,128.76000,24.17900,104.58100,35.87100,126.99800,162.86900,-58.28800,2.24900,-56.03900,1.80400,-57.84300,-57.84300,-57.84300,-51.40100,-58.28800,286.69700,286.69700,-0.20000,-0.20000,5.02900,81.22170,-45.26870,-45.26870,-43.52210,-44.92310,0.09450,2.26550,39.72620,-5.45690,-5.49190,-4.24350,-5.45690,3.69230,-0.0146,-0.0248
2022-06-30,121.43200,24.04200,97.39000,34.29700,130.44500,164.74200,-67.35200,-0.24200,-67.59400,2.15900,-69.75300,-69.75300,-69.75300,-59.79400,-67.35200,284.76100,284.76100,-0.24000,-0.24000,5.17280,80.20130,-55.46480,-55.46480,-55.66410,-57.44200,0.08810,2.19130,41.07110,-6.46090,-6.50330,-5.06080,-6.46090,3.78070,-0.0241,-0.0354
