Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,3.17770,3.17770,1.06470,-0.42220,1.69080,0.04750,1.73840,1.73840,1.73840,1.73840,1.61170,1.69080,6.80100,6.82600,0.26000,0.25000,0.44590,53.20890,53.20890,54.70450,54.70450,0.01890,1.55020,1.55020,1.03580,1.55020,16.19330,-0.0709,-0.0709
2024-06-30,1.97960,1.97960,0.39400,,1.58560,-0.07190,1.51370,1.51370,1.51370,1.51370,1.56450,1.58560,6.88900,6.88900,0.22000,0.22000,,80.09780,80.09780,76.46810,76.46810,0.04000,3.09490,3.09490,3.05920,3.09490,,0.4643,0.4643
2024-03-31,2.02630,2.02630,0.26400,,1.76230,,1.76230,1.76230,1.76230,1.76230,1.74830,1.76230,0.00010,0.00010,17623.00000,17623.00000,,86.97330,86.97330,86.97330,86.97330,0.04260,3.71830,3.71830,3.70120,3.71830,,0.00000,
2023-12-31,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,-0.0011,-0.0011
2023-09-30,0.00780,0.00780,,,0.00780,,0.00780,0.00780,0.00780,0.00780,0.00780,0.00780,6.88900,6.88900,0.00110,0.00110,,100.00000,100.00000,100.00000,100.00000,,,,,,,0.0011,0.0011
