Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,125.08900,45.49700,79.59200,15.40200,-0.00200,47.73000,31.86200,-15.74500,16.11700,0.36400,15.75300,15.75300,15.86500,71.23200,31.86200,30.75600,30.75600,0.52000,0.52000,5.95490,25.47150,25.47150,12.88440,12.68300,0.05570,5.28460,9.58980,0.70090,5.28460,9.53930,2.0249,3.72
2024-06-30,129.66500,42.94700,86.71800,14.83100,-0.05500,53.55000,33.16800,-28.22700,4.94100,0.65000,4.29100,4.29100,4.48400,77.03500,33.16800,31.15000,31.15600,0.14000,0.14000,6.19880,25.57980,25.57980,3.81060,3.45810,0.05580,1.43520,2.75850,0.18480,1.43520,9.47630,2.0736,1.8443
2024-03-31,129.11700,43.03400,86.08300,20.41400,-0.76800,59.22200,26.86100,-27.49300,-0.63200,-0.15800,-0.47400,-0.47400,-0.20900,70.80900,26.86100,31.54600,31.54600,-0.01000,-0.01000,5.90850,20.80360,20.80360,-0.48950,-0.16190,0.05510,-0.15050,-0.29550,-0.02020,-0.15050,9.82860,0.97440,0.97120
2023-12-31,139.70900,45.33200,94.37700,14.28300,0.10900,56.55000,37.82700,-25.83600,11.99090,-0.48700,12.47790,12.47790,11.56600,89.88600,37.82700,31.30300,31.30300,0.37000,0.37000,5.71300,27.07560,27.07560,8.58280,8.27860,0.05810,3.77410,7.24090,0.51860,3.77410,10.33950,1.5772,1.1452
2023-09-30,129.35100,44.90200,84.44900,14.39800,2.06000,57.45600,26.99300,-12.85500,14.13800,1.26300,12.87500,12.87500,12.95700,81.63200,26.99300,31.30500,31.30500,0.41000,0.41000,5.77700,20.86800,20.86800,10.93000,10.01690,0.05310,3.91370,4.51640,0.52850,3.91370,10.27560,1.5953,1.3606
2023-06-30,129.86700,45.97900,83.88800,16.15600,0.07400,65.82400,18.06400,-40.50800,-22.44400,0.21900,-22.66300,-22.66300,-21.06900,80.66200,18.06400,31.31300,31.31300,-0.67000,-0.67000,5.97370,13.90960,13.90960,-17.28230,-16.22350,0.05250,-6.97110,-7.99040,-0.91550,-6.97110,10.14230,1.6325,1.3106
2023-03-31,136.35900,50.92600,85.43300,19.22900,-0.15400,72.65200,12.78100,-12.36800,0.41300,-0.10100,0.51400,0.51400,1.97900,79.23900,12.78100,31.30400,31.36900,0.06000,0.06000,5.44300,9.37300,9.37300,0.30290,1.45130,0.05420,0.14370,0.16290,0.02040,0.14370,11.15390,1.05760,0.99040
2022-12-31,149.61100,49.04700,100.56400,16.06600,-0.13000,78.03700,22.52700,-17.27400,5.25300,0.32800,4.92500,4.92500,0.81100,96.45300,22.52700,30.04600,30.04600,0.06000,0.06000,5.44820,15.05700,15.05700,3.51110,0.54210,0.05590,1.34150,1.50250,0.18390,1.34150,11.55220,1.9642,1.6793
2022-09-30,136.28000,48.54200,87.73800,14.62500,0.03600,75.63900,12.09900,-27.08900,-14.99000,2.42200,-17.41200,-17.41200,-14.51000,89.35000,12.09900,30.97300,30.97300,-0.47000,-0.47000,4.58990,8.87810,8.87810,-10.99940,-10.64720,0.05000,-3.96290,-5.54300,-0.63850,-3.96290,13.80210,2.1222,1.6584
2022-06-30,137.01800,45.79600,91.22200,18.45000,-0.76900,83.69500,7.52700,-51.80400,-44.27700,-0.47200,-43.80500,-43.80500,-41.59800,112.02600,7.52700,30.97300,30.97300,-1.34000,-1.34000,4.40920,5.49340,5.49340,-32.31470,-30.35950,0.04940,-9.48930,-12.88850,-1.57880,-9.48930,14.51010,1.3287,1.1112
2022-03-31,140.10200,48.34500,91.75700,18.07400,0.08100,86.93600,4.82100,-47.24300,-42.42200,0.80100,-43.22300,-43.22300,-40.72200,143.74200,4.82100,27.99800,27.99800,-1.45000,-1.45000,3.96430,3.44110,3.44110,-30.27940,-29.06600,0.04920,-8.41990,-10.53010,-1.51700,-8.41990,16.13880,1.51540,1.31020
