Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-12-31,0.11100,0.90800,,-1.01900,-0.00400,-1.02300,-1.02300,-1.02300,-1.02500,-1.00400,-1.01900,4.33700,4.33700,-0.24000,-0.24000,0.63420,,9.82140,623.78030,-54.27060,623.78050,-0.01610,-0.0252,-0.0298
2023-09-30,1.85900,1.10300,,-2.96200,,-2.96200,-2.96200,-2.96200,-3.13700,-2.94700,-2.96200,1.71800,1.71800,-1.83000,-1.83000,0.23470,,23.44470,146.19940,-200.54160,146.19940,-1.16040,-0.76660,-0.76660
2023-06-30,2.07600,1.27300,,-3.34900,0.01400,-3.33500,-3.33500,-3.33500,-3.33700,-2.25900,-3.34900,1.62000,1.62000,-1.84000,-1.84000,1.06100,,33.63930,-456.22420,-83.81500,-456.22430,0.43200,-1.1629,-1.1681
2023-03-31,2.00500,1.29700,,-3.30200,0.03800,-3.26400,-3.26400,-3.26400,-3.26600,-2.21200,-3.30200,1.68100,1.68100,-1.94000,-1.94000,2.15630,,47.58720,-86.21240,-48.42730,-86.21240,2.23760,-0.9695,-0.9663
2022-12-31,2.05900,1.44000,,-3.49900,0.04500,-3.45400,-3.45400,-3.45400,-3.45600,-2.40900,-3.49900,1.64300,1.64300,-2.10000,-2.10000,2.83360,,82.67100,-52.34920,-34.82910,-52.34920,3.94380,-0.8413,-0.824
2022-09-30,3.17100,1.47500,,-4.64600,0.05000,-4.59600,-4.59600,-4.59600,-4.96000,-4.63100,-4.64600,1.46400,1.46400,-3.39000,-3.39000,2.31970,,156.53950,-47.78540,-34.79180,-47.78540,5.95120,-4.35040,-4.50890
2022-06-30,4.00400,1.45400,,-5.45800,0.01200,-5.44600,-5.44600,-5.44600,-5.44800,-5.44300,-5.45800,0.97400,0.97400,-1.78000,-1.78000,3.32280,,717.52440,-46.17210,-34.14850,-46.17210,8.99690,-5.2701,-5.2701
2022-03-31,3.47400,1.88400,,-5.35800,0.00200,-5.35600,-5.35600,-5.35600,-5.35800,-5.34300,-5.35800,0.98300,0.98300,-5.45000,-5.45000,3.11510,,169.06550,-57.06370,-41.85030,-57.06370,9.51810,-5.1853,-5.1853
2021-12-31,3.90200,1.99300,,-5.89500,0.00200,-5.89300,-5.89300,-5.89300,-5.89500,-5.88000,-5.89500,0.97100,0.97100,-6.07000,-6.07000,4.36240,,-452.95970,-41.78840,-33.26000,-41.78840,14.38600,-3.0819,-3.0819
2021-09-30,3.79300,2.17800,,-5.97100,0.00500,-5.96600,-5.96600,-5.96600,-8.43000,-5.95600,-5.97100,0.68560,0.68560,-12.50000,-12.50000,6.70040,,-108.71000,-31.13290,-26.70190,-31.13290,19.97230,-7.39910,-7.39910
2021-06-30,4.03100,2.66700,,-6.69800,-0.03200,-6.73000,-6.73000,-6.73000,-6.73600,-6.66300,-6.69800,0.51770,0.51770,9.00000,9.00000,4.24210,,154.71250,-63.60460,-49.69360,-63.60460,16.15910,-12.2241,-12.2252
2021-03-31,3.84300,2.76200,,-6.60500,-0.03000,-6.63500,-6.63500,-6.63500,-6.64300,-6.56700,-6.60500,0.58550,0.58550,-11.50000,-11.50000,6.54880,0.03120,183.89700,-41.16520,-35.19330,-41.16520,25.37150,-5.0038,-5.0184
2020-12-31,2.58400,2.79400,,-5.37800,-0.03500,-5.41300,-5.41300,-5.41300,-5.41900,-5.35300,-5.37800,0.49690,0.49690,-11.00000,-11.00000,6.49690,0.02690,127.39480,-30.78190,-26.41910,-30.78190,33.98990,-7.1878,-7.1817
2020-09-30,1.35700,1.53400,-0.50000,-19.48500,-0.03500,-19.52000,-19.52000,-19.52000,-22.70600,-19.45700,-19.48500,0.34210,0.34210,-66.50000,-66.50000,9.60860,0.02150,749.32840,-94.97400,-84.38890,-94.96940,42.00520,-12.01330,-12.01330
2020-06-30,1.29800,1.46900,,-3.82100,-0.00200,-3.82300,-3.82300,-3.82300,-3.82800,-3.81900,-3.82100,0.20890,0.20890,-17.00000,-17.00000,1.06580,,84.18860,-1453.61200,-130.12260,-1453.61200,1.14770,-14.5248,-14.5248
2020-03-31,0.89900,1.07700,,-1.97600,0.01900,-1.95700,-1.95700,-1.95700,-1.96000,-1.97400,-1.97600,0.22830,0.22830,-8.50000,-8.50000,3.68990,,180.71250,-52.65240,-38.35570,-52.60070,16.27940,-5.9992,-5.9992
2019-12-31,0.71200,1.05400,,-1.76600,0.02600,-1.74000,-1.74000,-1.74000,-1.74500,-1.76300,-1.76600,0.22820,0.22820,-7.50000,-7.50000,6.32810,,-256.93610,-31.78560,-26.73610,-31.74810,24.00630,-2.4023,-2.4023
2019-09-30,0.72100,0.91400,,-1.63500,0.02900,-1.60600,-1.60600,-1.60600,-1.61000,-1.63200,-1.63500,0.15080,0.15080,-10.50000,-10.50000,6.24010,,-72.29390,-22.89170,-19.20190,-22.86150,30.79480,-15.02850,-15.02850
2019-06-30,0.95980,1.93960,,-2.89940,0.31670,-2.58270,-2.58270,-2.58270,-2.58770,-2.89660,-2.89940,0.05150,0.05150,-43.00000,-43.00000,1.94480,,85.79650,-132.07760,-63.97260,-131.26790,25.62560,-33.2454,-33.2454
2019-03-31,0.73580,0.93550,,-1.67140,0.00740,-1.66400,-1.66400,-1.66400,-1.68720,-1.66860,-1.67140,0.05040,0.05040,-33.50000,-33.50000,2.03910,,34.04780,-133.72880,-67.72080,-132.15030,24.02980,-26.7277,-26.7277
2018-12-31,0.94720,0.87490,,-1.82210,0.01240,-1.80970,-1.80970,-1.80970,-1.82590,-1.81800,-1.82210,0.04850,0.04850,-37.50000,-37.50000,3.16970,,53.58740,-65.76890,-44.82160,-65.34940,52.96380,-17.5188,-17.5188
2018-09-30,1.01910,0.98650,,-2.00560,0.01380,-1.99180,-1.99180,-1.99180,-2.02790,-1.99890,-2.00560,0.04590,0.04590,-44.00000,-44.00000,4.38610,,72.30130,-54.58800,-41.93380,-54.26450,79.71480,-45.38540,-45.38540
2018-06-30,1.27680,1.13020,,-2.40690,0.02970,-2.37730,-2.37730,-2.37730,-2.41110,-2.40030,-2.40690,0.04170,0.04170,-45.50000,-45.50000,4.30050,,240.08060,-43.96770,-33.60140,-43.73790,118.31130,-75.8475,-75.8475
