Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-06-30,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,,
2023-12-31,,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,1.3237,1.3237
2023-06-30,0.57480,0.15030,0.42440,0.73550,0.00640,0.72910,-0.30460,0.29470,-0.00990,0.03600,-0.04580,-0.04580,6.86340,6.81760,-0.30460,-0.30460,0.69980,0.69980,9.75000,9.75000,6.95480,0.03460,73.84550,-52.99670,-52.99670,-1.71670,1186.12500,0.00830,,,,-0.07750,-0.07750,-0.06630,-0.07750,84.53950,-2.3443,-2.3443
2023-03-31,0.69970,0.15090,0.54880,0.65730,,0.65740,-0.10850,0.09330,-0.01530,0.02640,-0.04160,-0.04160,-0.00900,-0.05060,-0.09930,-0.10850,1.11220,1.11220,-0.04500,-0.04500,4.12770,0.03340,78.43060,-15.51030,-15.51030,-2.18180,-7.23150,0.01010,,8.14580,11.04860,-0.07950,-0.07950,-0.06030,-0.07950,74.80840,1.02060,1.02060
2022-12-31,1.07440,0.41490,0.65950,-5.17290,-9.56550,4.39260,-3.73310,-0.00110,-3.01240,0.01600,-3.02840,-3.02840,-0.22040,-3.24880,-3.73310,-3.73310,0.49590,0.49590,-4.12400,-3.12400,4.41140,0.02960,61.38030,-347.45790,-347.45800,-280.37780,-302.38100,0.01590,,,,-5.77870,-5.77870,-4.46990,-5.77870,74.88420,4.1085,4.1113
2022-09-30,1.63500,0.21690,1.41800,0.33050,,0.33060,1.08750,-0.00020,1.08730,0.19080,0.89660,0.89660,-0.05220,0.84440,1.08750,1.08750,0.53060,1.22160,1.50000,0.50000,4.54440,,86.73180,66.51510,66.51510,66.50440,51.64540,0.02320,,,,1.61100,1.61100,1.27230,1.61100,79.52170,-7.5164,-7.5164
2022-06-30,0.69420,0.15090,0.54320,7.65180,0.26880,7.38310,-6.83980,-0.00020,-6.84870,0.04900,-6.89770,-6.89770,-0.26010,-7.15780,-6.83980,-6.83980,0.46070,0.46070,-15.50000,-15.50000,2.39870,,78.25760,-985.32050,-985.32050,-986.58940,-1031.11900,0.01710,,6.99140,12.87300,-27.55830,-27.55850,-16.95980,-27.55830,50.84770,6.2068,6.2068
2022-03-31,,,,0.61150,,,-0.61150,-0.00010,-0.61160,,-0.61160,-0.61160,-0.17980,-0.79130,-0.61110,-0.61150,0.28740,0.28740,-2.75500,-2.75500,0.34530,0.14950,,,,,,,,,,-30.48110,-30.48320,-4.57010,-30.48110,6.98020,5.42760,5.42760
2021-12-31,,,,5.11210,,,-5.11440,-0.21940,-5.21380,,-5.21380,-5.21380,-15.06860,-20.28240,-5.33970,-4.99440,0.24770,0.24770,-79.65000,-79.65000,0.24410,,,,,,,,,,,-187.77190,-187.78140,-44.73960,-187.77200,9.66000,-236.3472,-236.3755
2021-09-30,,,,0.91080,,,-0.91080,0.05760,-0.85320,,-0.85320,-0.85320,-1.13950,-1.99270,-0.68640,-0.91080,0.25380,0.25380,-8.00000,-8.00000,1.13540,0.09830,,,,,,,,,,-4.25910,-4.26390,-1.02930,-4.25910,71.76290,128.8451,128.8451
2021-06-30,,,,7.18270,,,-7.18270,0.16180,-7.02090,,-7.02090,-7.02090,-0.20490,-7.22580,-7.18270,-7.18270,0.23160,0.23160,-31.20000,-31.20000,1.13520,0.39230,,,,,,,,,,-139.54870,-140.17470,-20.25230,-139.54870,21.56140,35.1226,35.1226
2021-03-31,,,,0.36000,,,-0.36000,-0.00010,-0.36000,,-0.36000,-0.36000,-0.21250,-0.57260,-0.36000,-0.36000,0.22540,0.22540,-2.55000,-2.55000,1.19560,0.37860,,,,,,,,,,-6.91270,-6.94260,-1.37720,-6.91270,23.10540,7.32720,7.32720
2020-12-31,,,,-2.14860,,,3.95320,-0.38550,0.02180,,0.11600,0.11600,,0.27340,3.95320,0.40730,0.22530,0.22730,0.55000,0.55000,1.24960,,,,,,,,,,,1.99450,1.99450,0.47510,1.99450,25.83320,-4.8718,-4.7833
2020-09-30,0.68550,0.39400,0.29150,0.79160,,0.79160,-0.50010,0.58160,0.08140,-0.00060,0.08210,0.08210,,0.08210,-0.50010,-0.50010,0.22540,0.22540,0.50000,0.50000,1.22160,0.35690,42.52220,-72.96240,-72.96240,11.88200,11.97410,0.02730,,0.11170,805.82290,1.48110,1.48710,0.32700,1.48110,24.58340,-12.837,-12.8438
2020-06-30,1.67920,0.75410,0.92510,0.99130,,0.99130,-0.06620,0.05890,-0.00730,0.00750,-0.01480,-0.01480,,-0.01480,-0.06620,-0.06620,0.22520,0.22520,-0.05000,-0.05000,1.18470,0.35620,55.09300,-3.94300,-3.94300,-0.43520,-0.87950,0.06100,,0.28440,316.44740,-0.26890,-0.27000,-0.05360,-0.26890,24.36310,-11.403,-11.4847
