Date,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.37510,-0.03020,-0.40540,0.08970,-0.31560,0.01660,-0.33230,-0.33230,-0.33230,-0.40540,-0.40540,0.00000,0.00000,0.00000,0.00000,0.01030,-0.16850,1.47170,1.47170,-4.06430,1.47170,-2.53860,0,0
2024-06-30,0.23540,-0.03020,-0.26560,0.08920,-0.17640,0.02880,-0.20520,-0.20520,-0.20520,-0.26560,-0.26560,,,0.00000,0.00000,0.00600,-0.15480,0.92620,0.92620,-2.56920,0.92620,-2.49140,0.0729,0.0729
2024-03-31,0.55830,0.01160,-0.54670,0.19670,-0.35000,0.04600,-0.39600,-0.39600,-0.39600,-0.54670,-0.54670,3.80600,3.80600,-0.04000,-0.04000,0.00830,-0.13510,1.80590,1.80590,-4.94270,1.80590,-2.46530,-0.07290,-0.07290
2023-12-31,0.43140,-0.05000,-0.48140,0.30790,-0.17340,0.09000,-0.26340,-0.26340,-0.26340,-0.48140,-0.48140,7.52900,7.52900,0.08000,0.08000,0.00660,-0.12450,1.25000,1.25000,-1.04890,1.25000,-2.36960,-0.0438,-0.0438
2023-09-30,0.50720,-0.05000,-0.55720,1.01720,0.46010,0.30200,0.15810,0.15810,0.15810,-0.55720,-0.55720,7.52890,7.52890,0.01000,0.01000,0.01400,-0.11650,-0.78880,-0.78880,0.62250,-0.78880,-2.25300,-0.0975,-0.0975
2023-06-30,0.35070,-0.05000,-0.40070,1.74170,1.34100,0.35700,0.98400,0.98400,0.98400,-0.40070,-0.40070,7.52900,7.52900,0.13000,0.13000,0.02880,-0.07180,-5.50410,-5.50410,0.94030,-5.50410,-2.00990,-0.3564,-0.3564
2023-03-31,0.61780,-0.05000,-0.66780,3.02140,2.35360,1.34700,1.00660,1.00660,1.00660,-0.66780,-0.66780,7.52900,7.52900,0.03000,0.03000,0.07480,,-6.30710,-6.30710,0.33480,-6.30710,-1.79430,-0.08080,-0.08080
2022-12-31,0.61120,-0.05410,-0.66540,2.51550,1.85020,,1.21120,1.21120,1.21120,-0.66540,-0.66540,7.52900,7.52900,0.19600,0.19600,0.03710,,-10.76580,-10.76580,0.40620,-10.76580,-1.26480,-0.0631,-0.0631
2022-09-30,0.51030,-0.05000,-0.56030,1.46720,0.90690,,0.90690,0.90690,0.90690,-0.56030,-0.56030,7.52900,7.52900,0.02000,0.02000,4.23020,,-7.27820,-7.27820,0.30620,-7.27820,-1.40090,-0.0527,-0.0527
2022-06-30,0.38240,-0.05000,-0.43240,0.44060,0.00830,,0.00830,0.00830,0.00830,-0.43240,-0.43240,7.52900,7.52900,0.01000,0.01000,7.42020,,-0.06180,-0.06180,0.00280,-0.06180,-1.50290,-0.05,-0.05
2022-03-31,0.42490,-0.04590,-0.47080,-0.10510,-0.57590,,-0.57590,-0.57590,-0.57590,-0.47080,-0.47080,7.52900,7.52900,-0.02000,-0.02000,7.26070,,4.30540,4.30540,-0.19500,4.30540,-1.50380,-0.10750,-0.10750
2021-12-31,,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-09-30,1.31760,-0.14590,-1.46340,1.80270,0.33930,,0.33930,0.33930,0.33930,-1.46340,-1.46340,7.52900,7.52900,0.01000,0.01000,,,,,,,,0,0
2021-06-30,0.80730,-0.09590,-0.90320,0.33550,-0.56760,,-0.56760,-0.56760,-0.56760,-0.90320,-0.90320,7.52900,7.52890,1.25000,1.25000,,,,,,,,0,0
