Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,60.67100,27.95700,32.71400,6.26100,,20.95400,11.76000,1.14500,12.90500,12.90500,12.90500,8.18100,27.06000,11.76000,75.61000,76.56300,0.11000,0.11000,0.41740,0.71640,19.38320,19.38320,21.27050,13.48420,0.04040,2.33950,1.50340,0.85950,0.87590,10.90750,0.1865,-0.2551
2024-06-30,60.32800,27.05600,33.27200,7.25000,,22.25100,11.02100,-5.83000,5.19100,5.19100,5.19100,0.52700,26.62900,11.02100,71.41800,71.88400,0.01000,0.01000,0.47340,0.89910,18.26850,18.26850,8.60460,0.87360,0.04190,1.15810,0.69770,0.36020,0.36740,10.22650,0.2476,-0.1815
2024-03-31,57.68000,26.65300,31.02700,7.01400,,21.75500,9.27200,-10.89700,-1.62500,-1.62500,-1.62500,-6.26400,24.56900,9.27200,69.13000,69.13000,-0.09000,-0.09000,0.48360,0.93640,16.07490,16.07490,-2.81730,-10.85990,0.04070,-0.38500,-0.22660,-0.11470,-0.11700,10.22280,0.27550,-0.08770
2023-12-31,56.98400,25.57800,31.40600,6.72900,,21.17700,10.22900,1.03000,11.25900,11.25900,11.25900,6.83200,25.22000,10.22900,63.06800,63.06800,0.10000,0.10000,0.49400,0.97630,17.95070,17.95070,19.75820,11.98930,0.03990,2.70250,1.59300,0.78870,0.80610,10.39740,0.514,-0.0123
2023-09-30,56.04400,26.00700,30.03700,6.28300,,20.43000,9.60700,-11.10600,-1.49900,-1.49900,-1.49900,-5.83100,24.29000,9.60700,65.07600,65.55400,-0.09000,-0.09000,0.50330,1.01310,17.14190,17.14190,-2.67470,-10.40430,0.04020,-0.37640,-0.22120,-0.10760,-0.10990,10.24220,0.5317,-0.0675
2023-06-30,55.29000,25.77400,29.51600,6.84600,,20.59700,8.91900,-9.32700,-0.40800,-0.40800,-0.40800,-4.41800,23.20800,8.91900,61.23600,61.76000,-0.07000,-0.07000,0.53260,1.13950,16.13130,16.13130,-0.73790,-7.99060,0.03970,-0.10940,-0.06400,-0.02930,-0.02990,10.11330,0.6333,-0.219
2023-03-31,52.60700,25.07300,27.53400,6.79400,,20.16700,7.36700,-8.86800,-1.50100,-1.50100,-1.50100,-5.29700,21.25800,7.36700,59.08500,59.08500,-0.09000,-0.09000,0.55960,1.27070,14.00380,14.00380,-2.85320,-10.06900,0.03840,-0.43610,-0.25380,-0.10950,-0.11180,9.85920,0.22490,-0.37260
2022-12-31,48.74800,22.89700,25.85100,6.91900,,19.68500,6.16600,-2.50700,3.65900,3.65900,3.65900,0.28300,19.44300,6.16600,54.38900,54.38900,0.01000,0.01000,0.58020,1.38190,12.64870,12.64870,7.50590,0.58050,0.03630,1.12300,0.66380,0.27210,0.27870,9.57020,-0.2255,-1.3168
2022-09-30,51.93700,25.51100,26.42600,6.77500,,19.07700,7.34900,-12.56700,-5.21800,-5.21800,-5.21800,-9.74500,20.15700,7.34900,54.89100,54.89100,-0.18000,-0.18000,0.58670,1.41930,14.14980,14.14980,-10.04680,-18.76310,0.04100,-1.76200,-1.02000,-0.41190,-0.42160,9.27770,-0.0073,-1.0817
2022-06-30,49.22300,23.76000,25.46300,5.51400,,17.49800,7.96500,-14.65300,-6.68800,-6.68800,-6.68800,-22.47800,20.48200,7.96500,54.21500,54.21500,-0.41000,-0.41000,0.54530,1.19950,16.18150,16.18150,-13.58710,-45.66570,0.03460,-2.18080,-1.28150,-0.46990,-0.58260,9.54720,-0.0073,-0.5794
