Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,33.22600,4.39500,-37.62100,3.06600,-34.55500,-34.55500,-34.55500,-34.55500,-37.52600,-37.62100,57.26280,57.26280,-0.60000,-0.60000,7.10080,-17.37210,-17.37210,-15.01260,-17.37210,3.47210,-0.4562,-0.4562
2024-06-30,29.10900,4.42100,-33.53000,3.14800,-30.38200,-30.38200,-30.38200,-30.38200,-33.43600,-33.53000,56.28240,56.28240,-0.54000,-0.54000,9.12710,-13.37450,-13.37450,-11.93520,-13.37450,3.96820,-0.4843,-0.4844
2024-03-31,29.88300,4.45600,-34.33900,3.36900,-30.97000,-30.97000,-30.97000,-30.97000,-34.25100,-34.33900,55.57430,55.57430,-0.56000,-0.56000,9.61290,-13.10520,-13.10520,-11.74470,-13.10520,4.22990,-0.42280,-0.42550
2023-12-31,25.87200,4.54400,-30.41600,3.64400,-26.77200,-26.77200,-26.77200,-26.77200,-30.32800,-30.41600,45.24710,45.24710,-0.47000,-0.47000,12.32660,-10.54450,-10.54450,-9.66690,-10.54450,4.61690,-0.3996,-0.3997
2023-09-30,19.45300,3.88900,-23.34200,1.84000,-21.50200,-21.50200,-21.50200,-21.50200,-23.25200,-23.34200,44.97720,44.97720,-0.48000,-0.48000,17.66300,-7.81510,-7.81510,-7.34360,-7.81510,5.03890,-0.4069,-0.4065
2023-06-30,17.98900,3.61200,-21.60100,1.50600,-20.09500,-20.09500,-20.09500,-20.09500,-21.50200,-21.60100,40.72030,40.72030,-0.49000,-0.49000,11.56420,-12.43630,-12.43630,-11.31320,-12.43630,3.92930,-0.5386,-0.5386
2023-03-31,22.82600,6.77600,-29.60200,1.31600,-28.28600,-28.28600,-28.28600,-28.28600,-29.50200,-29.60200,40.35450,40.35450,-0.70000,-0.70000,9.75770,-16.16570,-16.16570,-14.44870,-16.16570,4.32700,-0.50530,-0.50530
2022-12-31,21.58400,5.63500,-27.21900,1.04000,-26.17900,-26.17900,-26.17900,-26.17900,-27.12200,-27.21900,39.99550,39.99550,-0.65000,-0.65000,12.62310,-13.25210,-13.25210,-12.13990,-13.25210,4.90350,-0.4945,-0.4987
2022-09-30,17.62700,5.59500,-23.22200,0.50200,-22.72000,-22.72000,-22.72000,-22.72000,-23.13100,-23.22200,40.03620,40.03620,-0.57000,-0.57000,17.93010,-10.43640,-10.43640,-9.79320,-10.43640,5.43100,-0.4461,-0.4496
2022-06-30,27.05400,6.23900,-33.29300,0.43500,-32.85800,-32.85800,-32.85800,-32.85800,-33.21400,-33.29300,39.91820,39.91820,-0.82000,-0.82000,19.74540,-13.90620,-13.90620,-13.11170,-13.90620,5.91080,-0.6619,-0.6624
2022-03-31,16.00900,7.24500,-23.25400,0.22400,-23.03000,-23.03000,-23.03000,-23.03000,-23.16400,-23.25400,39.83460,39.83460,-0.58000,-0.58000,26.57490,-8.68760,-8.68760,-8.30160,-8.68760,6.64900,-0.44940,-0.45020
2021-12-31,15.97500,5.78200,-21.75700,0.11900,-21.63800,-21.63800,-21.63800,-21.63800,-21.62800,-21.75700,39.52430,39.52430,-0.54000,-0.54000,32.23030,-7.60380,-7.60380,-7.31150,-7.60380,7.15040,-0.4724,-0.4902
2021-09-30,12.52300,5.23900,-17.76200,0.04900,-17.71300,-17.71300,-17.71300,-17.71300,-17.63000,-17.76200,39.60780,39.60780,-0.45000,-0.45000,34.63430,-5.88680,-5.88680,-5.71770,-5.88680,7.58280,-0.303,-0.3053
2021-06-30,11.91000,4.61200,-16.52200,0.11600,-16.40600,-16.40600,-16.40600,-16.40600,-16.41700,-16.52200,39.41530,39.41530,-0.42000,-0.42000,39.38790,-5.22340,-5.22340,-5.09140,-5.22340,7.94080,-0.2252,-0.2344
2021-03-31,10.69200,4.75800,-15.45000,0.11100,-15.33900,-15.33900,-15.33900,-15.33900,-15.37700,-15.45000,39.32580,39.32580,-0.39000,-0.39000,62.58580,-4.70490,-4.70490,-4.62990,-4.70490,8.28690,-0.28190,-0.29250
2020-12-31,6.28900,3.84200,-10.13100,,-10.13100,-10.13100,-10.13100,-10.13100,-10.12700,-10.13100,20.15500,20.15500,-0.50000,-0.50000,74.62090,-2.99610,-2.99610,-2.95600,-2.99610,8.60220,3.1598,3.159
2020-09-30,4.67300,3.19500,-7.86800,0.02400,-7.84400,-7.84400,-7.84400,-9.71300,-7.86600,-7.86800,2.61800,2.61800,-3.71000,-3.71000,,,,,,,-2.8664,-2.8626
2020-06-30,1.94700,0.53900,-2.48600,0.03300,-2.45300,-2.45300,-2.45300,-2.45300,-2.48400,-2.48600,2.59330,2.59330,-0.95000,-0.95000,,,,,,,-0.4553,-0.4576
2020-03-31,0.79500,0.24800,-1.04300,-0.65000,-1.69300,-1.69300,-1.69300,-1.69300,-1.04000,-1.04300,2.59300,2.59300,-0.65000,-0.65000,,,,,,,-0.82380,-0.82720
2019-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
2018-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0,0
