Date,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2023-06-30,,,,,,,,,,,,,0.00000,,,,,,,,,
2021-12-31,18.38020,-48.41700,-6.27600,-19.18860,-19.52860,-19.52860,-19.26490,-48.41700,-12.91260,17.21020,17.21020,-1.15000,-1.15000,0.25990,-0.66250,69.83610,65.08160,-149.92770,69.83610,-1.08520,-0.6741,-0.6837
2021-09-30,0.21370,-0.21370,4.66220,4.44860,4.44860,4.44860,4.44860,-0.21370,-0.21370,2.50000,2.50000,0.35000,0.35000,0.03380,,-54.27900,-54.27880,4.39970,-54.27900,-2.89600,-0.0843,-0.0843
2021-06-30,0.22910,-0.22910,-5.25540,-5.48450,-5.48450,-5.48450,-5.48450,-0.22910,-0.22910,2.50000,2.50000,-0.43000,-0.43000,1.88710,,43.37550,43.37540,-5.46730,43.37550,-4.46790,-0.0904,-0.0904
2021-03-31,0.20870,-0.20870,2.72290,2.51420,2.51420,2.51420,2.51420,-0.20870,-0.20870,2.50000,2.50000,0.20000,0.20000,3.68370,,-35.11610,-35.11610,2.50080,-35.11610,-2.52990,-0.09390,-0.09390
2020-12-31,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2020-09-30,0.31490,-0.31490,9.05260,8.73770,8.73770,8.73770,8.73770,-0.31490,-0.31490,2.50000,2.50000,1.05000,1.05000,26.08480,,174.75420,174.75420,8.66290,174.75420,1.53990,0,0
2020-06-30,0.00160,-0.00160,,-0.00160,-0.00160,-0.00160,-0.00160,-0.00160,-0.00160,2.87500,2.87500,0.00000,0.00000,1.39690,,-6.79200,-6.79200,-1.92990,-6.79200,0.00810,0,0
