Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,8.61200,3.62700,-12.23900,1.75800,-10.48100,,-10.48100,-10.48100,-10.48100,-12.05200,-12.23900,137.58900,137.58900,-0.08000,-0.08000,31.83850,,,,,,,,,-7.57310,-7.57310,-7.02710,-7.57310,1.00590,-0.0803,-0.0806
2024-06-30,0.85000,0.85000,11.17400,4.72100,-15.04500,1.96900,-13.07600,,-13.07600,-13.07600,-13.07600,-15.30600,-15.04500,137.58900,137.58900,-0.10000,-0.10000,16.15080,,,100.00000,-1770.00000,-1770.00000,-1538.35300,-1538.35300,0.00550,-8.94980,-8.94980,-8.40300,-8.94980,1.06190,-0.0774,-0.0774
2024-03-31,,,9.52200,3.24800,-12.77000,1.98300,-10.78700,,-10.78700,-10.78700,-10.78700,-12.68300,-12.77000,136.60800,136.60800,-0.08000,-0.08000,40.74260,,,,,,,,,-6.86810,-6.86810,-6.69410,-6.86810,1.14150,-0.10170,-0.10170
2023-12-31,,,12.42800,2.96100,-15.38900,1.97400,-13.41500,,-13.41500,-13.41500,-13.41500,-15.73300,-15.38900,127.02700,127.02700,-0.10000,-0.10000,19.72580,,,,,,,,,-9.03140,-9.03140,-8.55140,-9.03140,1.16350,-0.098,-0.098
2023-09-30,,,8.83100,3.09500,-11.92600,1.96200,-9.96400,,-9.96400,-9.96400,-9.96400,-12.24600,-11.92600,127.42400,127.42400,-0.08000,-0.08000,18.25780,,,,,,,,,-6.22570,-6.22570,-5.85990,-6.22570,1.25580,-0.0455,-0.0456
2023-06-30,,,10.22300,3.11400,-13.33700,2.05900,-11.27800,,-11.27800,-11.27800,-11.27800,-13.89700,-13.33700,126.72900,126.72900,-0.09000,-0.09000,18.07300,,,,,,,,,-6.70170,-6.70170,-6.29420,-6.70170,1.32110,-0.0795,-0.0796
2023-03-31,,,6.63800,3.07300,-9.71100,1.87400,-7.83700,,-7.83700,-7.83700,-7.83700,-9.82300,-9.71100,126.37500,126.37500,-0.06000,-0.06000,16.40770,,,,,,,,,-4.47150,-4.47150,-4.16920,-4.47150,1.38690,-0.09680,-0.09680
2022-12-31,,,9.92900,2.95900,-12.88800,1.29400,-11.59400,,-11.59400,-11.59400,-11.59400,-13.01500,-12.88800,105.18600,105.18600,-0.10000,-0.10000,12.04720,,,,,,,,,-6.38300,-6.38300,-5.80730,-6.38300,1.43810,-0.0919,-0.0925
2022-09-30,,,9.79100,2.80700,-12.59800,0.62300,-11.97500,,-11.97500,-11.97500,-11.97500,-12.41100,-12.59800,101.01000,101.01000,-0.12000,-0.12000,12.79540,,,,,,,,,-10.31300,-10.31300,-9.36730,-10.31300,1.14620,-0.1083,-0.1085
2022-06-30,,,5.86200,3.12500,-8.98700,0.49300,-8.49400,,-8.49400,-8.49400,-8.49400,-8.37900,-8.98700,100.94700,100.94700,-0.08000,-0.08000,12.36170,,,,,,,,,-6.69200,-6.69200,-6.05610,-6.69200,1.25710,-0.0455,-0.0431
