Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,401.55600,83.67000,317.88600,21.09200,226.90100,-47.51900,295.51200,22.37400,1.21900,23.59300,-51.99500,75.58800,75.58800,75.58800,25.59800,22.37400,216.61700,235.07000,0.35000,0.32000,2.13810,,79.16360,5.57180,5.57180,5.87540,18.82380,0.66670,1.70370,17.17710,26.75630,12.55070,17.17710,2.02030,0.3623,0.3481
2024-06-30,315.64800,59.03500,256.61300,18.65400,185.47600,-41.45300,245.58300,11.03000,2.39400,13.42400,0.12700,13.29700,13.29700,13.29700,13.46900,11.03000,214.61800,234.79200,0.06000,0.06000,2.67710,,81.29720,3.49440,3.49440,4.25280,4.21260,0.65690,1.45450,3.67360,5.68360,2.76730,3.67350,1.66960,0.2256,0.2131
2024-03-31,278.17100,49.07600,229.09500,15.32400,165.12100,-38.74700,219.19200,9.90300,2.50000,12.40300,1.27500,11.12800,11.12800,11.12800,11.82700,9.90300,213.45200,229.36500,0.05000,0.05000,2.80460,,82.35760,3.56000,3.56000,4.45880,4.00040,0.62080,1.64540,3.23040,5.15810,2.48330,3.23040,1.60660,0.11270,0.06650
2023-12-31,246.61900,42.56100,204.05800,13.40500,158.21400,-32.83900,204.45800,-0.39990,2.59600,2.19600,0.95100,1.24500,1.24500,1.24500,0.60610,-0.40000,209.34500,209.34500,0.01000,0.01000,2.99600,,82.74220,-0.16220,-0.16220,0.89040,0.50480,0.55900,1.89460,0.36190,0.58020,0.28220,0.36190,1.61150,0.1059,0.0646
2023-09-30,226.69900,39.39100,187.30800,12.27000,151.98300,-31.60900,195.86200,-8.55400,1.63800,-6.91600,0.65100,-7.56700,-7.56700,-7.56700,-7.70800,-8.55400,210.13500,210.13500,-0.04000,-0.04000,3.03130,,82.62410,-3.77330,-3.77330,-3.05070,-3.33790,0.54780,1.79120,-2.30310,-3.81430,-1.82840,-2.30310,1.55010,0.1189,0.1035
2023-06-30,207.91200,37.75400,170.15800,11.80400,138.36300,-29.22700,179.39400,-9.23600,2.06600,-7.17000,-0.01300,-7.15700,-7.15700,-7.15700,-8.33500,-9.23600,208.42300,208.42300,-0.03000,-0.03000,3.52600,,81.84140,-4.44230,-4.44230,-3.44860,-3.44230,0.53330,1.76280,-2.23610,-3.78220,-1.83570,-2.23610,1.51840,0.0804,0.058
2023-03-31,190.77000,37.34500,153.42500,10.74800,127.75800,-26.18200,164.68800,-11.26300,1.58200,-9.68100,0.38600,-10.06700,-10.06700,-10.06700,-10.18700,-11.26300,207.14000,207.14000,-0.05000,-0.05000,4.00700,,80.42410,-5.90400,-5.90400,-5.07470,-5.27700,0.50700,1.80440,-3.21890,-5.56330,-2.67520,-3.21890,1.49420,0.04580,0.04270
2022-12-31,167.20300,34.86600,132.33700,8.31100,113.11000,-22.52100,143.94200,-11.60490,0.57700,-11.02800,-0.12100,-10.90700,-10.90700,-10.90700,-10.43490,-11.60500,204.51600,204.51600,-0.05000,-0.05000,4.51790,,79.14750,-6.94060,-6.94060,-6.59560,-6.52320,0.45640,1.61700,-3.49870,-6.09270,-2.97730,-3.49870,1.49570,-0.0332,-0.0401
2022-09-30,144.83600,30.38300,114.45300,7.97700,104.70800,-21.75100,134.43600,-19.98300,1.12700,-18.85600,-0.01600,-18.84000,-18.84000,-18.84000,-17.95800,-19.98300,205.23300,205.23300,-0.09000,-0.09000,3.49390,,79.02250,-13.79700,-13.79700,-13.01890,-13.00780,0.37830,1.35960,-6.05890,-10.58580,-4.92130,-6.05890,1.49720,0.03,0.0249
2022-06-30,113.56300,26.38700,87.17600,6.86100,83.05700,-17.44800,107.36600,-20.19000,0.52300,-19.66700,0.01200,-19.67900,-19.67900,-19.67900,-18.47700,-20.19000,203.95000,203.95000,-0.10000,-0.10000,4.14370,,76.76440,-17.77870,-17.77870,-17.31810,-17.32870,0.29890,1.34130,-6.16780,-10.67350,-5.17920,-6.16780,1.54250,-0.0308,-0.0316
