Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-03-31,,,,,,,,,,,,,,0.00000,,,,,,,,
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0.00000,
2022-09-30,-0.20240,-0.20240,,1.31570,0.29000,,,1.02560,,,0.35940,0.35940,0.60000,0.60000,,,,,,,-0.4876,-0.4876
2022-06-30,-0.81170,-0.81170,0.45560,-0.35610,0.06730,-0.42340,-0.42340,-0.42340,-0.81170,-0.81170,0.35940,0.35940,-0.20000,-0.20000,0.36920,3.70640,3.70640,-0.14450,3.70640,-31.78210,-0.5078,-0.5078
2022-03-31,-0.79200,-0.79200,0.04480,-0.74720,,-0.74720,-0.74720,-0.74720,-0.79200,-0.79200,0.35940,0.35940,-0.40000,-0.40000,0.51050,6.89750,6.89750,-0.25520,6.89750,-30.14170,-1.0275,-1.0275
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,0.00000,
2021-09-30,-0.05820,-0.05820,,-0.05560,,,,-0.05560,,,0.35940,0.35940,0.00000,0.00000,32.32650,,,,,-23.99730,-2.0229,-2.0229
2021-06-30,-0.00100,-0.00100,,-0.00100,,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,0.31250,0.31250,0.00000,0.00000,,,,,,,0,0
2021-03-31,-0.00100,-0.00100,,-0.00100,,-0.00100,-0.00100,-0.00100,-0.00100,-0.00100,0.31250,0.31250,-0.00320,-0.00320,,,,,,,0,0
