Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,88.98400,65.10000,23.88400,27.34000,27.34000,-3.45600,-3.45600,-0.75100,-2.70500,-2.70500,,-2.70500,14.50900,-3.45600,20.98520,20.98520,-0.13000,-0.13000,-3.88380,-3.88380,-3.88380,-3.03990,0.15890,-1.12070,-1.13350,-0.48310,-1.12070,11.68940,-0.858,-0.865
2024-06-30,87.80700,69.35800,18.44900,27.51900,27.51900,-9.07000,-9.07000,-1.59200,-7.47800,-7.47800,-12.14400,-19.62200,6.51000,-9.07000,20.97040,20.97040,-0.94000,-0.94000,-10.32950,-10.32950,-10.32950,-22.34670,0.15380,-3.16780,-3.20480,-1.30970,-3.16780,11.43240,0.8904,0.8737
2024-03-31,91.35000,52.20900,39.14100,30.96100,30.96100,8.18000,8.18000,1.76100,6.41900,6.41900,,6.41900,29.37900,8.18000,20.93280,21.04610,0.31000,0.30000,8.95460,8.95460,8.95460,7.02680,0.13540,2.50890,2.61030,0.95160,2.50890,12.40200,0.76720,0.76470
2023-12-31,125.03500,72.35300,52.68200,42.43400,49.19000,3.49200,3.49200,2.44700,1.04500,1.04500,,6.62500,45.95000,3.49200,21.15910,21.15910,0.31000,0.31000,2.79280,2.79280,2.79280,5.29850,0.19090,0.41730,0.42190,0.15960,0.41730,12.15530,0.7811,0.7719
2023-09-30,78.02900,53.15700,24.87200,23.85300,23.85300,1.01900,1.01900,0.21400,0.80500,0.80500,-0.50700,0.23100,17.92800,1.01900,21.11180,21.19350,0.01000,0.01000,1.30590,1.30590,1.30590,0.29600,0.11870,0.35010,0.37790,0.12250,0.35010,11.17520,-0.4882,-0.4937
2023-06-30,81.07500,60.07700,20.99800,24.25900,24.25900,-3.26100,-3.26100,-0.68500,-2.57600,-2.57600,-5.65900,-8.12200,10.20600,-3.26100,21.28150,21.28150,-0.38000,-0.38000,-4.02220,-4.02220,-4.02220,-10.01790,0.11800,-1.07160,-1.15320,-0.37490,-1.07160,11.50930,1.1381,1.1248
2023-03-31,81.55600,58.82500,22.73100,28.24400,28.24400,-5.51300,-5.51300,-1.01300,-4.50000,-4.50000,,-4.21000,13.66500,-5.51300,21.36900,21.36900,-0.20000,-0.20000,-6.75980,-6.75980,-6.75980,-5.16210,0.12990,-1.77820,-1.90730,-0.71660,-1.77820,12.01530,-0.20360,-0.21470
2022-12-31,93.33200,66.79100,26.54100,25.88300,25.88300,0.65800,0.65800,-0.33300,0.99100,0.99100,,0.89000,18.65300,0.65800,21.33340,21.33340,0.04000,0.04000,0.70500,0.70500,0.70500,0.95360,0.15190,0.39140,0.42000,0.16130,0.39140,12.01390,-0.2673,-0.2725
2022-09-30,89.17500,78.91700,10.25800,23.50100,23.50100,-13.24300,-13.24300,-3.07400,-10.16900,-10.16900,,-9.98500,5.00300,-13.24300,21.32840,21.32840,-0.47000,-0.47000,-14.85060,-14.85060,-14.85060,-11.19710,0.14010,-4.05430,-4.35590,-1.59760,-4.05430,11.86050,-1.7954,-1.8075
2022-06-30,75.79000,108.59500,-32.80500,26.24600,26.24600,-59.05100,-59.05100,-12.41500,-46.63600,-46.63600,,-45.91000,-42.09800,-59.05100,21.37980,21.37980,-2.15000,-2.15000,-77.91400,-77.91400,-77.91400,-60.57530,0.11120,-17.10720,-18.27970,-6.84220,-17.10720,12.85300,0.4602,0.4519
2022-03-31,66.14000,40.12900,26.01100,23.40400,23.40400,2.60700,2.60700,0.56800,2.03900,2.03900,,1.90900,18.98600,2.60700,21.37280,21.61190,0.09000,0.09000,3.94160,3.94160,3.94160,2.88630,0.10600,0.61360,0.64800,0.32670,0.61360,15.63250,0.17810,0.18050
2021-12-31,85.35400,50.83000,34.52400,26.11400,26.11400,8.41000,8.41000,2.26700,6.14300,6.14300,,6.12800,27.45600,8.41000,21.42410,21.65640,0.28000,0.28000,9.85310,9.85310,9.85310,7.17950,0.13100,1.76820,1.86330,0.94250,1.76820,16.37210,0.9037,0.8975
2021-09-30,84.60900,65.74200,18.86700,25.34800,25.34800,-6.48100,-6.48100,-1.62200,-4.85900,-4.85900,,-4.73700,7.21900,-6.48100,21.41170,21.41170,-0.22000,-0.22000,-7.65990,-7.65990,-7.65990,-5.59870,0.12150,-1.41260,-1.48990,-0.69760,-1.41260,16.18540,-0.5681,-0.5747
2021-06-30,83.21200,62.91800,20.29400,23.58900,23.58900,-3.29500,-3.29500,-0.56100,-2.73400,-2.73400,,-2.64400,17.42200,-3.29500,21.46480,21.46480,-0.12000,-0.12000,-3.95980,-3.95980,-3.95980,-3.17740,0.11750,-0.77910,-0.82110,-0.38590,-0.77910,16.47430,0.5139,0.4998
