Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,4.55000,2.79300,1.75700,4.78800,2.55300,,7.34100,-5.58400,0.14900,-5.43500,0.02300,-5.45800,-5.45800,-5.45800,-5.42400,-5.58400,25.46700,25.46700,-0.21000,-0.21000,4.85020,38.61540,-122.72530,-122.72530,-119.45050,-119.95600,0.09600,0.67680,1.88720,47.69010,-16.39830,-22.86940,-11.51620,-16.39830,1.31040,-0.1381,-0.1345
2024-06-30,4.67100,2.51000,2.16100,4.21400,2.60400,5.73700,1.08100,1.08000,0.05500,1.13500,0.05700,1.07800,1.07800,1.07800,1.27200,1.08000,25.37400,25.68600,0.04000,0.04000,5.73460,46.26420,23.12140,23.12140,24.29890,23.07860,0.08930,0.56190,1.71850,52.36990,2.83670,3.77900,2.06010,2.83670,1.49340,-0.16600,0.27410
2024-03-31,5.15200,2.49400,2.65800,4.81800,2.35400,,7.17200,-4.51400,0.10800,-4.40600,-0.08500,-4.32100,-4.32100,-4.32100,-4.30500,-4.51400,25.14400,25.14400,-0.17000,-0.17000,5.61170,51.59160,-87.61650,-87.61650,-85.52020,-83.87040,0.12130,0.50110,1.65230,54.46820,-12.01280,-16.34510,-10.17570,-12.01280,1.42170,-0.2861,-0.2867
2023-12-31,5.31800,2.34300,2.97500,6.97600,2.68400,,9.66000,-6.68500,0.15500,-6.53000,0.07100,-6.60100,-6.60100,-6.60100,-6.47200,-6.68500,25.25600,25.25600,-0.26000,-0.26000,3.74520,55.94210,-125.70520,-125.70520,-122.79050,-124.12560,0.10840,0.42570,2.23730,40.22750,-16.67590,-22.00920,-13.45630,-16.67590,1.56490,-0.1537,-0.154
2023-09-30,5.70800,2.58700,3.12100,4.69100,2.52300,,7.21400,-4.09300,0.07100,-4.02200,0.03300,-4.05500,-4.05500,-4.05500,-3.86500,-4.09300,25.16100,25.16100,-0.16000,-0.16000,5.50440,54.67770,-71.70640,-71.70640,-70.46250,-71.04060,0.10750,0.46390,1.85080,48.62650,-8.93860,-11.35380,-7.63650,-8.93860,1.79910,-0.1002,-0.1005
2023-06-30,5.58700,2.51800,3.06900,5.20400,3.00400,,8.20800,-5.13900,0.08000,-5.05900,0.05100,-5.11000,-5.11000,-5.11000,-4.86400,-5.13900,24.86600,24.86600,-0.21000,-0.21000,6.12810,54.93110,-91.98140,-91.98140,-90.54950,-91.46230,0.09880,0.42480,1.81280,49.64740,-10.51830,-13.14540,-9.04010,-10.51830,1.93690,-0.15000,-0.17450
2023-03-31,5.38200,2.37400,3.00800,5.00700,1.87200,,6.87900,-3.87100,0.10100,-3.77000,0.19100,-3.96100,-3.96100,-3.96100,-3.62100,-3.87100,24.59500,24.59500,-0.16000,-0.16000,5.81440,55.89000,-71.92490,-71.92490,-70.04830,-73.59720,0.08990,0.37010,1.55060,58.04350,-7.71040,-9.52070,-6.61530,-7.71040,2.08110,-0.1876,-0.1899
2022-12-31,6.44700,2.74100,3.70600,5.52900,2.96600,,8.49500,-4.78900,0.06100,-4.72800,0.08400,-4.81200,-4.81200,-4.81200,-4.53300,-4.78900,24.62100,24.62100,-0.20000,-0.20000,6.48960,57.48410,-74.28260,-74.28260,-73.33640,-74.63940,0.10050,0.44220,1.76920,50.87020,-8.78100,-10.69950,-7.50140,-8.78100,2.22000,-0.1563,-0.1577
2022-09-30,8.95300,3.35100,5.60200,6.39500,2.41200,,8.80700,-3.20500,0.01400,-3.19100,0.03700,-3.22800,-3.22800,-3.22800,-2.94600,-3.20500,24.55400,24.55400,-0.13000,-0.13000,6.27730,62.57120,-35.79810,-35.79810,-35.64170,-36.05500,0.12980,0.60570,1.85790,48.44300,-5.49910,-6.61260,-4.67820,-5.49910,2.39060,-0.1367,-0.1414
2022-06-30,8.90900,3.54400,5.36500,6.61900,2.68800,,9.30700,-3.94200,0.02600,-3.91600,0.06000,-3.97600,-3.97600,-3.97600,-3.67900,-3.94200,24.52300,24.52300,-0.16000,-0.16000,6.91760,60.22000,-44.24740,-44.24740,-43.95560,-44.62900,0.12430,0.74140,2.06750,43.53010,-6.48980,-7.74700,-5.54770,-6.48980,2.49510,-0.20430,-0.20870
