Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,89.18300,21.92100,67.26200,12.87200,49.53700,,62.40900,4.85300,-23.45800,-18.60500,-1.42700,-17.17800,-17.17800,-17.18500,6.21500,4.85300,183.72100,183.72100,-0.09000,-0.09000,1.77070,,75.42020,5.44160,5.44160,-20.86160,-19.26940,0.17180,1.02080,88.16530,-6.34000,-7.03030,-3.30950,-6.34000,1.39610,0.2085,0.2013
2024-09-30,88.80400,21.22100,67.58300,12.83800,47.09300,,59.93100,7.65200,-4.54100,3.11100,0.18300,2.92800,2.92800,2.62000,9.04900,7.65200,183.94600,203.85900,0.01000,0.01000,1.75170,,76.10360,8.61670,8.61670,3.50320,2.95030,0.19180,1.11020,81.06320,1.35730,1.56570,0.63250,1.35730,1.15090,0.1446,0.1375
2024-06-30,77.96100,18.94200,59.01900,12.50300,48.65400,,61.15700,-2.13800,-6.97000,-9.10800,3.83000,-12.93800,-12.93800,-12.80900,-0.81000,-2.13800,182.80400,182.80400,-0.07000,-0.07000,1.83460,,75.70320,-2.74240,-2.74240,-11.68280,-16.43000,0.18250,0.99440,90.50570,-6.23790,-7.22300,-3.02810,-6.23790,1.11120,0.0881,0.0841
2024-03-31,74.53400,20.44200,54.09200,10.48600,46.80700,,57.29300,-3.20100,3.40400,0.20300,2.15700,-1.95400,-1.95400,-1.71600,-1.90600,-3.20100,181.49500,181.49500,-0.01000,-0.01000,1.85810,,72.57360,-4.29470,-4.29470,0.27240,-2.30230,0.18010,1.01540,88.63550,-0.91850,-1.06260,-0.47220,-0.91850,1.14860,0.04270,0.03780
2023-12-31,74.62400,19.61800,55.00600,9.40900,44.71900,,54.12800,0.87800,-1.68700,-0.80900,-5.24500,4.43600,4.43600,4.26900,2.12600,0.87800,182.25700,182.25700,0.02000,0.02000,1.84290,,73.71090,1.17650,1.17660,-1.08410,5.72070,0.16860,0.86900,103.57160,2.02740,2.34580,1.00230,2.02740,1.18500,0.1173,0.1115
2023-09-30,72.76000,20.15600,52.60400,8.64300,44.27400,,52.91700,-0.31300,-1.07600,-1.38900,2.84100,-4.23000,-4.23000,-4.21200,0.87700,-0.31300,181.76900,181.76900,-0.02000,-0.02000,1.92750,,72.29800,-0.43020,-0.43020,-1.90900,-5.78890,0.18270,1.04950,85.75610,-2.11380,-2.47240,-1.06230,-2.11380,1.08760,0.0226,0.0168
2023-06-30,64.86900,19.79600,45.07300,9.27300,42.88400,,52.15700,-7.08400,-2.12800,-9.21200,3.31300,-12.52500,-12.52500,-12.58500,-5.96900,-7.08400,183.31500,183.31500,-0.07000,-0.07000,2.08470,,69.48310,-10.92050,-10.92050,-14.20090,-19.40060,0.16280,1.04940,85.76280,-5.93250,-6.90560,-3.14250,-5.93250,1.13680,0.0437,0.0385
2023-03-31,59.57200,17.89000,41.68200,9.01500,41.49900,,50.51400,-8.83200,1.62800,-7.20400,1.97800,-9.18200,-9.18200,-9.19700,-7.69800,-8.83200,182.81800,182.81800,-0.05000,-0.05000,2.30330,,69.96910,-14.82580,-14.82580,-12.09290,-15.43850,0.14840,1.05200,85.55080,-4.04060,-4.64860,-2.28690,-4.04060,1.21660,0.00680,0.00420
2022-12-31,63.60800,18.79000,44.81800,7.50900,45.35700,,52.86600,-8.04800,1.34000,-6.70800,4.93900,-11.64700,-11.64700,-12.71900,-6.80900,-8.04800,181.95700,181.95700,-0.08000,-0.08000,2.14630,,70.45970,-12.65250,-12.65250,-10.54580,-19.99590,0.15310,0.95690,94.05520,-5.08280,-5.84790,-2.80290,-5.08280,1.23680,0.0338,0.0292
2022-09-30,62.73900,17.09800,45.64100,9.21400,43.85400,,53.06800,-7.42700,0.97700,-6.45000,0.33600,-6.78600,-6.78600,-7.41200,-6.50500,-7.42700,180.73200,180.73200,-0.04000,-0.04000,2.39910,,72.74740,-11.83790,-11.83790,-10.28070,-11.81400,0.15890,1.10500,81.44740,-2.91610,-3.33850,-1.71870,-2.91610,1.26160,-0.002,-0.0087
2022-06-30,55.70100,15.61200,40.08900,8.08100,43.75100,,51.83200,-11.74300,1.99500,-9.74800,-0.54600,-9.20200,-9.20200,-9.82900,-10.92100,-11.74300,182.49100,182.49100,-0.05000,-0.05000,2.80130,,71.97180,-21.08220,-21.08220,-17.50060,-17.64600,0.14360,1.08280,83.11680,-3.87860,-4.04750,-2.37210,-3.87860,1.30840,-0.0026,-0.016
2022-03-31,50.29100,14.77600,35.51500,6.55500,42.80800,,49.36300,-13.84800,3.10400,-10.74400,0.30900,-11.05300,-11.05300,-11.67000,-13.33700,-13.84800,182.83300,182.83300,-0.06000,-0.06000,3.00210,,70.61900,-27.53570,-27.53570,-21.36370,-23.20500,0.12850,1.04690,85.96990,-4.50710,-4.66870,-2.82350,-4.50710,1.34380,-0.03350,-0.03880
2021-12-31,53.83800,15.28100,38.55700,4.50800,42.58400,,46.22900,-7.67200,7.27300,-0.39900,7.09000,-7.48900,-7.48900,-8.05000,-7.29700,-7.67200,141.59600,141.59600,0.07000,0.07000,3.00550,,71.61670,-14.25020,-14.25020,-0.74110,-14.95230,0.13850,0.97770,92.05450,-2.99140,-2.99140,-1.92650,-2.99140,1.37690,0.0579,0.0487
2021-09-30,53.92700,15.22200,38.70500,19.64800,47.41600,,67.39000,-28.68500,13.40700,-15.27800,-5.52100,-9.75700,-9.75700,-9.66600,-28.35900,-28.68500,176.62100,176.62100,-0.05000,-0.05000,3.31960,,71.77300,-53.19230,-53.19230,-28.33090,-17.92420,0.14190,0.99450,90.49900,-3.94230,-3.94230,-2.56650,-3.94230,1.36730,-0.0036,-0.003
2021-06-30,45.34400,11.72000,33.62400,3.88300,40.66500,,44.82700,-11.20300,0.07300,-11.13000,-0.07300,-11.05700,-11.05700,-36.29800,-10.92400,-11.20300,101.96800,101.96800,-0.36000,-0.36000,0.05350,0.06000,74.15310,-24.70670,-24.70670,-24.54570,-80.05030,0.12870,154.85390,0.58120,-221.13980,-221.14000,-3.13860,-221.13980,0.27310,0.0235,0.0174
