Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.41460,1.63370,-2.04830,0.35370,-1.69470,-1.69470,-1.69470,-1.69470,-2.03800,-2.04830,5.79200,5.79200,-0.29000,-0.29000,0.59980,-1.60250,118.71550,118.71540,-79.19360,118.71540,-0.24540,-0.0281,-0.0281
2024-06-30,0.01300,1.75110,-1.76410,-0.00750,-1.77160,-1.77160,-1.77160,-1.77160,-1.76410,-1.76410,5.77400,5.77400,-0.31000,-0.31000,0.93450,-8.69640,970.63410,970.63920,-68.04500,970.63850,-0.03130,-0.4317,-0.4317
2024-03-31,0.46660,1.46740,-1.93400,-0.62830,-2.56230,-2.56230,-2.56230,-2.56230,-1.32840,-1.93400,4.69100,4.69100,-0.55000,-0.55000,1.38950,,-226.73090,-226.73080,-63.55680,-226.73080,0.19600,-0.42460,-0.42460
2023-12-31,2.29420,1.58460,-3.87880,-0.16030,-4.03920,-4.03920,-4.03920,-4.03920,-3.75750,-3.87880,1.27700,1.27700,-2.52000,-2.52000,0.01470,-0.19690,62.67490,62.67550,-4190.38400,62.67550,-1.64990,-0.1345,-0.1345
2023-09-30,0.04910,1.24260,-1.29170,-0.13000,-1.42170,-1.42170,-1.42170,-1.42170,-1.27410,-1.29170,0.98500,0.98500,-1.44000,-1.44000,0.00380,-0.20310,24.07820,24.07840,-6239.49800,24.07840,-0.66520,-0.2678,-0.2678
2023-06-30,0.05000,0.72720,-0.77720,-0.17620,-0.95330,-0.95330,-0.95330,-0.95330,-0.75970,-0.77720,1.00300,1.00300,-0.95000,-0.95000,,,,,,,,-0.2099,-0.2099
2023-03-31,0.18610,0.72850,-0.91460,-0.05200,-0.96660,-0.96660,-0.96660,-0.96660,-0.88290,-0.91460,1.11100,1.11100,-0.87000,-0.87000,,,,,,,,-0.15600,-0.15600
2022-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.1625,0.1625
2022-09-30,0.02800,0.49090,-0.51880,-0.03780,-0.55670,-0.55670,-0.55670,-0.55670,-0.51880,-0.51880,5.54300,5.54300,-0.10000,-0.10000,,,,,,,,-0.1625,-0.1625
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
