Date,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.30890,-0.30890,0.52150,0.21260,0.09030,0.12230,0.12230,0.12230,-0.30890,-0.30890,6.56100,6.56100,-0.01000,-0.01000,0.00430,-0.28870,-1.74070,-1.74070,0.38820,-1.74070,-1.07050,-0.0157,-0.0157
2024-06-30,-0.36370,-0.36370,0.28980,-0.07390,0.05010,-0.12400,-0.12400,-0.12400,-0.36370,-0.36370,6.56100,6.56100,-0.07000,-0.07000,0.00330,-0.13170,0.81450,0.81450,-0.32990,0.81450,-2.31960,-0.2361,-0.2361
2024-03-31,-0.20750,-0.20750,0.04600,-0.16150,0.06540,-0.22690,-0.22690,-0.22690,-0.20750,-0.20750,6.56100,6.56100,-0.01000,-0.01000,0.10330,-0.10900,1.56210,1.56210,-0.59180,1.56210,-2.21360,-0.03130,-0.03130
2023-12-31,-0.54000,-0.54000,0.53610,-0.00390,0.03250,-0.03650,-0.03650,-0.03650,-0.54000,-0.54000,6.56100,6.56100,0.72400,0.72400,0.00300,-0.05430,0.25350,0.25350,-0.09770,0.25350,-2.19190,-0.148,-0.148
2023-09-30,-0.13400,-0.13400,0.76670,0.63270,0.42690,0.20580,0.20580,0.20580,-0.13400,-0.13400,6.56100,6.56100,-0.02000,-0.02000,0.04900,,-1.54660,-1.54660,0.55450,-1.54660,-2.02810,-0.062,-0.062
2023-06-30,-0.37970,-0.37970,2.79810,2.41840,0.27990,2.13840,2.13840,2.13840,-0.37970,-0.37970,6.56100,6.56100,-0.07000,-0.07000,0.98150,-0.02670,-16.27960,-16.27960,0.87430,-16.27960,-2.00210,-0.0918,-0.0918
2023-03-31,-0.33610,-0.33610,2.59470,2.25860,0.47110,1.78740,1.78740,1.78740,-0.33610,-0.33610,6.56100,6.56100,-0.01000,-0.01000,0.04530,-0.02060,-16.29990,-16.29990,0.73770,-16.29990,-1.67140,-0.02730,-0.02730
2022-12-31,-2.01060,-2.01060,1.46240,-0.54820,,-1.22270,-1.22270,-1.22270,-2.01060,-2.01060,6.56100,6.56100,0.30600,0.30600,0.05100,-0.01760,10.45360,10.45360,-0.50960,10.45360,-1.78270,-0.0395,-0.0395
2022-09-30,-0.31790,-0.31790,1.84380,1.52590,,1.52590,1.52590,1.52590,-0.31790,-0.31790,6.56100,6.56100,0.04000,0.04000,0.65410,-0.02330,-17.22700,-17.22700,0.64070,-17.22700,-1.35010,-0.0442,-0.0442
2022-06-30,-0.49660,-0.49660,2.21210,1.71540,,1.71540,1.71540,1.71540,-0.49660,-0.49660,6.56100,6.56100,0.06000,0.06000,1.22940,-0.02150,-18.41250,-18.41250,0.72260,-18.41250,-1.42000,-0.0282,-0.0282
2022-03-31,-0.25020,-0.25020,1.09380,0.84360,,0.84360,0.84360,0.84360,-0.25020,-0.25020,5.91300,5.91300,0.03000,0.03000,2.67100,,-7.76250,-7.76250,0.35550,-7.76250,-1.83790,-0.02660,-0.02660
2021-12-31,,,,,,,,,,,,,,0.00000,,,,,,,,0.1157,0.1157
2021-09-30,-0.47220,-0.47220,0.00280,-0.46940,,-0.46940,-0.46940,-0.46940,-0.47220,-0.47220,5.79100,5.79100,-0.02000,-0.02000,81.67810,,3.90610,3.90610,-0.19750,3.90610,-1.83160,-0.1157,-0.1157
2021-06-30,,,,,,,,,,,,,,0.00000,,,,,,,,0,0
2021-03-31,-0.02980,-0.02980,,-0.02980,,-0.02980,-0.02980,-0.02980,-0.02980,-0.02980,5.62500,5.62500,-0.01000,-0.01000,,,,,,,,0.00000,
