Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,11.87100,5.27800,6.59300,54.57600,53.21900,107.79500,-101.20200,7.65100,-93.55100,-93.55100,-93.55100,-93.55100,-102.99400,-101.20200,61.11700,61.11700,-1.53000,-1.53000,10.01540,55.53870,-852.51450,-852.51450,-788.06340,-788.06340,0.01910,0.79830,112.74450,-16.95270,-16.95270,-15.02990,-16.95270,9.02090,-1.3292,-1.3292
2024-06-30,8.65400,1.40700,7.24700,62.56400,55.98300,118.54700,-111.30000,8.44600,-102.85400,-102.85400,-102.85400,-102.85400,-112.92600,-111.30000,60.53800,60.53800,-1.70000,-1.70000,9.94760,83.74160,-1286.11000,-1286.11000,-1188.51400,-1188.51400,0.01240,0.87040,103.40540,-16.37640,-16.37640,-14.75450,-16.37640,10.31390,-1.3245,-1.3245
2024-03-31,7.90200,1.26900,6.63300,71.73400,52.57400,124.30800,-117.67500,9.19200,-108.48300,-108.48300,-108.48300,-108.48300,-118.89300,-117.67500,60.13600,60.13600,-1.80000,-1.80000,12.22420,83.94080,-1489.18000,-1489.18000,-1372.85500,-1372.85500,0.01030,0.75190,119.69250,-15.37020,-15.37020,-14.13280,-15.37020,11.72780,-0.62910,-0.62910
2023-12-31,77.97100,0.81900,77.15200,64.32900,55.10900,119.22490,-42.07290,9.36700,-32.70600,-32.70600,-32.70600,-32.70600,-35.48290,-42.07290,59.83600,59.83600,-0.54000,-0.54000,10.50610,98.94960,-53.95970,-53.95970,-41.94640,-41.94640,0.08840,0.93930,95.81520,-4.09070,-4.09070,-3.70700,-4.09070,13.31570,-2.0063,-2.0045
2023-09-30,2.71600,0.90500,1.81100,101.91900,78.14200,213.66000,-211.84900,10.21900,-201.63000,-201.63000,-201.63000,-201.63000,-216.47000,-211.84900,59.91200,59.91200,-3.37000,-3.37000,7.01690,66.67890,-7800.03700,-7800.03700,-7423.78500,-7423.78500,0.00290,0.12060,746.01250,-24.68960,-24.68960,-21.23170,-24.68960,13.61830,-2.2565,-2.2619
2023-06-30,2.47400,0.20500,2.26900,97.16100,75.56500,172.72600,-170.45700,10.13200,-160.32500,-160.32500,-160.32500,-160.32500,-174.51700,-170.45700,59.77000,59.77000,-2.68000,-2.68000,10.99120,91.71380,-6889.93600,-6889.93600,-6480.39600,-6480.39600,0.00230,0.16390,548.94900,-16.28700,-16.28700,-14.81350,-16.28700,16.46220,-2.1962,-2.1982
2023-03-31,3.29400,0.23000,3.06400,92.82600,65.70800,158.53400,-155.47000,8.64200,-146.82800,-146.82800,-146.82800,-146.82800,-158.32600,-155.47000,59.67400,59.67400,-2.46000,-2.46000,14.20960,93.01760,-4719.79400,-4719.79400,-4457.43800,-4457.43800,0.00270,0.21960,409.89070,-12.95780,-12.95780,-12.02830,-12.95780,18.96070,-2.57540,-2.57910
2022-12-31,2.86400,0.14300,2.72100,89.29500,67.32900,156.62400,-153.90300,6.75700,-147.14600,-147.14600,-147.14600,-147.14600,-154.94200,-153.90300,59.30600,59.30600,-2.47000,-2.47000,13.46960,95.00700,-5373.70800,-5373.70900,-5137.77900,-5137.77900,0.00210,0.20970,429.25980,-11.74730,-11.74730,-10.84790,-11.74730,21.04890,-2.1518,-2.1566
2022-09-30,1.73900,0.18400,1.55500,81.55300,61.48200,143.03500,-141.48000,4.15700,-137.32300,-137.32300,-137.32300,-137.32300,-140.13400,-141.48000,59.42800,59.42800,-2.31000,-2.31000,14.69700,89.41920,-8135.71000,-8135.71000,-7896.66500,-7896.66500,0.00120,0.09430,954.75560,-9.95010,-9.95010,-9.24070,-9.95010,23.19770,-1.9903,-1.9964
2022-06-30,1.50100,0.20000,1.30100,77.29700,52.41100,129.70800,-128.40700,2.14700,-126.26000,-126.26000,-126.26000,-126.26000,-125.54700,-128.40700,59.26600,59.26600,-2.13000,-2.13000,17.69240,86.67560,-8554.76300,-8554.76300,-8411.72600,-8411.72600,0.00090,0.06330,1422.37200,-8.39360,-8.39360,-7.88450,-8.39360,25.32850,-1.7887,-1.7907
2022-03-31,1.58200,0.28600,1.29600,78.01800,46.47700,124.49500,-123.19900,1.14400,-122.05500,-122.05500,-122.05500,-122.05500,-119.39100,-123.19900,59.02900,59.02900,-2.07000,-2.07000,21.64970,81.92160,-7787.54700,-7787.54700,-7715.23300,-7715.23300,0.00090,0.07990,1126.25200,-7.54120,-7.54120,-7.15570,-7.54120,27.40160,-1.82620,-1.82910
