Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,31.07550,14.03620,17.03930,16.31750,16.31750,0.72180,-0.03440,0.68740,0.21780,0.46960,0.46960,0.46960,0.80830,0.72180,35.13070,35.13070,0.01000,0.01000,1.46590,,0.09460,54.83200,2.32290,2.32290,2.21200,1.51130,0.95900,0.48270,56.68400,1.58780,7.02130,7.02130,1.44930,7.02130,0.19040,-0.0621,-0.0621
2024-06-30,28.07070,12.44530,15.62540,14.68820,14.68820,0.93720,-0.00730,0.92990,0.28080,0.64920,0.64920,0.64920,1.02870,0.93720,35.10900,35.10900,0.02000,0.02000,1.94850,,0.09990,55.66450,3.33870,3.33870,3.31270,2.31260,1.38850,0.84900,37.26640,2.41500,10.50530,10.50530,3.21090,10.50530,0.17600,0.013,0.0125
2024-03-31,24.68110,10.22890,14.45220,12.91400,12.91410,1.53820,-0.03520,1.50290,0.43710,1.06580,1.06580,1.06580,1.61630,1.53820,35.09600,35.09600,0.03000,0.03000,2.21120,,0.11300,58.55570,6.23220,6.23220,6.08940,4.31830,1.47390,0.88040,45.91690,1.96010,19.24490,19.24490,6.36480,19.24490,0.15770,0.01400,0.01350
2023-12-31,59.48680,29.27530,30.21140,30.82410,30.82420,-0.61270,-0.01970,-0.63240,-0.22240,-0.41000,-0.41000,-0.41000,-0.45060,-0.61270,35.06700,35.06700,-0.01000,-0.01000,1.64890,,0.14650,50.78680,-1.03000,-1.03000,-1.06310,-0.68930,3.04280,2.05060,79.56500,1.13120,-9.20810,-9.20810,-2.09730,-9.20810,0.12690,0.0538,0.0537
2023-09-30,29.15240,13.81980,15.33260,15.26380,15.26380,0.06870,-0.04630,0.02250,0.03750,-0.01510,-0.01510,-0.01510,0.18370,0.06870,35.05830,35.05830,0.00000,0.00000,1.40720,,0.12860,52.59460,0.23580,0.23580,0.07720,-0.05160,1.05600,0.58250,39.54720,2.27580,-0.31190,-0.31190,-0.05450,-0.31190,0.13770,-0.0149,-0.0151
2023-06-30,22.41750,11.05990,11.35760,12.20480,12.20480,-0.84720,-0.04310,-0.89040,-0.12100,-0.76940,-0.76940,-0.76940,-0.72910,-0.84720,35.05500,35.05500,-0.02000,-0.02000,1.80130,,0.13250,50.66390,-3.77930,-3.77930,-3.97170,-3.43200,1.22310,0.76710,69.54730,1.29410,-15.84780,-15.84780,-4.19760,-15.84780,0.13840,-0.0039,-0.004
2023-03-31,21.06760,11.45190,9.61570,11.22800,11.22800,-1.61230,-0.04790,-1.66020,-0.42500,-1.23520,-1.23520,-1.23520,-1.48200,-1.61230,35.05300,35.05300,-0.04000,-0.04000,2.06820,,0.11720,45.64210,-7.65280,-7.65280,-7.88030,-5.86320,1.19450,0.84390,61.37010,1.46650,-21.99790,-21.99790,-7.00390,-21.99790,0.16020,-0.09380,-0.09390
2022-12-31,51.21950,26.60180,24.61770,25.42520,25.42520,-0.80750,-0.05760,-0.86510,-0.19560,-0.66950,-0.66950,-0.66950,-0.67040,-0.80750,34.99200,34.99200,-0.02000,-0.02000,1.66790,,0.09550,48.06310,-1.57650,-1.57650,-1.68900,-1.30720,1.99050,1.41490,145.35350,0.61920,-9.79870,-9.79870,-2.60190,-9.79870,0.19500,0.1046,0.103
2022-09-30,17.55610,7.99980,9.55630,9.51960,9.51950,0.03670,0.12650,0.16320,0.01300,0.15020,0.15020,0.15020,0.26630,0.03670,33.30000,33.30000,0.01000,0.01000,1.37480,0.01970,0.10410,54.43300,0.20910,0.20910,0.92940,0.85560,0.69520,0.37450,66.64540,1.35040,1.99980,1.99980,0.59480,1.96030,0.21430,-0.0736,-0.077
2022-06-30,14.80050,6.44390,8.35660,8.75630,8.75630,-0.39970,-0.01080,-0.41040,-0.09700,-0.31340,-0.31340,-0.31340,-0.38560,-0.39970,34.94000,34.94000,-0.01000,-0.01000,1.57780,0.02460,0.02520,56.46160,-2.70030,-2.70030,-2.77300,-2.11750,0.78490,0.44130,97.62420,0.92190,-4.27370,-4.27370,-1.66200,-4.16870,0.20930,-0.1364,-0.1375
