Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,774.12900,148.52400,625.60500,281.32200,-83.61200,371.02700,254.57800,254.57800,59.84100,194.73700,194.73700,-30.36400,164.37300,339.92000,260.67100,33.83400,33.89100,4.84000,4.83000,,0.98850,32.88570,33.67280,32.88570,21.23330,0.05230,10.00280,10.24090,1.31440,10.00280,58.10040,6.2779,5.8582
2024-06-30,803.37500,168.82400,634.55100,278.48200,-88.56600,626.75400,7.79700,7.79700,6.62600,1.17100,1.17100,,1.17100,347.64100,13.89600,34.38300,34.38300,0.03000,0.03000,,0.91770,0.97050,1.72970,0.97050,0.14580,0.05520,0.05520,0.05640,0.00800,0.05520,62.41570,5.1371,5.0105
2024-03-31,742.83000,189.54300,553.28700,266.33600,-100.94400,374.05100,179.23600,179.23600,41.33200,137.90400,137.90400,,137.90400,264.18100,186.00700,34.88300,34.93700,3.94000,3.93000,,0.90120,24.12880,25.04030,24.12880,18.56470,0.04980,6.30880,7.31280,0.92490,6.30880,63.16010,6.03650,5.79650
2023-12-31,739.77380,206.16410,533.60970,244.54600,-93.02000,344.15180,189.45790,189.45800,42.91400,146.54400,146.54400,,149.45200,272.20290,196.04390,35.95400,36.02700,4.30000,4.28000,,0.95850,25.61020,26.50050,25.61030,20.20240,0.04920,7.09320,7.25220,0.97520,7.09320,59.03440,6.6194,6.059
2023-09-30,697.49600,170.15200,527.34400,243.42600,-70.90200,320.96000,206.38400,206.38400,48.93000,157.45400,157.45400,-5.39100,152.06300,289.76700,213.01600,35.76000,35.82200,4.23000,4.23000,,0.86940,29.58930,30.54010,29.58930,21.80130,0.04830,6.80880,7.84470,1.09090,6.80880,65.43190,4.0139,3.9154
2023-06-30,688.38500,168.78800,519.59700,240.82600,-83.18900,330.70100,188.89600,188.89600,44.39200,144.50400,144.50400,,144.50400,272.25700,195.58200,36.21500,36.29000,3.97000,3.97000,,1.00540,27.44050,28.41170,27.44050,20.99170,0.04670,7.16980,8.46300,0.97960,7.16980,56.22560,3.8083,3.7399
2023-03-31,690.03600,186.94600,503.09000,239.92200,-89.53600,336.14800,166.94200,166.94200,38.84300,128.09900,128.09900,,128.09900,249.79300,173.63200,36.71000,36.80400,3.47000,3.46000,,1.06850,24.19320,25.16280,24.19320,18.56410,0.04660,6.66800,7.95400,0.86580,6.66800,52.76740,4.78060,4.56700
2022-12-31,686.93600,180.06600,506.87000,229.54400,-80.43800,316.75000,190.12000,190.12000,40.60700,149.51300,149.51300,,147.38100,272.65600,196.88820,37.99700,38.10600,4.01000,4.00000,,1.00300,27.67650,28.66180,27.67650,21.45480,0.04690,7.36060,8.70260,1.02120,7.36060,55.16110,5.1984,5.1592
2022-09-30,673.28900,182.02200,491.26700,229.54400,-73.79100,370.13700,121.13000,121.13000,41.56900,79.56100,79.56100,,79.56100,262.94900,127.93200,37.43800,37.54100,2.12000,2.11000,,1.25060,17.99080,19.00110,17.99080,11.81680,0.04480,4.91130,6.10080,0.52890,4.91130,43.75110,4.6984,4.4334
2022-06-30,668.68200,175.24700,493.43500,244.05400,-79.73000,330.59800,162.83700,162.83700,37.26500,125.57200,125.57200,,127.95600,244.73100,169.65100,38.38600,38.50100,3.32000,3.31000,,1.13090,24.35190,25.37100,24.35190,19.13560,0.04360,7.07240,8.98840,0.81920,7.07240,47.01130,4.5378,4.36
