Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,17.58600,2.09800,-15.48800,36.73200,21.24400,5.62700,15.61700,15.61700,15.61200,-11.74400,-15.48800,32.71100,35.89500,0.48000,0.44000,36.72270,0.89460,8.48640,,,,,,,,3.20220,3.33340,0.30020,0.33760,14.72710,-0.4946,-0.3931
2024-06-30,,,16.56200,4.01800,-12.54400,32.41700,19.87300,5.16200,14.71100,14.71100,14.59600,-8.93200,-12.54400,32.58500,35.60000,0.45000,0.42000,35.07690,0.89440,8.47360,,,,,,,,3.09870,3.22790,0.30190,0.32710,14.34320,0.3209,0.6046
2024-03-31,,,15.35700,9.11900,-6.23800,29.47400,23.23600,5.90300,17.33300,17.33300,17.03400,-2.42800,-6.23800,32.54100,35.43900,0.52000,0.49000,37.11160,0.88990,8.07880,,,,,,,,3.79730,3.93350,0.37450,0.41830,13.83780,0.29860,0.47750
2023-12-31,,,15.14300,8.06800,-7.07500,29.38200,22.30700,5.14100,17.16600,17.16600,17.13000,-2.88000,-7.07500,32.20600,34.48400,0.53000,0.50000,35.90130,0.88920,8.02820,,,,,,,,3.92930,4.07240,0.38970,0.43520,13.29260,0.7633,0.8443
2023-09-30,,,12.52300,1.05300,-11.47000,28.70900,17.23900,5.07000,12.16900,12.16900,11.90300,-6.38100,-11.47000,32.27500,34.73100,0.37000,0.35000,41.77920,0.88960,8.05740,,,,,,,,2.89730,3.01620,0.29560,0.31990,12.81160,-0.297,-0.0268
2023-06-30,,,10.67000,2.18700,-8.48300,25.30700,16.82400,4.60200,12.22200,12.22200,11.99800,-2.63000,-8.48300,32.12200,34.14000,0.37000,0.36000,41.13770,0.88810,7.93310,,,,,,,,3.01600,3.14170,0.30930,0.33760,12.37680,1.3002,1.5135
2023-03-31,,,10.00800,0.41200,-9.59600,24.35300,14.75700,4.02100,10.73600,10.73600,10.48900,-3.81200,-9.59600,32.09800,34.05200,0.33000,0.31000,44.75570,0.88670,7.82780,,,,,,,,2.74410,2.86050,0.27980,0.31080,12.00050,-0.35030,-0.28940
2022-12-31,,,11.79400,2.84700,-8.94700,20.63900,11.69200,3.46500,8.22700,8.22700,8.33500,-2.64800,-8.94700,31.91300,34.13100,0.25000,0.25000,40.54680,0.88560,7.74280,,,,,,,,2.16220,2.25710,0.21940,0.24730,11.71130,1.173,1.2876
2022-09-30,,,6.78800,-4.01000,-10.79800,24.84700,14.04900,3.75900,10.29000,10.29000,9.83100,-4.70800,-10.79800,31.92200,34.19900,0.31000,0.29000,47.96330,0.88530,7.71830,,,,,,,,2.77560,2.90600,0.28210,0.31840,11.43680,-0.1315,0.1369
2022-06-30,,,6.55300,-4.96600,-11.51900,26.30900,14.79000,4.01900,10.77100,10.77100,10.48100,-6.12600,-11.51900,31.91700,34.05700,0.33000,0.31000,41.94300,0.88200,7.47250,,,,,,,,2.99600,3.12840,0.32320,0.35360,11.09060,0.0386,0.1717
2022-03-31,,,5.32300,-2.00900,-7.33200,11.35300,4.02100,0.79000,3.23100,3.23100,3.07300,5.29600,-7.33200,31.89200,34.20400,0.10000,0.09000,33.06930,0.86580,6.45050,,,,,,,,0.92860,0.96880,0.10390,0.12460,10.74400,0.34600,0.47950
2021-12-31,,,4.72000,-5.13400,-9.85400,21.23100,11.37700,3.02400,8.35300,8.35300,7.64600,-3.07500,-9.85400,22.81300,33.98200,0.25000,0.25000,30.05900,0.85760,6.02260,,,,,,,,2.42470,2.52690,0.29700,0.34530,10.66760,0.539,0.6002
2021-09-30,,,4.73800,-6.44900,-11.18700,22.11400,10.92700,2.90500,8.02200,8.02200,4.99200,-6.65500,-11.18700,20.09000,34.21200,0.25000,0.23000,30.61930,0.88070,7.37900,,,,,,,,3.31230,3.31230,0.32650,0.39530,11.75390,0.5414,0.6379
2021-06-30,,,4.54600,-2.67200,-7.21800,20.10300,12.88500,3.43200,9.45300,9.45300,5.88200,-2.96500,-7.21800,20.08700,33.96000,0.29000,0.28000,32.02800,0.88060,7.37670,,,,,,,,4.04890,4.04890,0.41690,0.48340,11.33670,0.3033,0.3332
2021-03-31,,,5.18600,-2.73500,-7.92100,12.52500,4.60400,1.20800,3.39600,3.39600,2.11500,-0.85000,-7.92100,20.08700,33.40700,0.11000,0.10000,32.98890,0.87630,7.08400,,,,,,,,1.51970,1.51970,0.15690,0.18800,10.86550,0.31200,0.39830
2020-12-31,,,4.13500,-2.32700,-6.46200,18.21400,11.75200,2.17600,9.57600,9.57600,9.57600,-2.50100,-6.46200,20.08700,20.08700,0.48000,0.54000,32.91140,0.88280,7.53230,,,,,,,,4.36090,4.36090,0.45540,0.51110,10.93190,1.5807,1.7342
2020-09-30,,,5.69200,-6.39700,-12.08900,17.11400,5.02500,1.54400,3.48100,3.48100,3.48100,-7.52500,-12.08900,20.08700,32.43500,0.17000,0.11000,34.01440,0.89270,8.32240,,,,,,,,1.65950,1.65950,0.16370,0.17800,10.44260,-0.0299,0.0207
2020-06-30,,,5.86300,-8.18400,-14.04700,16.67200,2.62500,0.48400,2.14100,2.14100,-46.81400,-10.74700,-14.04700,20.08700,20.08700,-2.33000,-2.33000,38.75250,0.89040,8.12660,,,,,,,,1.03920,1.03920,0.09790,0.11390,10.25670,1.1139,1.1806
2020-03-31,,,5.04100,-6.67900,-11.72000,15.44700,3.72700,1.14800,2.57900,2.57900,2.57900,-4.94300,-11.72000,20.08700,20.08700,0.13000,0.13000,38.09050,0.86830,6.59180,,,,,,,,1.02980,1.02980,0.11420,0.13560,12.46730,0.06800,0.09080
2019-12-31,17.95600,17.95600,9.27300,-5.28000,8.68300,17.40500,8.14200,2.96000,5.18200,5.18200,5.18200,12.12200,8.68300,11.77700,11.77700,0.44000,0.44000,38.99010,0.91200,10.36500,48.35710,48.35710,45.34420,28.85940,0.00810,0.32980,272.85200,3.39040,3.39040,0.23400,0.29830,,-8.9442,-8.6509
2019-09-30,,,3.71200,-5.32200,-9.03400,14.71000,5.67600,1.79600,3.88000,3.88000,3.88000,-5.37600,-9.03400,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-06-30,,,3.80000,-4.37800,-8.17800,13.16700,4.97900,1.44400,3.53500,3.53500,3.53500,-4.90000,-8.17800,,,,0.00000,,,,,,,,,,,,,,,,0,0
2019-03-31,,,4.00600,-3.12100,-7.12700,13.72800,6.60100,1.90600,4.69500,4.69500,4.69500,-4.59200,-7.12700,,,,0.00000,,,,,,,,,,,,,,,,0.00000,
2018-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
2017-12-31,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
