Date,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,0.99600,1.49180,,-2.50650,0.64660,-1.85990,-1.85990,-1.85990,-1.85990,-2.46780,-2.48780,6.03030,6.03030,-0.31000,-0.31000,1.50190,-0.52320,-0.75840,63.70210,55.48050,-36.99040,97.03400,-0.48380,-0.2595,-0.2595
2024-06-30,0.96720,1.45400,,-2.43640,0.32090,-2.11550,-2.11550,-2.11550,-2.11550,-2.40120,-2.42120,6.00940,6.00940,-0.25000,-0.25000,0.96360,-1.89100,-0.86940,151.81030,114.60250,-101.60950,438.90020,-0.23150,-0.2173,-0.2173
2024-03-31,0.91670,0.32550,-3.13180,-4.41570,-0.58290,-4.99860,-4.99860,-4.99860,-4.99860,-4.37410,-4.39490,5.74460,5.74460,-0.75000,-0.75000,1.31940,,6.75340,-2775.44800,1710.97700,-143.78100,-2775.47000,0.02850,-0.42730,-0.42730
2023-12-31,1.22440,-0.95250,-2.07230,-2.43700,-3.38740,-5.82440,-5.82440,-5.82440,-5.82440,-2.38650,-2.40760,3.77420,3.77420,-1.66000,-1.66000,0.73340,,-0.25760,123.82430,111.24380,-237.52010,123.82600,-0.99480,-0.5684,-0.5684
2023-09-30,1.42970,1.33620,,-2.77550,-0.49360,-3.26910,-3.26910,-3.26910,-3.26910,-2.74480,-2.76590,3.88040,3.88040,-0.84000,-0.84000,0.39520,,-0.18840,53.25620,48.85790,-192.37090,53.25630,-1.40820,-0.3794,-0.3794
2023-06-30,1.24620,1.48180,,-2.72960,-0.08800,-2.81760,-2.81760,-2.81760,-2.81760,-2.70690,-2.72810,3.78420,3.78420,-0.75000,-0.75000,1.32270,1.70250,-2.42350,598.82560,269.95580,-147.07980,-420.68230,-0.13370,-0.579,-0.579
2023-03-31,1.09790,0.24500,-0.61270,-2.00390,0.14250,-1.86150,-1.86150,-1.86150,-1.86150,-1.95570,-1.97680,3.11400,3.11400,-0.50000,-0.50000,2.03540,0.46950,0.88510,-141.17650,-256.84260,-40.22220,-74.88890,0.32380,-0.78600,-0.78600
2022-12-31,2.44830,0.23630,-0.67010,-3.42070,-0.69060,-4.12230,-4.12230,-4.12230,-4.12230,-3.35460,-3.37760,2.71890,2.71890,-1.25000,-1.25000,0.57500,,-0.91770,312.25620,213.08880,-139.69520,312.25640,-0.43460,-0.9243,-0.9243
2022-09-30,1.61950,0.32700,-0.83880,-2.85750,0.78230,-2.07520,-2.07520,-2.07520,-2.07520,-2.78540,-2.80840,2.72090,2.72090,-1.00000,-1.00000,1.65960,,0.66230,-116.91700,-182.04210,-46.46030,-116.91700,0.58430,-0.5802,-0.5802
2022-06-30,2.97340,0.49320,-0.88710,-4.41800,1.41420,-3.00380,-3.00380,-3.00380,-3.00380,-4.35370,-4.37630,2.72090,2.72090,-1.25000,-1.25000,3.08330,,0.27400,-72.15040,-85.63490,-43.91140,-72.15040,1.53010,-0.9949,-0.9967
2022-03-31,1.77570,0.45110,-0.65420,-2.94230,0.02900,-2.91330,-2.91330,-2.91330,-2.91330,-2.88090,-2.90330,2.70630,2.70630,-1.00000,-1.00000,5.29180,,0.16160,-42.51440,-47.16870,-27.26690,-42.51430,2.51850,-0.89970,-0.89970
2021-12-31,2.68280,0.67010,-0.86870,-4.25300,1.10330,-3.14970,-3.14970,-3.14970,-3.14970,-4.22160,-4.24470,2.13330,2.13330,-0.25000,-0.25000,6.75140,,0.11910,-34.88180,-37.79850,-24.45340,-34.88180,2.98900,-1.657,-1.6577
2021-09-30,2.14010,0.24670,-0.70310,-3.12000,-1.16910,-4.28910,-4.28910,-4.28910,-4.28910,-3.09000,-3.11320,2.07380,2.07380,-2.00000,-2.00000,5.73360,0.41770,0.73430,-301.52040,-629.43630,-67.38210,-175.56510,0.82710,-1.516,-1.5161
2021-06-30,1.52830,0.19590,-0.51460,-2.26780,2.38650,0.11870,0.11870,0.11870,0.11870,-2.23870,-2.26140,2.07380,2.07380,0.00000,0.00000,5.99450,-15.12000,-0.96070,-11.24000,-6.52780,1.84300,-181.18870,-0.61390,-0.8604,-0.8658
2021-03-31,1.62220,0.19830,-0.60270,-2.45610,-9.76890,-12.22500,-12.22500,-12.22500,-12.22500,-2.42310,-2.44410,1.77490,1.77490,-7.00000,-7.00000,11.57170,-2.85140,-0.75880,941.35630,587.51290,-148.55250,3625.49400,-0.72400,-0.59760,-0.59780
2020-12-31,1.24340,0.07750,-0.74570,-2.13490,0.48710,-1.64780,-1.64780,-1.64780,-1.64780,-2.06670,-2.08810,1.71790,1.71790,-1.00000,-1.00000,2.15250,0.99500,200.83760,-10294.27000,231.06610,-19.53250,-51.38110,0.00930,-1.0021,-1.0041
2020-09-30,1.07410,0.06120,-0.34970,-1.53700,0.09090,-1.44620,-1.44620,-1.44620,-1.44620,-1.48490,-1.50540,1.71990,1.71990,-0.75000,-0.75000,,,,,,,,,-0.7098,-0.7132
2020-06-30,1.52920,0.03830,-0.14020,-1.75210,0.09710,-1.65500,-1.65500,-1.65500,-1.65500,-1.70780,-1.72750,1.71620,1.71620,-1.00000,-1.00000,,,,,,,,,-0.8092,-0.8092
2020-03-31,0.82640,0.09120,-0.10770,-1.05150,0.01630,-1.03520,-1.03520,-1.03520,-1.03520,-1.02540,-1.04510,1.71590,1.71590,-0.50000,-0.50000,,,,,,,,,-0.64420,-0.64420
