,Announcement Date,Fiscal Quarter End,Estimated EPS,Actual EPS
0,2024-10-30,2024-09-30,$0.59,$0.58
1,2024-07-30,2024-06-30,$0.58,$0.61
2,2024-05-01,2024-03-31,$0.59,$0.59
3,2024-02-07,2023-12-31,$0.59,$0.63
4,2023-10-24,2023-09-30,$0.58,$0.59
5,2023-07-25,2023-06-30,$0.57,$0.58
6,2023-04-25,2023-03-31,$0.59,$0.56
7,2023-02-07,2022-12-31,$0.57,$0.63
8,2022-10-25,2022-09-30,$0.50,$0.50
9,2022-07-26,2022-06-30,$0.43,$0.52
10,2022-04-26,2022-03-31,$0.47,$0.41
11,2022-02-09,2021-12-31,$0.50,$0.52
12,2021-10-26,2021-09-30,$0.45,$0.47
13,2021-07-28,2021-06-30,$0.43,$0.53
14,2021-04-28,2021-03-31,$0.42,$0.43
15,2021-02-10,2020-12-31,$0.40,$0.54
16,2020-10-27,2020-09-30,$0.38,$0.39
17,2020-08-04,2020-06-30,$0.38,$0.39
18,2020-05-05,2020-03-31,$0.43,$0.41
19,2020-02-12,2019-12-31,$0.45,$0.45
20,2019-10-30,2019-09-30,$0.46,$0.48
21,2019-07-30,2019-06-30,$0.44,$0.49
22,2019-04-30,2019-03-31,$0.42,$0.47
23,2019-02-12,2018-12-31,$0.41,$0.45
24,2018-10-31,2018-09-30,$0.40,$0.45
25,2018-08-01,2018-06-30,$0.39,$0.39
26,2018-05-02,2018-03-31,$0.37,$0.39
27,2018-02-13,2017-12-31,$0.37,$0.38
28,2017-11-02,2017-09-30,$0.35,$0.36
29,2017-08-02,2017-06-30,$0.36,$0.34
30,2017-05-03,2017-03-31,$0.36,$0.32
31,2017-02-22,2016-12-31,$0.39,$0.42
32,2016-11-02,2016-09-30,$0.38,$0.43
33,2016-08-03,2016-06-30,$0.38,$0.39
34,2016-05-04,2016-03-31,$0.39,$0.37
35,2016-02-24,2015-12-31,$0.39,$0.40
36,2015-11-04,2015-09-30,$0.38,$0.41
37,2015-08-04,2015-06-30,$0.37,$0.37
38,2015-05-04,2015-03-31,$0.39,$0.37
39,2015-02-26,2014-12-31,$0.39,$0.42
