Date,revenue,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,-0.44600,3.58100,,-3.13500,0.24800,-2.88700,,-2.88700,-2.88700,-2.88700,-3.13500,-3.13500,1.32000,1.32000,-2.19000,-2.19000,4.82420,,,,,,,,,,-17.74650,-17.74650,-14.06780,-17.74650,12.32420,0.2144,0.2954
2024-06-30,,,0.75100,3.42600,,-4.17700,0.58700,-3.59000,,-3.59000,-3.59000,-3.59000,-4.17700,-4.17700,1.29900,1.29900,-2.76000,-2.76000,3.94750,,,,,,,,,,-19.19270,-19.19270,-14.33080,-19.19270,14.17050,-0.8694,0.8057
2024-03-31,0.05300,0.05300,1.21800,4.13800,,-5.30300,0.41100,-4.89200,,-4.89200,-4.89200,-4.89200,-5.33300,-5.30300,1.23700,1.23700,-3.95000,-3.95000,3.91570,,100.00000,-10005.66000,-10005.66000,-9230.18900,-9230.18900,0.00180,0.00730,12302.83000,-22.27280,-22.27280,-16.58470,-22.27280,17.75590,-5.65560,-5.65560
2023-12-31,1.29900,1.29900,4.45400,2.32700,0.98100,-4.50100,-0.08300,-4.58400,,-4.58400,-4.58400,-4.58400,-4.69900,-4.50100,1.12580,1.12580,-2.38000,-2.37000,3.24440,,100.00000,-346.49730,-346.49730,-352.88670,-352.88670,0.03360,0.21510,418.40630,-17.13130,-17.13130,-11.85110,-17.13130,21.63140,-20.1756,-20.1787
2023-09-30,19.52000,19.52000,9.59500,6.83900,-14.89300,-11.80700,1.05500,-10.75200,,-10.75200,-10.75200,-10.75200,-11.06800,-11.80700,1.23600,1.23600,-8.70000,-8.70000,2.04700,,100.00000,-60.48670,-60.48670,-55.08200,-55.08200,0.32880,18.67940,4.81810,-35.24090,-35.24090,-18.10830,-35.24090,24.69150,-5.3827,-5.4267
2023-06-30,20.05500,20.05500,14.32800,3.66400,,2.06300,1.91300,3.97600,,3.97600,3.97600,3.97600,2.82100,2.06300,1.09500,1.09800,3.63000,3.62000,1.93410,,100.00000,10.28670,10.28670,19.82550,19.82550,0.22910,21.06620,4.27230,9.81780,9.81780,4.54170,9.81780,32.77470,-10.4358,-10.4891
2023-03-31,1.93600,1.93600,13.42400,4.02300,,-15.51100,2.32800,-13.18300,,-13.18300,-13.18300,-13.18300,-14.90600,-15.51100,0.93100,0.93100,-14.15000,-14.15000,1.41120,,100.00000,-801.18800,-801.18800,-680.94010,-680.94010,0.02350,1.83510,49.04440,-85.28270,-85.28270,-16.02640,-85.28270,16.59500,-11.81100,-11.86250
2022-12-31,5.84600,5.84600,13.38000,3.98500,,-11.51900,3.41700,-8.10200,,-8.10200,-8.10200,-8.10200,-10.94400,-11.51900,0.92720,0.92720,-8.80000,-8.80000,2.00710,,100.00000,-197.04060,-197.04060,-138.59050,-138.59050,0.06120,0.52940,170.00850,-29.00930,-29.00930,-8.48470,-29.00930,29.98320,-14.1025,-14.0941
2022-09-30,5.37000,5.37000,13.58900,3.94900,,-12.16800,2.43200,-9.73600,,-9.73600,-9.73600,-9.73600,-11.40100,-12.16800,0.93000,0.93000,-10.40000,-10.40000,2.34360,,100.00000,-226.59220,-226.59220,-181.30350,-181.30350,0.05420,6.47770,13.89390,-27.22060,-27.22060,-9.81820,-27.22060,38.45600,-9.2883,-9.3208
2022-06-30,3.69800,3.69800,11.94700,4.08100,,-12.33000,1.99200,-10.33800,,-10.33800,-10.33800,-10.33800,-11.74700,-12.33000,0.92660,0.92660,-11.20000,-11.20000,2.55740,,100.00000,-333.42350,-333.42350,-279.55650,-279.55650,0.03240,2.92560,30.76260,-23.30220,-23.30220,-9.04390,-23.30220,47.70030,-16.6754,-17.3519
2022-03-31,10.98800,10.98800,14.06600,4.37900,,-7.45700,2.35600,-5.10100,,-5.10100,-5.10100,-5.10100,-6.61200,-7.45700,0.92140,0.92140,-5.60000,-5.60000,2.83020,,100.00000,-67.86490,-67.86490,-46.42340,-46.42340,0.08010,6.68370,13.46560,-9.54350,-9.54350,-3.72020,-9.54350,57.70740,-24.57490,-24.99710
2021-12-31,8.44300,8.44300,15.35700,4.08500,,-10.99900,1.46700,-9.53200,,-9.53200,-9.53200,-9.53200,-10.39000,-10.99900,0.80680,0.80680,-12.00000,-12.00000,2.52420,,100.00000,-130.27360,-130.27360,-112.89830,-112.89830,0.05500,2.54840,35.31570,-18.78040,-18.78040,-6.20730,-18.78040,56.22030,-13.3728,-13.8321
2021-09-30,4.05700,4.05700,18.93700,4.13200,,-19.01200,2.47600,-16.53600,,-16.53600,-16.53600,-16.53600,-18.40400,-19.01200,0.84660,0.84660,-19.20000,-19.20000,2.76980,,100.00000,-468.62220,-468.62220,-407.59180,-407.59180,0.02470,0.61040,147.43410,-30.70580,-30.70580,-10.07160,-30.70580,60.25090,-19.0827,-19.4675
2021-06-30,3.28500,3.28500,15.80000,4.24600,,-16.76100,1.26300,-15.49800,,-15.49800,-15.49800,-15.49800,-16.14400,-16.76100,0.77380,0.77380,-20.00000,-20.00000,2.90640,,100.00000,-510.22830,-510.22830,-471.78080,-471.78080,0.02120,1.17200,76.79450,-33.17140,-33.17140,-9.99680,-33.17140,56.05480,40.2101,39.9178
2021-03-31,15.63300,15.63300,16.56200,4.13000,,-5.05900,0.88700,-4.17200,,-4.17200,-4.17200,-4.17200,-4.43400,-5.05900,0.70370,0.70370,-5.60000,-5.60000,2.91660,,100.00000,-32.36100,-32.36100,-26.68710,-26.68710,0.13500,0.98880,91.01900,-10.91120,-10.91120,-3.60320,-10.91120,48.32110,-17.24850,-17.28830
2020-12-31,1.87700,1.87700,10.61800,3.67000,,-12.41100,-1.82500,-14.23600,,-14.40000,-14.40000,-14.40000,-11.72300,-12.41100,0.68100,0.68100,-20.80000,-20.80000,3.41930,,100.00000,-661.21410,-661.21430,-758.44400,-767.18120,0.01790,1.10020,81.80070,-46.41120,-46.41120,-13.71300,-46.41120,44.32190,-19.5778,-20.4183
2020-09-30,2.93900,2.93900,11.82200,4.11600,,-12.99900,-1.28400,-14.28300,,-14.28300,-14.28300,-14.28300,-12.24500,-12.99900,0.67930,0.67930,-20.80000,-20.80000,4.50340,,100.00000,-442.29330,-442.29330,-485.98170,-485.98170,0.02540,0.99830,90.15310,-32.69090,-32.69090,-12.34230,-32.69090,62.44810,-9.7659,-8.3639
2020-06-30,11.24600,11.24600,11.33300,4.56800,,-4.65500,-0.29500,-4.95000,,-4.95000,-4.95000,-4.95000,-4.12500,-4.65500,0.65460,0.65460,-7.20000,-7.20000,5.03990,,100.00000,-41.39250,-41.39250,-44.01570,-44.01570,0.09550,1.04990,85.72650,-10.60590,-10.60590,-4.20260,-10.60590,71.25690,-16.1259,-17.898
2020-03-31,13.26100,13.26100,12.75800,4.35900,,-3.85600,0.25900,-3.59700,,-3.59700,-3.59700,-3.59700,-3.51700,-3.85600,0.69020,0.69020,-5.60000,-5.60000,4.80260,,100.00000,-29.07780,-29.07780,-27.12470,-27.12470,0.10710,1.82480,49.31980,-7.22200,-7.22200,-2.90610,-7.22200,72.15140,-21.92420,-24.71640
2019-12-31,17.27000,17.27000,14.11600,4.48400,,-1.33000,0.55900,-0.77100,,-0.77100,-0.77100,-3.60100,-1.06500,-1.33000,0.63280,0.63280,-5.60000,-5.60000,4.25930,,100.00000,-7.70120,-7.70120,-4.46440,-20.85120,0.12240,2.54460,35.36940,-1.50140,-1.50140,-0.54640,-1.50140,74.40700,-20.5146,-22.3206
2019-09-30,15.13200,15.13200,13.21100,4.83500,,-2.91400,0.32200,-2.59200,,-2.59200,-2.59200,-2.59200,-2.75500,-2.91400,0.61690,0.61690,-4.00000,-4.00000,2.45870,,100.00000,-19.25720,-19.25720,-17.12930,-17.12930,0.12960,2.17660,41.34810,-12.55690,-12.55690,-2.22010,-12.55690,33.43310,-20.3817,-20.7526
2019-06-30,5.33200,5.33200,13.37300,4.18900,,-12.23000,0.47200,-11.75800,,-11.75800,-11.75800,-11.75800,-12.18800,-12.23000,0.61510,0.61510,-19.20000,-19.20000,2.72340,,100.00000,-229.36990,-229.36990,-220.51760,-220.51760,0.04080,0.74320,121.09150,-60.34390,-60.34390,-8.98650,-60.34390,31.64310,-18.2565,-19.7799
2019-03-31,8.54500,8.54500,14.29600,4.93200,,-10.68300,0.33500,-10.34800,,-10.34800,-10.34800,-10.34800,-10.51700,-10.68300,0.63590,0.63590,-16.00000,-16.00000,3.02220,,100.00000,-125.02050,-125.02050,-121.10010,-121.10010,0.06520,1.19880,75.07550,-34.30810,-34.30810,-7.89630,-34.30810,49.09280,-23.75800,-23.94830
2018-12-31,4.91300,4.91300,12.99800,4.56300,,-12.64800,0.80000,-11.84800,-0.16400,-11.68400,-11.68400,-11.68400,-12.48300,-12.64800,0.66350,0.66350,-17.29920,-17.29920,2.81600,,100.00000,-257.43940,-257.43940,-241.15610,-237.81800,0.03480,1.81900,49.47890,-29.25750,-29.25750,-8.26650,-29.25760,58.99800,-13.4271,-14.3105
2018-09-30,8.34500,8.34500,11.40100,4.74800,,-7.80400,1.65100,-6.15300,,-6.15300,-6.15300,-6.15300,-7.67400,-7.80400,0.67610,0.67610,-8.80000,-8.80000,3.61750,,100.00000,-93.51710,-93.51710,-73.73280,-73.73280,0.05500,1.56330,57.56980,-12.24210,-12.24210,-4.05720,-12.24210,74.25450,-21.3025,-21.7808
2018-06-30,11.69100,11.69100,9.15500,4.77900,,-2.24300,1.89200,-0.35100,-0.14800,-0.20300,-0.20300,-0.20300,-2.10200,-2.24300,0.67480,0.67480,-0.30080,-0.30080,2.99230,,100.00000,-19.18570,-19.18570,-3.00230,-1.73640,0.07220,4.56860,19.69980,-0.36700,-0.36700,-0.12530,-0.36700,81.94050,-16.9733,-17.5089
2018-03-31,4.15200,4.15200,7.93600,4.35200,,-8.13600,-0.57800,-8.71400,,-8.71400,-8.71400,-8.71400,-8.00200,-8.13600,0.62560,0.62560,-13.60000,-13.60000,3.03270,,100.00000,-195.95380,-195.95380,-209.87480,-209.87480,0.02400,1.25480,71.72690,-17.18980,-17.18980,-5.03000,-17.18980,75.14250,50.09630,49.43450
2017-12-31,18.15200,18.15200,5.27000,6.39500,,6.48700,1.14700,7.63400,0.14300,7.49100,7.49100,7.49100,6.58800,6.48700,0.54910,0.54910,14.40000,14.40000,1.96160,,100.00000,35.73710,35.73710,42.05600,41.26820,0.17470,1.16760,77.07910,65.01480,65.01470,7.21150,65.01470,20.47580,-7.5293,-9.0419
2017-09-30,3.92700,3.92700,6.25900,2.85200,,-5.18400,-1.72900,-6.91300,0.14600,-7.05900,-7.05900,-7.05900,-5.12900,-5.18400,0.55480,0.55480,-12.80000,-12.80000,2.44060,,100.00000,-132.00920,-132.00920,-176.03770,-179.75550,0.03970,1.54770,58.14970,-154.86340,-154.86330,-7.14030,-154.86330,8.15790,62.6577,62.1711
2017-06-30,1.85300,1.85300,5.39600,4.34800,,-7.89100,-1.38000,-9.27100,0.81400,-10.08500,-10.08500,-10.08500,-7.77800,-7.89100,0.54260,0.54260,-18.40000,-18.40000,2.87030,,100.00000,-425.84990,-425.84990,-500.32380,-544.25260,0.01750,0.03820,2354.19800,-108.04760,-108.04740,-9.51800,-108.04750,17.03220,-12.3993,-13.6186
2017-03-31,1.34300,1.34300,5.36000,3.98900,,-8.00600,0.01200,-7.99400,,-7.99400,-7.99400,-7.99400,-7.90600,-8.00600,0.53830,0.53830,-15.20000,-15.20000,5.13390,,100.00000,-596.12810,-596.12810,-595.23460,-595.23460,0.02170,34.42440,2.61440,-44.32290,-44.32290,-12.91960,-44.32290,33.50900,47.87480,47.54230
2016-12-31,2.72650,2.72650,6.91750,2.21390,,-6.40490,0.00840,-6.39650,,-6.55850,-6.55850,-6.55850,-6.21930,-6.40490,0.52140,0.52140,-13.60000,-13.60000,3.89890,,100.00000,-234.91460,-234.91460,-234.60550,-240.54730,0.07780,47.83310,1.88150,-25.99790,-25.99790,-18.70490,-25.99790,46.86960,-13.3666,-13.8411
2016-09-30,0.78500,0.78500,4.62200,2.34100,,-6.17800,-0.01820,-6.19620,,-6.19620,-6.19620,-6.19620,-6.08530,-6.17800,0.53830,0.53830,-11.20000,-11.20000,4.13360,,100.00000,-786.99430,-786.99430,-789.31820,-789.31820,0.01800,,,-19.68140,-19.68140,-14.17480,-19.68140,58.49180,-6.2335,-6.589
2016-06-30,1.07290,1.07290,4.50010,2.36820,,-5.79550,-0.08780,-5.88330,,-5.88330,-5.88330,-5.88330,-5.80720,-5.79550,0.51080,0.51080,-11.20000,-11.20000,6.83560,,100.00000,-540.18610,-540.18610,-548.37000,-548.37000,0.02310,,,-15.77640,-15.77640,-12.66450,-15.77640,69.28480,-12.0643,-12.1719
2016-03-31,1.24660,1.24660,3.65940,1.96790,,-4.38070,0.21960,-4.16110,,-4.16110,-4.16110,-4.16110,-4.28620,-4.38070,0.49790,0.49790,-8.00000,-8.00000,5.36600,,100.00000,-351.39730,-351.39730,-333.78050,-333.78050,0.03350,17.74360,5.07230,-15.31150,-15.31150,-11.18400,-15.31150,54.58000,4.07010,3.93370
2015-12-31,2.13950,2.13950,2.94280,1.76200,,-2.56540,-0.17280,-2.73820,0.16340,-2.90170,-2.90170,-2.90170,-2.49150,-2.56540,0.42990,0.42990,-4.80000,-4.80000,11.31580,,100.00000,-119.90840,-119.90850,-127.98730,-135.62590,0.06300,,,-9.32160,-9.32160,-8.54680,-9.32160,62.51760,-8.5444,-9.4344
2015-09-30,0.41460,0.41460,2.05170,2.24280,,-3.87990,-0.00190,-3.88180,0.04040,-3.92230,-3.92230,-3.92230,-3.80040,-3.87990,0.48610,0.48610,-8.00000,-8.00000,15.23460,,100.00000,-935.79070,-935.79070,-936.25600,-946.01000,0.01150,19.84540,4.53510,-11.65580,-11.65580,-10.83480,-11.65580,67.70780,-2.8606,-3.2126
2015-06-30,0.16020,0.16020,1.72560,1.96910,,-3.53440,0.00440,-3.53000,,-3.53000,-3.53000,-3.53000,-3.45800,-3.53440,0.36790,0.36790,-9.60000,-9.60000,4.18260,,100.00000,-2205.65500,-2205.65500,-2202.89000,-2202.89000,0.01110,10.00590,8.99470,-31.66720,-31.66720,-24.38260,-31.66720,30.30160,-8.3362,-8.4271
2015-03-31,0.21760,0.21760,1.52460,2.39430,,-3.70130,-0.00340,-3.70470,,-3.70470,-3.70470,-3.70470,-3.62320,-3.70130,0.36620,0.36620,-10.40000,-10.40000,6.64860,,100.00000,-1700.81600,-1700.81600,-1702.37900,-1702.37900,0.01300,14.28710,6.29940,-26.03950,-26.03950,-22.08530,-26.03950,,-9.81280,-9.92380
2014-12-31,3.27500,3.27500,2.35000,2.87000,,-1.94500,-2.25980,-4.17000,,-4.17000,-4.16600,-4.16600,-1.86390,-1.94500,0.24920,0.24920,-16.80000,-16.80000,5.63100,0.07060,100.45800,-59.38930,-59.38930,-127.32820,-127.20610,0.14980,,,-23.13620,-23.13620,-19.05970,-23.13620,49.19950,14.0869,13.1404
2014-09-30,0.01870,0.01870,0.92660,0.93320,,-1.84110,-0.18110,-2.02220,,-2.02220,-2.02220,-2.02220,-1.75170,-1.84110,0.14790,0.14790,-13.60000,-13.60000,,,100.00000,-9832.79800,-9832.79800,-10799.78000,-10799.78000,,,,,,,,,-11.3506,-11.4139
2014-06-30,0.69820,0.69820,1.11890,2.34920,,-2.76990,-0.11170,-2.88160,,-2.88160,-2.88160,-2.88160,-2.67600,-2.76990,0.14790,0.14790,-19.20000,-19.20000,,,100.00000,-396.70840,-396.70840,-412.70780,-412.70780,,,,,,,,,-20.2111,-20.2327
2014-03-31,1.37290,1.37290,1.22270,0.82140,,-0.67120,-0.10870,-0.77990,0.00000,-0.77990,-0.77990,-0.77990,-0.57570,-0.67120,0.14790,0.14790,-5.60000,-5.60000,,,100.00000,-48.89120,-48.89120,-56.80930,-56.80800,,,,,,,,,-2.83020,-2.84210
2013-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
