Date,research-development-expenses,selling-general-administrative-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,-0.24600,5.88300,-5.72000,1.59400,-4.12600,,-4.12600,-4.12600,-4.12600,-5.72000,-5.72000,115.39950,115.39950,-0.04000,-0.04000,86.77760,-3.40660,-3.40660,-3.36730,-3.40660,1.04920,-0.072,-0.072
2024-06-30,0.09300,7.16900,-7.77400,1.69800,-6.07600,,-6.07600,-6.07600,-6.07600,-7.77400,-7.77400,115.12700,115.12700,-0.05000,-0.05000,55.08180,-5.05100,-5.05100,-4.63860,-5.05100,1.04320,-0.0968,-0.0968
2024-03-31,12.17300,10.66200,-32.29900,2.00000,-30.29900,,-30.29900,-30.29900,-30.29900,-32.29900,-32.29900,114.69070,114.69070,-0.26000,-0.26000,18.47990,-25.15690,-25.15690,-21.02010,-25.15690,1.04840,-0.38700,-0.38700
2023-12-31,33.37200,10.46300,-62.40500,2.58300,-59.82200,,-59.69600,-59.69600,-59.69600,-62.26400,-62.40500,104.05720,104.05720,-0.52000,-0.52000,6.61460,-40.94910,-40.94910,-31.28790,-40.94910,1.27710,-0.3732,-0.3732
2023-09-30,34.15600,12.80500,-46.96100,2.68900,-44.27200,,-44.27200,-44.27200,-44.27200,-46.87500,-46.96100,113.89420,113.89420,-0.39000,-0.39000,6.65390,-22.66480,-22.66480,-17.82920,-22.66480,1.71400,-0.1968,-0.1968
2023-06-30,34.82400,12.48000,-47.30400,2.03700,-45.26700,,-45.26700,-45.26700,-45.26700,-47.21900,-47.30400,94.62580,94.62580,-0.48000,-0.48000,8.27510,-19.75750,-19.75750,-16.01280,-19.75750,2.01480,-0.2818,-0.2818
2023-03-31,30.71800,12.51300,-43.23100,2.04800,-41.18300,,-41.18300,-41.18300,-41.18300,-43.14500,-43.23100,93.30370,93.30370,-0.44000,-0.44000,8.50490,-21.27970,-21.27970,-16.87520,-21.27970,2.07150,-0.34420,-0.34420
2022-12-31,28.42000,12.01500,-40.43500,1.88400,-38.55100,-0.41500,-38.13600,-38.13600,-38.13600,-40.34900,-40.43500,76.65490,76.65490,-0.32000,-0.32000,9.98650,-16.98570,-16.98570,-13.76360,-16.98570,2.41180,-0.5525,-0.5525
2022-09-30,30.00400,12.94600,-42.95000,0.87800,-42.07200,,-42.07200,-42.07200,-42.07200,-42.86500,-42.95000,84.94880,84.94880,-0.50000,-0.50000,13.13010,-16.61440,-16.61440,-14.32490,-16.61440,2.73340,-0.1317,-0.1317
2022-06-30,31.37900,13.24500,-44.62400,0.13500,-44.48900,0.15000,-44.63900,-44.63900,-44.63900,-44.53800,-44.62400,64.46750,64.46750,-0.69000,-0.69000,8.17660,-28.22810,-28.22810,-22.32010,-28.22810,2.44080,-0.4426,-0.4426
