Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,income-from-discontinued-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,inventory-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,234.74200,75.34300,159.39900,35.21000,92.62500,,127.83500,31.56400,4.99100,36.55500,6.96400,29.59100,29.59100,,29.59100,40.25700,31.56400,171.51900,172.75300,0.17000,0.17000,3.93640,67.90390,13.44630,13.44630,15.57240,12.60580,0.11380,0.48520,1.48600,60.56490,1.88840,2.75830,1.43420,1.88840,9.13640,0.3257,0.3002
2024-06-30,239.29200,72.69300,166.59900,34.96200,93.18000,,128.14200,38.45700,3.11100,41.56800,5.35600,36.21200,36.21200,,36.21200,46.63300,38.45700,171.56800,172.73300,0.21000,0.21000,4.03490,69.62160,16.07120,16.07120,17.37120,15.13300,0.11940,0.46230,1.50210,59.91610,2.40340,3.52550,1.80690,2.40340,8.78550,0.1607,0.1346
2024-03-31,210.79700,68.86000,141.93700,37.10500,90.62800,,127.73300,14.20400,3.36200,17.56600,5.54400,12.02200,12.02200,,12.02200,22.60200,14.20400,171.69200,172.59400,0.07000,0.07000,3.51690,67.33350,6.73820,6.73820,8.33310,5.70310,0.10470,0.40300,1.52140,59.15660,0.80730,1.20460,0.59710,0.80730,8.67510,0.07900,0.05550
2023-12-31,196.67000,61.62600,135.04400,34.69300,90.37200,2.75000,122.31500,12.72910,1.62500,14.35400,3.12500,11.22900,11.22900,,11.22900,20.02210,12.72910,172.24900,173.39900,0.07000,0.06000,4.47050,68.66530,6.47230,6.47230,7.29850,5.70960,0.09750,0.37970,1.72270,52.24370,0.74620,1.12450,0.55650,0.74620,8.76900,0.0834,0.043
2023-09-30,197.24100,54.46700,142.77400,32.58000,82.30700,2.75000,112.13700,30.63700,-3.63500,27.00200,8.08600,18.91600,18.91600,,18.91600,35.90700,30.63700,172.16900,173.35400,0.11000,0.11000,4.99100,72.38560,15.53280,15.53280,13.68990,9.59030,0.09910,0.40690,1.51090,59.56560,1.27070,1.52850,0.95060,1.27070,8.64750,0.2372,0.2033
2023-06-30,242.51200,62.82900,179.68300,33.58500,83.42300,2.50000,114.50800,65.17500,2.60200,67.77700,10.30300,57.47400,57.47400,,57.47400,70.60900,65.17500,172.42900,173.62200,0.33000,0.33000,3.98080,74.09240,26.87500,26.87500,27.94790,23.69950,0.12140,0.49780,1.64010,54.87470,3.88220,4.67970,2.87640,3.88220,8.59270,0.1722,0.145
2023-03-31,201.12400,57.38400,143.74000,38.54200,83.03700,,121.57900,22.16100,4.05400,26.21500,0.60000,25.61500,25.61500,,25.61500,27.78900,22.16100,172.62400,173.90300,0.15000,0.15000,3.37500,71.46840,11.01860,11.01860,13.03430,12.73590,0.10190,0.45130,1.39520,64.50680,1.77100,2.14740,1.29760,1.77100,8.37960,0.15840,0.12680
2022-12-31,239.43300,69.86900,169.56400,37.13400,75.95100,-0.48500,115.22700,54.33710,4.89400,59.23100,3.92000,55.31100,55.31100,,55.31100,60.30610,54.33710,173.40700,174.86900,0.31000,0.32000,3.82350,70.81900,22.69410,22.69410,24.73800,23.10080,0.12230,0.57050,1.90910,47.14280,3.84530,4.67410,2.82470,3.84530,8.33220,0.3757,0.3528
2022-09-30,209.62200,57.38300,152.23900,33.95400,75.37100,-2.89100,112.21600,40.02300,-0.67800,39.34500,5.36500,33.98000,33.98000,,33.98000,46.15300,40.02300,173.25600,174.32700,0.20000,0.19000,4.88270,72.62550,19.09290,19.09290,18.76950,16.21010,0.11030,0.52860,2.17690,41.34240,2.44600,2.97470,1.78820,2.44600,8.03340,0.4812,0.456
2022-06-30,274.62800,78.14300,196.48500,33.99100,79.95000,-17.40300,131.34400,65.14100,-0.72600,64.41500,5.51400,58.90100,58.90100,,58.90100,71.27200,65.14100,173.50700,174.99300,0.34000,0.34000,3.82210,71.54590,23.71970,23.71970,23.45540,21.44760,0.14130,0.81390,1.60210,56.17510,4.23750,5.16690,3.03130,4.23750,8.01620,0.2547,0.2164
2022-03-31,282.40700,78.79000,203.61700,36.05400,80.83500,,116.88900,86.72800,0.97600,87.70400,20.37100,67.33300,67.33300,,67.33300,93.08700,86.72800,174.14600,176.66800,0.39000,0.38000,3.44840,72.10060,30.71030,30.71030,31.05590,23.84250,0.14600,0.57650,1.82120,49.41750,4.95550,6.08510,3.48130,4.95550,7.82070,0.28030,0.25430
2021-12-31,244.06500,69.08200,174.98300,35.48900,82.97400,,118.46300,56.52000,1.42700,57.94700,4.41200,53.53500,53.53500,,53.53500,62.96000,56.52000,176.46300,179.91600,0.30000,0.30000,3.39260,71.69530,23.15780,23.15780,23.74240,21.93470,0.12180,0.61080,1.87240,48.06640,3.74350,4.55040,2.67190,3.74350,8.14960,0.3102,0.2836
2021-09-30,284.84800,85.71200,199.13600,34.47600,77.11300,,111.58900,87.54700,1.03700,88.58400,9.68400,78.90000,78.90000,,78.90000,94.07400,87.54700,176.81200,180.34200,0.45000,0.44000,4.06980,69.90960,30.73460,30.73460,31.09870,27.69900,0.13900,1.05600,2.19480,41.00630,5.28480,6.37120,3.85100,5.28480,8.44440,0.3535,0.3306
2021-06-30,269.15800,68.43200,200.72600,31.30200,76.84300,0.00000,108.14500,92.58100,0.95700,93.53800,15.94000,77.59800,77.59800,,77.59800,99.01200,92.58100,176.62600,179.99100,0.44000,0.43000,3.38100,74.57550,34.39650,34.39650,34.75210,28.82990,0.13290,0.99900,1.80450,49.87450,5.42850,6.61620,3.83220,5.42850,8.08940,0.5338,0.511
