Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2022-03-31,,,,0.26280,1.91360,0.12340,,-2.05300,0.00350,-2.04950,-2.04950,-2.04950,-2.04950,-2.05300,-2.05300,10.28330,10.28330,-0.20000,-0.20000,63.56890,,,,,,,,,,-7.20790,-7.23380,-7.09490,-7.20790,2.68530,-0.18800,-0.18800
2021-12-31,,,,0.28410,2.09670,0.07760,,-2.30330,0.00190,-2.30130,-2.30130,-2.30130,-5.92730,-2.30330,-2.30330,7.03550,7.03550,-0.80000,-0.80000,144.94470,,,,,,,,,,-9.28290,-9.32110,-9.21910,-9.28290,2.54030,-0.2678,-0.2678
2021-09-30,,,,0.43960,1.76310,0.28890,,-1.91380,0.00160,-1.91230,-1.91230,-1.91230,-2.10670,-1.91380,-1.91380,6.75970,6.75970,-0.31000,-0.31000,14.88530,,,,,,,,,,-12.35210,-12.43100,-11.52490,-12.34940,2.14800,-0.1392,-0.1392
2021-06-30,,,,0.27330,1.51590,0.17780,,-1.61140,0.00130,-1.61010,-1.61010,-1.61010,-1.80180,-1.61140,-1.61140,6.59550,6.59550,-0.27000,-0.27000,12.38000,,,,,,,,,,-11.57240,-11.65360,-10.64130,-11.56960,2.10980,-0.2062,-0.2062
2021-03-31,,,,0.36950,1.78290,0.10330,,-2.04900,0.03700,-2.01200,-2.01200,-2.01200,-2.20090,-2.04900,-2.04900,6.58940,6.58940,-0.33000,-0.33000,25.03610,,,,,,,,,,-13.13140,-13.20220,-12.60690,-13.12850,2.32520,-0.95540,-0.95540
2020-12-31,,,,0.12410,1.51170,-5.32660,,-6.96240,0.00440,-6.95800,-6.95800,-6.95800,-7.14450,-6.96240,-6.96240,4.21660,4.21660,-1.39000,-1.39000,4.73670,,,,,,,,,,-40.44370,-40.63790,-31.93260,-40.43580,2.62030,-0.6575,-0.6575
2020-09-30,,,,0.26190,2.83550,0.02970,,-3.06770,0.00460,-3.06310,-3.06310,-3.06310,-3.24790,-3.06770,-3.06770,4.05360,4.05360,-0.80000,-0.80000,9.67930,,,,,,,,,,-17.42190,-19.43600,-15.78830,-17.41850,3.98120,-0.361,-0.361
2020-06-30,,,,0.11580,2.02870,,,-2.14440,0.01230,-2.13210,-2.13210,-2.13210,-2.31560,-2.14440,-2.14440,3.48660,3.48660,-0.66000,-0.66000,19.36480,,,,,,,,,,-11.73410,-12.98720,-11.18190,-11.73190,4.77120,-0.4011,-0.4011
2020-03-31,,,,0.38980,1.93680,,,-2.32660,0.06250,-2.26410,-2.26410,-2.26410,-2.44430,-2.32660,-2.32660,3.29500,3.29500,-0.74000,-0.74000,34.34060,,,,,,,,,,-12.58330,-13.98160,-12.25030,-12.58090,5.34960,-0.61300,-0.61300
2019-12-31,,,,0.45730,1.73560,0.29760,,-1.89530,0.07740,-1.81790,-1.81790,-1.81790,-1.99550,-1.89530,-1.89530,3.10760,3.10760,-0.57000,-0.57000,52.54470,,,,,,,,,,-9.46940,-10.06800,-9.29810,-9.46770,5.90440,-0.8678,-0.8678
2019-09-30,,,,0.75150,1.46360,-0.30750,,-2.52260,0.08120,-2.44140,-2.44140,-2.44140,-2.61790,-2.52260,-2.52260,3.22220,3.22220,-0.81000,-0.81000,12.63620,,,,,,,,,,-11.43620,-12.43980,-10.59720,-11.43430,6.57180,-0.3285,-0.3285
2019-06-30,,,,0.54510,1.23020,-1.65690,,-3.43220,0.12530,-3.30690,-3.30690,-3.30690,-3.48040,-3.43220,-3.43220,3.06460,3.06460,-1.14000,-1.14000,46.16490,,,,,,,,,,-14.41790,-15.57410,-14.12710,-14.41570,7.32290,-0.4133,-0.4133
2019-03-31,,,,0.92220,1.35780,-0.93980,,-3.21970,0.10920,-3.11050,-3.11050,-3.11050,-3.28270,-3.21970,-3.21970,2.88590,2.88590,-1.14000,-1.14000,35.00580,,,,,,,,,,-12.40450,-13.29670,-12.07160,-12.40270,8.32870,-0.53600,-0.53600
2018-12-31,,,,1.14530,1.14940,-1.02420,,-3.31880,0.09570,-3.22300,-3.22300,-3.22300,-3.39130,-3.31880,-3.31880,2.21970,2.21970,-0.39750,-0.39750,51.99730,,,,,,,,,,-12.46100,-13.26840,-12.23400,-12.45930,9.44620,-1.1887,-1.1887
2018-09-30,,,,0.86410,1.88940,-1.54020,,-4.29360,0.07900,-4.21460,-4.21460,-4.21460,-4.38300,-4.29360,-4.29360,2.45900,2.45900,-1.78000,-1.78000,18.69600,,,,,,,,,,-15.73180,-16.68890,-14.95440,-15.72970,10.54570,-0.6503,-0.6503
2018-06-30,,,,0.53800,1.45300,-1.58640,,-3.57750,0.06050,-3.51700,-3.51700,-3.51700,-3.68540,-3.57750,-3.57750,2.14100,2.14100,-1.68070,-1.68070,18.66460,,,,,,,,,,-12.23600,-12.91120,-11.66420,-12.23450,12.05710,-0.3483,-0.3483
2018-03-31,,,,0.91100,2.22360,-0.62800,,-3.76260,-0.95890,-4.72150,-4.72150,-4.72150,-7.49040,-3.76260,-3.76260,1.60200,1.60200,-4.68190,-4.68190,17.50240,,,,,,,,,,-17.50980,-18.51120,-16.70710,-17.50740,13.53030,-1.15600,-1.15600
2017-12-31,0.01040,0.00810,0.00230,0.81430,1.05360,,1.86790,-1.86560,-0.12280,-1.98840,-1.98840,-1.98840,-2.11800,-1.74280,-1.86560,0.86840,0.86840,-2.16090,-2.16090,4.41890,,22.46150,-17938.23000,-17938.23000,-19118.99000,-20364.93000,0.00150,1.00000,89.99990,-34.31920,-44.91390,-28.62630,-34.31320,5.46120,-1.7872,-1.7872
2017-09-30,0.01510,0.00940,0.00580,0.45870,1.14980,,1.60850,-1.60270,-0.13080,-1.73350,-1.73350,-1.73350,-1.78250,-1.47990,-1.60270,0.90260,0.90260,-1.92080,-1.92080,3.71300,,38.13430,-10588.91000,-10588.91000,-11453.15000,-11776.88000,0.00220,1.00000,90.00000,-31.31010,-41.09870,-25.24790,-31.30430,5.81770,-0.9431,-0.9431
2017-06-30,0.01440,0.00430,0.01010,0.54560,0.97130,,1.51690,-1.50680,-0.13090,-1.63770,-1.63770,-1.63770,-1.68670,-1.38400,-1.50680,0.82570,0.82570,-2.04080,-2.04080,4.72850,,70.19060,-10445.82000,-10445.82000,-11352.95000,-11692.64000,0.00210,1.32470,67.93830,-28.48730,-36.60290,-24.25410,-28.48230,6.96380,-1.5337,-1.5337
2017-03-31,0.13550,0.08540,0.05010,0.46430,1.20830,,1.67260,-1.62250,-0.12280,-1.74530,-1.74530,-1.74530,-1.79430,-1.49970,-1.62250,0.76120,0.76120,-2.40100,-2.40100,5.23910,,36.99450,-1197.56700,-1197.56700,-1288.19300,-1324.35900,0.01670,1.54640,58.20030,-25.01960,-30.23000,-21.45180,-25.01590,8.62030,-1.49780,-1.49780
2016-12-31,0.38840,0.28230,0.10620,1.30070,1.87570,,3.17640,-3.07030,-0.13950,-3.20970,-3.20970,-3.20970,-3.25770,-2.94750,-3.07030,0.39390,0.39390,-7.80310,-7.80310,3.83080,,27.32790,-790.42720,-790.42720,-826.32840,-838.66270,0.05710,1.00000,89.99980,-57.76490,-72.99650,-47.18570,-57.75430,9.38100,-5.4026,-5.4026
2016-09-30,0.08320,0.04390,0.03930,0.44190,1.10610,,1.54800,-1.50870,0.00520,-1.50350,-1.50350,-1.50350,-2.11750,-1.50870,-1.50870,0.40020,0.40020,-5.28210,-5.28210,4.12390,0.00540,47.22480,-1812.92600,-1812.92600,-1806.69900,-2544.47200,0.01330,1.00000,90.00000,-29.49980,-37.81520,-23.99990,-29.49390,11.80730,-3.0492,-3.0492
2016-06-30,0.12240,0.06210,0.06020,0.41950,1.11260,,1.53210,-1.47180,0.17460,-1.29720,-1.29720,-1.29720,-1.29720,-1.47180,-1.47180,0.35590,0.35590,-3.60140,-3.60140,1.25940,0.06170,49.22490,-1202.71000,-1202.71000,-1060.00700,-1060.00700,0.04330,1.75590,51.25670,-117.58860,-2373.57400,-45.88880,-117.58890,2.75900,-2.7038,-2.7038
2016-03-31,0.16650,0.06820,0.09830,0.58630,1.09610,,1.68240,-1.58400,1.24930,-0.33470,-0.33470,-0.33470,-0.33470,-1.58400,-1.58400,0.32750,0.32750,-1.08040,-1.08040,0.97000,-0.42950,59.03530,-951.11140,-951.11140,-200.96850,-200.96850,0.06120,1.08420,83.01440,132.83210,26.47630,-12.30820,132.83100,-0.72610,-4.01490,-4.01490
2015-12-31,0.25430,0.24230,0.01200,0.57370,2.24270,,2.81640,-2.80430,-0.43580,-3.24020,-3.24020,-3.24020,-3.24020,-2.80430,-2.80430,0.30390,0.30390,-10.80430,-10.80430,1.06300,,4.72890,-1102.72400,-1102.72400,-1274.10300,-1274.10300,0.11520,1.81910,49.47380,216.14540,132.27070,-146.78500,216.14660,-4.82980,-3.6248,-3.6248
2015-09-30,0.23420,0.11900,0.11520,0.30290,1.06720,,1.37000,-1.25490,1.08060,-0.17430,-0.17430,-0.17430,-0.17430,-1.25490,-1.25490,0.30270,0.30270,-0.60020,-0.60020,3.89410,,49.20030,-535.89550,-535.89550,-74.42290,-74.42290,0.07180,0.91820,98.02210,-22.86350,133.06690,-5.34220,-22.86360,2.47000,-2.5602,-2.5602
2015-06-30,0.29820,0.27570,0.02250,0.39470,1.10880,,1.50350,-1.48100,0.45970,-1.02140,-1.02140,-1.02140,-1.02140,-1.48100,-1.48100,0.30130,0.30130,-3.36130,-3.36130,6.95520,,7.54620,-496.71720,-496.71720,-342.55070,-342.55070,0.07400,1.20640,74.60030,-169.14030,364.87160,-25.33450,-169.13980,2.00440,-2.4128,-2.4128
2015-03-31,0.12390,0.05740,0.06650,0.21280,0.93160,,1.14450,-1.07800,1.19560,0.11770,0.11770,0.11770,0.11770,-1.07800,-1.07800,0.30130,0.30130,0.60020,0.60020,7.04760,,53.67770,-870.06730,-870.06730,94.96910,94.96910,0.02480,0.38910,231.28030,12.18540,104.36850,2.35910,12.18540,3.20520,-3.41640,-3.41640
2014-12-31,0.43180,0.26420,0.16760,0.36200,0.77050,,1.13260,-0.96500,2.37410,1.40910,1.40910,1.40910,1.40910,-0.96500,-0.96500,0.25760,0.25760,6.00240,6.00240,7.98520,,38.80770,-223.47640,-223.47640,326.32440,326.32440,0.07130,0.92050,97.77080,183.89270,-2093.60000,23.27810,183.89140,2.54350,-3.1099,-3.1099
2014-09-30,0.27520,0.13610,0.13910,0.11610,0.78360,,0.89970,-0.76060,0.85660,0.09600,0.09600,0.09600,0.09600,-0.76060,-0.76060,0.25170,0.25170,0.60020,0.60020,3.72720,,50.55170,-276.42990,-276.42990,34.88760,34.88760,0.12210,1.99350,45.14620,5.15160,9.03930,4.26110,5.15160,7.35670,-3.21,-3.21
2014-06-30,0.34910,0.23100,0.11820,0.62440,1.14940,,1.77380,-1.65570,-0.09540,-1.75110,-1.75110,-1.75110,-1.75110,-1.65570,-1.65570,0.25100,0.25100,-7.20290,-7.20290,2.69920,,33.84320,-474.23780,-474.23780,-501.57020,-501.57020,0.11360,0.85520,105.23500,-78.97660,-120.55490,-57.00080,-78.97690,8.83030,-4.5757,-4.5757
2014-03-31,0.25410,0.12500,0.12910,0.43200,1.13140,,1.56340,-1.43430,-1.97390,-3.40830,-3.40830,-3.40830,-3.40830,-1.43430,-1.43430,0.25090,0.25090,-13.80550,-13.80550,5.83920,,50.80340,-564.45120,-564.45120,-1341.26600,-1341.26600,0.05720,0.50050,179.83140,-89.52880,-110.61100,-76.69980,-89.52870,15.16890,-5.85650,-5.85650
2013-12-31,0.55740,0.33110,0.22630,0.21160,1.25810,,1.46970,-1.24340,0.27830,-0.96510,-0.96510,-0.96510,-0.96510,-1.24140,-1.24340,0.21670,0.21670,-3.60140,-3.60140,10.40320,,40.60360,-223.08120,-223.08130,-173.15020,-173.15020,0.09850,1.30870,68.77140,-27.81580,-34.83540,-17.05870,-27.81580,13.83170,-2.3487,-2.3487
2013-09-30,0.16920,0.12880,0.04040,0.55770,0.80490,,1.36260,-1.32230,0.00300,-1.31930,-1.31930,-1.31930,-1.31930,-1.32230,-1.32230,0.20920,0.20920,-6.60260,-6.60260,7.11860,,23.86910,-781.68080,-781.68080,-779.91850,-779.91850,0.06300,0.26900,334.54920,-54.92540,-76.27920,-49.14830,-54.92540,11.48250,-6.1356,-6.1356
2013-06-30,0.65890,0.36570,0.29320,0.61530,0.67210,,1.28740,-0.99420,-0.02960,-1.02380,-1.02380,-1.02380,-1.02380,-0.99420,-0.99420,0.20920,0.20920,-4.80190,-4.80190,8.06370,,44.49440,-150.89870,-150.89870,-155.39650,-155.39650,0.16110,0.99340,90.59690,-27.92570,-34.21520,-25.03740,-27.92570,17.56880,-4.496,-4.496
2013-03-31,0.51600,0.28430,0.23160,0.64330,0.88180,,1.52510,-1.29340,0.01450,-1.27890,-1.27890,-1.27890,-1.27890,-1.28730,-1.29340,0.20870,0.20870,-6.00240,-6.00240,11.11290,,44.89060,-250.69060,-250.69060,-247.87710,-247.87710,0.10280,1.23400,72.93380,-27.64230,-32.03940,-25.47510,-27.64240,22.13020,-5.08770,-5.08770
2012-12-31,0.84770,0.51890,0.32880,0.50680,0.56720,,1.07410,-0.74530,0.04740,-0.69800,-0.69800,-0.69800,-0.69800,-0.73850,-0.74530,0.20810,0.20810,-3.00120,-3.00120,14.34450,,38.78350,-87.92150,-87.92150,-82.33500,-82.33500,0.13800,1.40860,63.89290,-12.12060,-13.53200,-11.36060,-12.12060,27.59410,-6.5639,-6.4726
2012-09-30,0.59140,0.37040,0.22090,0.54270,1.08260,,1.62530,-1.40440,0.15670,-1.24760,-1.24760,-1.24760,-1.24760,-1.39730,-1.40440,0.20850,0.20850,-6.00240,-6.00240,6.16130,,37.36170,-237.48300,-237.48300,-210.98120,-210.98120,0.07980,1.40620,64.00320,-19.76620,-21.76840,-16.84560,-19.76620,30.25180,-3.4947,-3.4867
2012-06-30,0.98100,0.60780,0.37320,0.51840,1.24620,,1.76460,-1.39140,0.07640,-1.31490,-1.31490,-1.31490,-1.31490,-1.38300,-1.39140,0.20810,0.20810,-6.60260,-6.60260,8.14690,,38.04590,-141.82820,-141.82820,-134.03820,-134.03820,0.11840,1.47660,60.95220,-17.87310,-19.39140,-15.86670,-17.87310,35.31670,-6.9265,-7.0213
2012-03-31,1.25750,0.76970,0.48780,0.49670,0.94540,,1.44210,-0.95420,0.15770,-0.79650,-0.79650,-0.79650,-0.79650,-0.94810,-0.95420,0.20710,0.20710,-3.60140,-3.60140,6.45690,,38.79350,-75.88210,-75.88210,-63.34160,-63.34160,0.12830,1.35910,66.21990,-9.49090,-10.17620,-8.12390,-9.49100,40.41360,-7.29840,-7.29840
2011-12-31,0.83300,0.49000,0.34300,0.73000,1.71000,,2.44000,-2.09700,0.16000,-1.91000,-1.91000,-1.90000,-1.90000,-2.09650,-2.09700,0.21100,0.21100,-9.00360,-9.00360,5.84060,,44.41780,-251.74070,-251.74070,-229.29170,-228.09120,0.07920,3.00490,29.95080,-21.49720,-22.88810,-18.06290,-21.49720,42.69040,-1.9604,-1.9593
2011-09-30,1.65250,0.84810,0.80450,0.59110,1.43870,,2.02970,-1.22530,0.05650,-1.16880,-1.16880,-1.16880,-1.16880,-1.21970,-1.22530,0.20600,0.20600,-5.40220,-5.40220,8.20000,,48.68110,-74.14510,-74.14510,-70.72670,-70.72670,0.14100,1.99100,45.20320,-11.27080,-11.27080,-9.97260,-11.27080,,-2.8355,-2.8338
2011-06-30,2.29250,1.57560,0.71690,0.53920,1.48050,,2.01970,-1.30270,0.14080,-1.16190,-1.16190,-1.16190,-1.16190,-1.29610,-1.30270,0.20600,0.20600,-5.40220,-5.40220,8.54420,,31.27200,-56.82330,-56.82330,-50.68300,-50.68300,0.17420,1.77720,50.64230,-10.46790,-10.45840,-8.82930,-10.46790,,-8.1533,-8.1534
2011-03-31,1.57810,1.09300,0.48510,0.49960,1.72720,,2.22680,-1.74180,0.10300,-1.63870,-1.63870,-1.63870,-1.63870,-1.73450,-1.74180,0.20580,0.20580,-7.80310,-7.80310,7.44210,,30.73800,-110.37050,-110.37050,-103.84290,-103.84290,0.10720,1.75340,51.32770,-13.79410,-13.78250,-11.13270,-13.78250,,-6.24510,-6.25260
2010-12-31,1.17500,0.93000,0.24500,0.69000,1.82000,,2.51000,-2.26500,0.04100,-2.21000,-2.21000,-2.20400,-2.20400,-2.25500,-2.26500,0.20400,0.20400,-10.80400,-10.80400,7.08650,,22.97870,-192.76600,-192.76600,-188.08510,-187.57450,0.07670,1.18690,75.82980,-16.79880,-16.78600,-14.39580,-16.79880,,-2.6455,-2.6553
2010-09-30,2.05000,1.25000,0.80000,0.56000,1.94000,,2.50000,-1.70000,0.03000,-1.67000,-1.67000,-1.67100,-1.67100,-1.70000,-1.70000,0.19500,0.19500,-8.40340,-8.40340,9.85280,,38.53660,-82.92680,-82.92680,-81.46340,-81.51220,0.12390,1.61420,55.75610,-11.20720,-11.19970,-10.09670,-11.20720,,-7.1166,-7.1166
2010-06-30,1.96200,1.26000,0.70200,0.15000,2.54000,,2.69000,-1.98800,-0.00100,-2.00000,-2.00000,-2.00400,-2.00400,-1.98500,-1.98800,0.17160,0.17160,-11.40500,-11.40500,2.77710,,35.16820,-101.32520,-101.32520,-101.93680,-102.14070,0.36810,1.73630,51.83490,-56.13450,-55.97770,-37.59850,-56.13450,,4.2148,4.2148
2010-03-31,2.39900,1.50000,0.89900,0.20000,2.37000,,2.57000,-1.67100,,-1.68000,-1.68000,-1.68400,-1.68400,-1.66400,-1.67100,0.16940,0.16940,-10.20400,-10.20400,3.80250,,37.09880,-69.65400,-69.65400,-70.02920,-70.19590,0.37370,0.90870,99.04130,-34.72170,-34.72170,-26.23050,-34.72170,,-6.02130,-6.02130
2009-12-31,2.13200,1.31000,0.82200,0.31000,2.61000,,2.92000,-2.09800,-0.00600,-2.09000,-2.09000,-2.07700,-2.07700,-2.09800,-2.09800,0.16930,0.16930,-12.00500,-12.00500,3.08800,,38.93060,-98.40520,-98.40520,-98.03000,-97.42030,0.29900,0.88100,102.15760,-41.79080,-41.79070,-29.13040,-41.79070,,-5.2394,-5.2394
2009-09-30,2.01000,1.29000,0.72000,0.32000,2.68000,,3.00000,-2.28000,0.00400,-2.28000,-2.28000,-2.28700,-2.28700,-2.27000,-2.28000,0.16900,0.16900,-13.80600,-13.80600,3.58170,,35.82090,-113.43280,-113.43280,-113.43280,-113.78110,0.25380,0.97100,92.68660,-39.09400,-39.16100,-28.87630,-39.16100,,-6.1205,-6.1199
2009-06-30,3.43000,1.88000,1.55000,0.55000,2.34000,,2.89000,-1.34000,0.01000,-1.34000,-1.34000,-1.34700,-1.34700,-1.33600,-1.34000,0.16750,0.16750,0.00000,0.00000,2.78790,,44.89800,-39.06710,-39.06710,-39.06710,-39.27110,0.32390,0.88170,102.07000,-19.35340,-19.35350,-12.71960,-19.38130,,3.2878,3.2281
2009-03-31,2.94400,1.74000,1.20400,0.45000,2.26000,,2.71000,-1.50600,-0.00100,-1.52000,-1.52000,-1.52200,-1.52200,-1.50000,-1.50600,0.16740,0.16740,-18.02500,-18.02500,2.86440,,40.42120,-51.15490,-51.15490,-51.63040,-51.69840,0.27770,0.68310,131.75950,-21.55810,-21.55810,-14.35850,-21.58870,,-7.04900,-7.04900
