Date,revenue,cost-goods-sold,gross-profit,research-development-expenses,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,,,,1.29860,1.67620,,,-2.97480,0.31860,-2.65620,-2.65620,-2.65620,-2.65620,-2.97480,-2.97480,14.18980,14.18980,-0.19000,-0.19000,23.31810,,,,,,,,,,-10.03800,-10.07950,-9.61660,-10.03800,1.73220,-0.1321,-0.1321
2024-06-30,,,,0.90960,1.79260,,,-2.70220,0.32760,-2.37460,-2.37460,-2.37460,-2.37460,-2.70220,-2.70220,13.93000,13.93000,-0.17000,-0.17000,29.34050,,,,,,,,,,-8.78780,-8.82330,-8.49450,-8.78780,1.85200,-0.1282,-0.1282
2024-03-31,,,,1.02380,2.15770,,,-3.18160,0.36200,-2.81960,-2.81960,-2.81960,-2.81960,-3.18160,-3.18160,13.49200,13.49200,-0.21000,-0.21000,31.23610,,,,,,,,,,-10.06080,-10.10010,-9.74530,-10.06080,1.97500,-0.13920,-0.13920
2023-12-31,,,,0.55520,2.07790,,,-2.63310,0.26310,-2.37000,-2.37000,-2.37000,-2.37000,-2.63310,-2.63310,12.09960,12.09960,-0.19000,-0.19000,59.23090,,,,,,,,,,-8.19760,-8.22860,-8.06200,-8.19760,2.11060,-0.1976,-0.1976
2023-09-30,,,,0.55280,1.60910,,,-2.16190,0.32210,-1.83980,-1.83980,-1.83980,-1.83980,-2.16190,-2.16190,12.25230,12.25230,-0.15000,-0.15000,33.67630,,,,,,,,,,-6.29910,-6.32260,-6.11570,-6.29910,2.25820,-0.0826,-0.0826
2023-06-30,,,,0.36690,1.59680,,,-1.96370,0.29140,-1.67220,-1.67220,-1.67220,-1.67220,-1.96370,-1.96370,11.77360,11.77360,-0.14000,-0.14000,48.18410,,,,,,,,,,-5.85410,-5.87640,-5.73510,-5.85410,2.28790,-0.1204,-0.1204
2023-03-31,,,,0.44800,1.86590,0.03100,,-2.28290,0.25640,-2.02660,-2.02660,-2.02660,-2.02660,-2.28290,-2.28290,11.67370,11.67370,-0.17000,-0.17000,49.38510,,,,,,,,,,-7.15550,-7.18290,-7.01290,-7.15550,2.33560,-0.13530,-0.13530
2022-12-31,,,,0.06860,2.11290,0.09440,,-2.08710,0.17900,-1.90820,-1.90820,-1.90820,-1.90820,-2.08710,-2.08710,10.83460,10.83460,-0.17000,-0.17000,82.82240,,,,,,,,,,-6.55320,-6.57760,-6.47520,-6.55310,2.44690,-0.254,-0.254
2022-09-30,,,,0.17290,2.02390,0.07130,,-2.12550,0.08790,-2.03750,-2.03750,-2.03750,-2.03750,-2.12550,-2.12550,11.08570,11.08570,-0.18000,-0.18000,26.53800,,,,,,,,,,-6.67870,-6.70240,-6.42790,-6.67870,2.64370,-0.0786,-0.0786
2022-06-30,,,,0.16550,1.43970,0.08350,,-1.52170,0.01900,-1.50260,-1.50260,-1.50260,-1.50260,-1.52170,-1.52170,10.52320,10.52320,-0.14000,-0.14000,61.48710,,,,,,,,,,-5.12800,-5.14700,-5.04490,-5.12800,2.66170,-0.1036,-0.1036
