Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,long-term-debt-capital,debt-equity-ratio,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-12-31,1471.77300,1108.22700,363.54610,189.18500,191.91500,171.63100,95.33100,266.96200,-19.41000,286.37200,293.63500,286.07400,173.22400,171.63070,84.16500,85.17600,3.44000,3.38000,0.21330,0.27120,11.66150,11.66150,18.13880,19.43740,0.04530,5.30090,5.02210,0.90290,3.79340,73.38020,4.138,4.138
2024-09-30,1610.82100,1106.80700,504.01400,165.20300,167.93200,336.08200,-109.05300,227.02900,47.92200,179.10700,180.72800,173.16500,341.86400,336.08200,83.93600,85.00000,2.06000,2.04000,0.19970,0.24950,20.86400,20.86400,14.09400,10.75010,0.04920,3.26620,3.11400,0.55230,2.37760,72.72320,6.9468,7.0515
2024-06-30,1450.50000,1031.07900,419.42100,148.44100,151.17000,268.25100,-23.64000,244.61100,40.54700,204.06400,211.96400,204.40100,272.12700,268.25100,84.47500,85.32600,2.42000,2.40000,0.21160,0.26840,18.49370,18.49370,16.86390,14.09180,0.04520,4.14850,3.94190,0.66080,2.95280,67.23140,6.0913,6.0823
2024-03-31,1424.55700,982.92500,441.63200,163.37300,166.10200,275.52990,-5.89400,269.63600,-124.65400,394.29000,395.45900,387.89600,281.15690,275.52990,84.87900,85.69300,4.57000,4.53000,0.25590,0.34390,19.34150,19.34150,18.92770,27.22920,0.04490,7.98080,7.57560,1.24520,5.34510,65.00590,4.48270,4.38700
2023-12-31,1481.30800,1406.18100,75.12710,169.84900,172.57900,-97.45190,-88.21500,-185.66700,-41.76200,-143.90500,-142.57700,-150.13800,-92.78990,-97.45150,85.14200,86.01200,-1.77000,-1.76000,0.21310,0.27090,-6.57880,-6.57880,-12.53400,-10.13550,0.04900,-3.02510,-2.86560,-0.47130,-2.13160,61.71230,2.9132,2.9132
2023-09-30,1433.99500,1047.32900,386.66600,179.28300,182.01200,204.65410,5.12800,209.78200,24.62400,185.15800,188.09800,180.53500,230.11110,204.65410,85.22300,86.10800,2.12000,2.10000,0.22810,0.29550,14.27160,14.27160,14.62920,12.58970,0.04870,4.19560,3.96600,0.63820,2.88480,59.05580,4.2574,4.3458
2023-06-30,1383.72800,989.52200,394.20600,168.50300,171.23200,222.97400,-46.84200,176.13200,27.55800,148.57400,150.67400,143.11100,235.69400,222.97400,85.20700,85.81200,1.68000,1.67000,0.22770,0.29490,16.11400,16.11400,12.72880,10.34240,0.04720,3.37010,3.18700,0.51400,2.31750,58.92040,4.6249,4.4747
2023-03-31,1344.35700,951.01500,393.34200,166.81100,169.54000,223.80200,-25.60400,198.19800,15.89600,182.30200,180.09700,172.53400,236.34800,223.80200,84.86400,85.85300,2.03000,2.01000,0.22950,0.29780,16.64750,16.64750,14.74300,12.83390,0.04710,4.08360,3.86110,0.63050,2.79770,58.23030,2.80200,2.86380
2022-12-31,1447.76000,1073.78500,373.97470,187.47100,190.20100,183.77420,-104.89900,78.87500,27.34100,51.53400,48.48900,40.92800,200.81320,183.77430,84.86400,85.66900,0.48000,0.48000,0.23350,0.30460,12.69370,12.69370,5.44810,2.82700,0.05230,1.18560,1.11690,0.17520,0.80100,54.80120,-1.5163,-1.2205
2022-09-30,1227.67700,1182.42200,45.25500,158.24500,160.97400,-115.71900,113.53200,-2.18700,-0.36300,-1.82400,-9.38400,-16.94700,-89.27200,-115.71900,84.66000,84.66000,-0.20000,-0.20000,0.25310,0.33890,-9.42590,-9.42590,-0.17810,-1.38040,0.04530,-0.24740,-0.23220,-0.03460,-0.16140,51.30070,4.8468,4.7495
2022-06-30,1198.21600,1027.16900,171.04700,165.58600,168.31500,2.73210,26.03100,28.76300,-4.96500,33.72800,34.77800,27.21500,27.06210,2.73210,85.17300,85.84300,0.32000,0.32000,0.24170,0.31870,0.22800,0.22800,2.40050,2.27130,0.04340,0.83750,0.79070,0.12590,0.56080,55.55050,4.4313,4.3544
2022-03-31,1261.78600,981.05100,280.73500,169.04100,171.77000,108.96510,28.70900,137.67400,0.02400,137.65000,149.20000,141.63700,135.57510,108.96510,84.96100,85.80800,1.67000,1.65000,0.21930,0.28090,8.63580,8.63580,10.91100,11.22510,0.04540,3.26440,3.09950,0.53650,2.27470,60.04670,1.55360,1.43200
2021-12-31,1393.32600,968.40390,424.92220,184.48400,188.51510,236.40690,-20.17400,216.23300,12.55700,203.67600,204.88800,197.32700,264.42580,236.40690,84.70700,85.29100,2.33000,2.31000,0.19880,0.24810,16.96710,16.96710,15.51920,14.16230,0.05090,4.21520,4.01650,0.74860,3.03400,63.82450,2.2049,2.1106
2021-09-30,1337.36300,1143.08100,194.28200,157.96000,162.13700,32.14500,12.07800,44.22300,1.18600,43.03700,54.94800,47.38500,58.34000,32.14500,84.77100,85.33600,0.56000,0.56000,0.22510,0.29050,2.40360,2.40360,3.30670,3.54320,0.04790,1.14830,1.09400,0.19670,0.79810,62.93340,5.5639,5.3696
2021-06-30,1340.72300,885.54300,455.18000,162.45200,166.80400,288.37600,-34.83700,253.53900,27.86500,225.67400,235.47300,227.91000,316.74300,288.37600,84.76400,85.26700,2.69000,2.67000,0.21960,0.28130,21.50900,21.50900,18.91060,16.99900,0.04860,4.86540,4.64020,0.85370,3.40970,63.58320,4.5653,4.473
2021-03-31,1250.31300,933.58900,316.72400,158.40800,162.12600,154.59800,-19.68400,134.91400,20.77600,114.13800,123.30000,115.73700,178.68700,154.59800,84.51400,84.96500,1.37000,1.36000,0.24720,0.32840,12.36480,12.36480,10.79040,9.25660,0.04620,2.66510,2.53770,0.45520,1.79310,61.07620,1.70830,1.63510
2020-12-31,1277.41300,1049.04200,228.37120,143.25500,147.10900,81.26210,-94.77500,-13.51300,-6.29100,-7.22200,2.74500,-4.81600,109.84810,81.26210,84.26200,84.26200,-0.05000,-0.05000,0.21080,0.26710,6.36150,6.36150,-1.05780,-0.37700,0.04940,0.05780,0.05520,0.01060,0.04090,62.78020,-0.0604,-0.1565
2020-09-30,1250.31700,1110.24100,140.07600,138.82300,142.68900,-2.61290,-77.72100,-80.33400,-12.05600,-68.27800,-65.38200,-72.94500,24.21610,-2.61290,84.30800,84.30800,-0.87000,-0.87000,0.25130,0.33560,-0.20900,-0.20900,-6.42510,-5.83410,0.04730,-1.38640,-1.32310,-0.24720,-0.92960,62.45950,2.8841,2.7868
2020-06-30,1204.08200,904.76300,299.31900,140.65200,144.79200,154.52700,-30.69600,123.83100,10.89300,112.93800,120.04000,112.47700,179.17100,154.52700,84.30300,84.60000,1.33000,1.33000,0.23850,0.31320,12.83360,12.83360,10.28430,9.34130,0.04570,2.52830,2.41490,0.45540,1.72540,62.84040,1.8444,1.6682
2020-03-31,1110.14200,1146.72300,-36.58110,157.06000,161.72900,-198.30990,39.19300,-159.11700,-4.86700,-154.25000,-177.82700,-185.39000,-174.53990,-198.30990,84.09400,84.09400,-2.20000,-2.20000,0.28530,0.39930,-17.86350,-17.86350,-14.33300,-16.69970,0.04280,-4.14560,-3.94320,-0.68530,-2.62600,57.41040,-0.59150,-0.75190
2019-12-31,1337.38000,1119.16900,218.21080,138.82300,143.73000,74.48040,-79.46300,-4.98200,-0.15800,-4.82400,-0.75200,-9.89600,99.68430,74.48040,83.89400,84.47300,-0.11000,-0.12000,0.24930,0.33210,5.56910,5.56910,-0.37250,-0.74000,0.05220,-0.01580,-0.01440,-0.00290,-0.01020,66.03230,-0.4996,-0.7524
2019-09-30,1289.13000,1110.93900,178.19100,155.52200,162.72100,15.47010,30.28600,45.75600,8.14700,37.60900,38.40100,27.74500,40.38210,15.47010,83.94700,84.58200,0.33000,0.33000,0.20920,0.26460,1.20000,1.20000,3.54940,2.15220,0.05060,0.79820,0.73140,0.15060,0.54360,66.54040,3.0519,2.9457
2019-06-30,1285.70600,914.82600,370.88000,165.39500,175.50100,195.37900,-6.50200,188.87700,14.46900,174.40800,177.04300,166.38700,223.03500,195.37900,83.94100,84.40100,1.98000,1.97000,0.21990,0.28190,15.19620,15.19620,14.69050,12.94130,0.04970,3.69500,3.38610,0.68440,2.48120,66.30940,0.4881,0.2431
2019-03-31,1261.21100,924.44600,336.76500,175.09100,191.19800,145.56700,-37.77100,107.79600,1.23400,106.56200,108.78100,98.12500,188.24500,145.56700,83.72500,84.27200,1.17000,1.16000,0.22080,0.28340,11.54180,11.54180,8.54700,7.78020,0.04930,2.40390,2.19340,0.42560,1.59920,63.14670,-0.68460,-0.82760
2018-12-31,1246.74100,1286.65100,-39.91040,137.44500,165.49200,-205.40260,-4.25700,-209.65900,-25.92100,-183.73800,-187.79000,-198.44700,-201.62860,-205.40260,83.50100,84.00700,-2.37530,-2.37530,0.22420,0.28900,-16.47520,-16.47520,-16.81660,-15.91730,0.05170,-4.41330,-4.00700,-0.77820,-2.89630,60.17840,-1.4313,-1.529
2018-09-30,1329.34300,1043.27300,286.07010,154.89400,195.66500,90.40500,-41.50200,48.90300,-3.52500,52.42800,54.09500,43.43900,144.58200,90.40500,83.55800,84.10700,0.52000,0.52000,0.23260,0.30310,6.80070,6.80070,3.67870,3.26770,0.05350,1.20280,1.09900,0.21770,0.78740,63.09790,2.065,2.0192
