Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,225.50400,65.20000,160.30400,79.26600,-8.51200,87.77800,72.52600,-5.05700,67.46900,14.29700,53.17200,53.55700,53.55700,72.52600,72.52600,47.64300,48.72300,1.12000,1.10000,2.16380,0.06290,71.08700,32.16170,32.16170,29.91920,23.74990,0.13620,0.92570,97.21900,5.44970,5.47850,3.23440,5.44970,,0,0
2024-06-30,188.87500,57.11600,131.75900,49.91100,-18.13100,68.04200,63.71700,5.64200,69.35900,12.32500,57.03400,57.14700,57.14700,63.71700,63.71700,48.98600,50.07700,1.16000,1.14000,2.00750,0.07130,69.75990,33.73500,33.73500,36.72220,30.25650,0.11460,0.90850,99.06650,6.24100,6.27550,3.46800,6.24100,,0,0
2024-03-31,167.30300,59.07600,108.22700,39.72800,-16.34800,56.07600,52.15100,6.86600,59.01700,9.00600,50.01100,50.29400,50.29400,52.15100,52.15100,48.96500,49.48200,1.03000,1.01000,1.85590,0.06980,64.68920,31.17160,31.17160,35.27550,30.06160,0.09950,0.75450,119.27990,5.83590,5.87080,2.99160,5.83590,,0.00000,
2023-12-31,172.07320,108.39320,63.68000,7.41120,-18.95960,26.37080,37.30930,-6.26410,31.04520,5.30860,25.73670,27.65440,27.65440,37.30930,37.30930,48.01900,48.47200,0.57000,0.58000,1.81070,0.09660,37.00750,21.68220,21.68220,18.04190,16.07130,0.10490,0.73610,122.25800,3.35800,3.37920,1.68540,3.35800,16.83260,2.3657,2.3411
2023-09-30,191.45700,111.16700,80.29000,7.12100,-13.58200,20.70300,59.58700,-2.36800,57.21900,10.16600,47.05300,47.58700,47.58700,59.58700,59.58700,47.96800,49.51900,1.00000,0.96000,1.90030,0.09750,41.93630,31.12290,31.12290,29.88610,24.85520,0.12520,0.80230,112.17080,6.07260,6.11160,3.11070,6.07260,,0,0
2023-06-30,168.30300,92.35900,75.94400,6.56000,-8.05700,14.61700,61.32700,-0.11100,61.21600,12.00400,49.21200,50.51300,50.51300,61.32700,61.32700,47.93500,48.97700,1.05000,1.03000,1.91850,0.12320,45.12340,36.43850,36.43850,36.37250,30.01310,0.11720,0.81710,110.14560,6.81190,6.85770,3.51620,6.81190,,0,0
2023-03-31,146.32900,92.29000,54.03900,6.94400,-2.82500,9.76900,44.27000,3.87000,48.14000,7.65400,40.48600,41.40200,41.40200,44.27000,44.27000,48.14200,48.70800,0.86000,0.85000,2.01260,0.09180,36.92980,30.25370,30.25370,32.89850,28.29380,0.10770,0.79030,113.88560,5.63810,5.67880,3.04820,5.63810,,0.00000,
2022-12-31,127.61020,79.51660,48.09370,5.88440,-6.00940,11.89380,36.19990,15.59560,51.79550,8.77960,43.01590,38.16840,38.16840,36.19990,36.19990,52.74100,53.73400,0.76000,0.80000,1.99080,0.01480,37.68790,28.36750,28.36750,40.58880,29.91020,0.09960,0.75750,118.81120,5.53840,5.58130,2.97880,5.53840,14.36160,0.8707,0.8544
2022-09-30,125.76300,75.97500,49.78800,6.51100,-1.04400,7.55500,42.23300,0.34500,42.57800,12.80700,29.77100,29.76200,29.76200,42.23300,42.23300,53.14600,55.11500,0.56000,0.54000,1.91080,0.01990,39.58880,33.58140,33.58140,33.85570,23.66520,0.10320,0.97000,92.77880,4.67330,4.71190,2.44110,4.67330,,0,0
2022-06-30,123.07100,79.58400,43.48700,6.82500,-7.72500,14.55000,28.93700,3.93800,32.87500,6.30700,26.56800,27.72300,27.72300,28.93700,28.93700,55.32800,56.58600,0.50000,0.49000,1.88810,0.00460,35.33490,23.51250,23.51250,26.71220,22.52600,0.09810,1.12800,79.78830,4.25760,4.29340,2.20890,4.25760,,0,0
2022-03-31,140.13500,73.27300,66.86200,7.88800,-9.42600,17.31400,49.54800,0.58800,50.13600,28.55800,21.57800,22.07500,22.07500,49.54800,49.54800,55.30080,56.60050,0.40000,0.39000,1.82460,0.02890,47.71260,35.35730,35.35730,35.77690,15.75270,0.10780,1.19600,75.24970,3.39010,3.42020,1.69890,3.39010,,0.00000,
2021-12-31,136.66560,64.89450,71.77110,10.97690,-9.42580,20.40260,51.36840,-4.39980,46.96860,24.67570,22.29290,22.08130,22.08140,51.36840,51.36840,54.87200,56.14700,0.39600,0.36600,1.97550,0.04190,52.51580,37.58700,37.58690,34.36750,16.15720,0.11860,1.16510,77.24430,3.53830,3.57140,1.91640,3.53830,11.37700,1.2554,1.2487
2021-09-30,149.66500,75.09000,74.57500,6.90900,-3.95000,10.85900,63.71600,-1.98000,61.73600,18.54000,43.19600,43.43600,43.43600,63.71600,63.71600,55.41700,57.05700,0.78000,0.76000,1.99320,0.01960,49.82800,42.57240,42.57240,41.24950,29.02220,0.13370,1.08540,82.91740,7.32630,7.39770,3.88090,7.32630,,0,0
2021-06-30,144.40500,80.67300,63.73200,7.67900,-3.74600,11.42500,52.30700,-8.96000,43.34700,8.96600,34.38100,34.57400,34.57400,52.30700,52.30700,55.13100,56.61600,0.62000,0.61000,1.84580,0.04960,44.13420,36.22240,36.22240,30.01770,23.94240,0.12980,1.27180,70.76470,6.33030,6.39680,3.10840,6.33030,,0,0
2021-03-31,138.33600,87.38100,50.95500,7.18300,-5.43200,12.61500,38.34000,-3.52900,34.81100,5.68100,29.13000,29.43300,29.43300,38.34000,38.34000,54.11100,55.54100,0.54400,0.54400,1.77510,0.03890,36.83420,27.71510,27.71510,25.16410,21.27650,0.12930,1.53950,58.46070,5.85130,5.91770,2.75210,5.85130,,0.00000,
2020-12-31,124.21750,104.65630,19.56120,2.80790,-154.36480,157.17260,-137.61150,-4.84630,-142.45780,-35.66840,-106.78940,-107.59250,-107.59280,-137.61150,-137.61150,53.53900,53.53900,-1.99990,-1.99990,1.60540,0.11400,15.74760,-110.78270,-110.78270,-114.68420,-86.61650,0.10810,1.96110,45.89360,-22.82290,-23.10410,-9.36300,-22.82290,8.75390,-1.9443,-1.9595
2020-09-30,82.45100,82.66200,-0.21100,5.84200,-8.88500,14.72700,-14.93800,-1.00200,-15.94000,0.23200,-16.17200,-16.64700,-16.64600,-14.93800,-14.93800,53.54400,54.51700,-0.31000,-0.31000,1.76000,0.08590,-0.25590,-18.11740,-18.11740,-19.33270,-20.18900,0.06880,1.82730,49.25440,-3.01140,-3.04200,-1.38890,-3.01140,,0,0
2020-06-30,54.89900,70.30300,-15.40400,12.76300,-20.17100,32.93400,-48.33800,-6.55000,-54.88800,-6.13400,-48.75400,-48.63500,-48.64200,-48.33800,-48.33800,53.46230,54.45770,-0.90010,-0.90010,1.82000,0.08770,-28.05880,-88.04900,-88.04900,-99.98000,-88.60270,0.04770,0.18530,485.68590,-8.82860,-8.91610,-4.22950,-8.82860,,0,0
2020-03-31,74.51800,59.85100,14.66700,11.51500,-21.47000,32.98500,-18.31800,-13.84200,-32.16000,-4.38800,-27.77200,-27.65600,-27.65600,-18.31800,-18.31800,53.43930,54.47340,-0.51010,-0.51010,2.01310,0.08090,19.68250,-24.58200,-24.58200,-43.15740,-37.11320,0.06650,1.19910,75.05760,-4.65280,-4.69150,-2.46710,-4.65280,,0.00000,
2019-12-31,88.68860,59.39450,29.29410,10.36940,-14.89390,25.26330,4.03080,5.34970,9.38050,-7.03240,16.41280,16.76450,16.76580,4.03080,4.03080,52.28780,53.28580,0.27000,0.36000,1.93360,,33.03030,4.54490,4.54490,10.57690,18.90410,0.07460,0.80070,112.40730,2.67250,2.69420,1.40940,2.67250,11.73850,1.6189,1.5784
2019-09-30,121.26400,63.86600,57.39800,12.17700,-12.39000,24.56700,32.83100,-12.68100,20.15000,2.86100,17.28900,18.40600,18.40600,32.83100,32.83100,52.72590,53.84510,0.36000,0.33000,2.11180,0.09510,47.33310,27.07400,27.07400,16.61660,15.17850,0.11440,0.74310,121.11010,3.13500,3.16010,1.73590,3.13500,11.04690,0,0
2019-06-30,117.92900,61.42100,56.50800,11.99100,-6.23900,18.23000,38.27800,-11.09700,27.18100,-16.56600,43.74700,44.22000,44.22000,38.27800,38.27800,52.13750,54.18040,0.84010,0.81010,2.28340,0.09950,47.91700,32.45850,32.45850,23.04860,37.49710,0.11890,0.68410,131.56760,7.55160,7.61280,4.45800,7.55160,11.20420,0,0
2019-03-31,115.68900,50.14600,65.54300,12.95600,-11.00700,23.96300,41.58000,-2.92600,38.65400,7.36400,31.29000,31.85600,31.82600,41.58000,41.58000,50.99910,53.77180,0.63010,0.60010,2.53820,0.10980,56.65450,35.94120,35.94120,33.41200,27.51000,0.13500,0.61280,146.87570,5.85260,5.90100,3.71660,5.85260,10.51520,0.00000,
2018-09-30,120.77100,41.43400,79.33700,16.44100,-22.93200,39.37300,39.96400,-6.42800,33.53600,5.01500,28.52100,28.81400,28.81500,39.96400,39.96400,47.07530,50.64560,0.60010,0.54010,3.73540,,65.69210,33.09070,33.09070,27.76830,23.85920,0.19770,0.57190,157.38360,6.18820,6.24280,4.71770,6.18820,9.24910,0,0
2018-06-30,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,,
2017-12-31,,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,,0,0
