Date,revenue,gross-profit,selling-general-administrative-expenses,other-operating-income-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,long-term-debt-capital,debt-equity-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,9617.00000,9617.00000,2776.00000,-218.00000,6349.00000,23.00000,6372.00000,1054.00000,5318.00000,5318.00000,5318.00000,6623.00000,6349.00000,1834.00000,2242.00000,2.87000,2.47000,1.28340,0.34740,0.53240,100.00000,66.01850,66.01850,66.25770,55.29790,0.10180,1.37090,65.64940,13.95580,-79.45620,5.62690,8.86730,20.95130,2.9378,2.8024
2024-06-30,8900.00000,8900.00000,2485.00000,-213.00000,5938.00000,51.00000,5989.00000,1117.00000,4872.00000,4872.00000,4872.00000,6202.00000,5938.00000,1810.00000,2229.00000,2.69000,2.18000,1.37270,0.34150,0.51860,100.00000,66.71910,66.71910,67.29210,54.74160,0.09780,1.91440,47.01240,12.71930,-91.40710,5.35150,8.07550,21.70980,2.4053,2.219
2024-03-31,8775.00000,8775.00000,2553.00000,-619.00000,5354.00000,159.00000,5513.00000,850.00000,4663.00000,4663.00000,4663.00000,5603.00000,5354.00000,1833.00000,2293.00000,2.54000,2.03000,1.39810,0.33730,0.50890,100.00000,61.01430,61.01430,62.82620,53.13960,0.09500,1.50510,59.79490,11.99240,-98.64610,5.04660,7.63330,22.14720,1.9832,1.8603
2023-12-31,8634.00000,8634.00000,2243.00000,-190.00000,5954.00000,88.00000,6042.00000,1152.00000,4890.00000,4890.00000,4890.00000,6201.00000,5954.00000,1838.00000,2299.00000,2.66000,2.13000,1.44610,0.34260,0.52110,100.00000,68.95990,68.95990,69.97920,56.63660,0.09450,1.71620,52.44270,12.82860,-95.39600,5.34960,8.09120,21.64110,1.57200,1.45590
2023-09-30,8609.00000,8609.00000,2486.00000,-326.00000,5550.00000,86.00000,5636.00000,955.00000,4681.00000,4681.00000,4681.00000,5797.00000,5550.00000,1873.00000,2340.00000,2.51000,2.02000,1.45170,0.34570,0.52830,100.00000,64.46740,64.46740,65.46640,54.37330,0.09510,1.92420,46.77200,12.63940,-87.20190,5.17240,7.90760,20.94810,2.9476,2.818
2023-06-30,8123.00000,8123.00000,2225.00000,-639.00000,5024.00000,122.00000,5146.00000,990.00000,4156.00000,4156.00000,4156.00000,5259.00000,5024.00000,1869.00000,2335.00000,2.22000,1.78000,1.49180,0.34530,0.52740,100.00000,61.84910,61.84910,63.35100,51.16340,0.09100,1.71520,52.47320,11.17350,-73.20770,4.65740,6.98010,20.93500,2.5017,2.3742
2023-03-31,7985.00000,7985.00000,2236.00000,-179.00000,5336.00000,-58.00000,5278.00000,1021.00000,4257.00000,4257.00000,4257.00000,5570.00000,5336.00000,1879.00000,2348.00000,2.27000,1.81000,1.50060,0.34820,0.53430,100.00000,66.82530,66.82530,66.09890,53.31250,0.09200,1.96480,45.80590,11.60580,-69.93590,4.90690,7.19440,20.57900,1.6508,1.5609
2022-12-31,7936.00000,7936.00000,2100.00000,-519.00000,5090.00000,-113.00000,4977.00000,798.00000,4179.00000,4179.00000,4179.00000,5317.00000,5090.00000,1884.00000,2357.00000,2.22000,1.77000,1.43950,0.35680,0.55480,100.00000,64.13810,64.13810,62.71420,52.65880,0.09290,1.87170,48.08470,11.95950,-56.41960,4.89420,7.27910,19.63000,1.76960,1.66400
2022-09-30,7787.00000,7787.00000,2286.00000,-188.00000,5087.00000,-219.00000,4868.00000,928.00000,3940.00000,3940.00000,3940.00000,5313.00000,5087.00000,1906.00000,2391.00000,2.08000,1.67000,1.44850,0.36210,0.63100,100.00000,65.32680,65.32680,62.51450,50.59720,0.09110,1.97040,45.67610,11.84710,-54.18790,4.60810,7.06330,18.82590,2.4416,2.319
2022-06-30,7275.00000,7275.00000,2002.00000,-895.00000,4148.00000,-319.00000,3829.00000,418.00000,3411.00000,3411.00000,3411.00000,4378.00000,4148.00000,1897.00000,2384.00000,1.80000,1.43000,1.42650,0.36670,0.67060,100.00000,57.01720,57.01720,52.63230,46.88660,0.08520,1.87450,48.01240,10.45290,-39.72280,3.99370,6.08790,18.75420,2.2206,2.1211
