Date,revenue,cost-goods-sold,gross-profit,selling-general-administrative-expenses,operating-expenses,operating-income,total-non-operating-income-expense,pre-tax-income,total-provision-income-taxes,income-after-taxes,income-from-continuous-operations,net-income,ebitda,ebit,basic-shares-outstanding,shares-outstanding,eps-basic-net-earnings-per-share,eps-earnings-per-share-diluted,current-ratio,gross-margin,operating-margin,ebit-margin,pre-tax-profit-margin,net-profit-margin,asset-turnover,receiveable-turnover,days-sales-in-receivables,roe,return-on-tangible-equity,roa,roi,book-value-per-share,operating-cash-flow-per-share,free-cash-flow-per-share
2024-09-30,232.10900,151.41400,80.69500,65.76000,74.23100,6.46400,2.04900,8.51300,5.27400,3.23900,3.23900,1.19000,14.93500,6.46400,82.84730,233.11870,0.01000,0.01000,1.71330,34.76600,2.78490,2.78490,3.66770,0.51270,0.64010,19.25420,4.67430,1.71560,2.92380,0.89330,1.71560,0.83660,-0.2931,-0.2113
2024-06-30,220.37900,144.47700,75.90200,64.15000,71.70500,4.19700,1.91700,6.11400,6.39600,-0.28200,-0.28200,-0.10000,11.75200,4.19700,80.04910,80.04910,0.00000,0.00000,1.65790,34.44160,1.90440,1.90440,2.77430,-0.04540,0.64680,21.85220,4.11860,-0.15830,-0.28290,-0.08280,-0.15830,0.79030,0.2321,0.1551
2024-03-31,217.42800,144.52300,72.90500,64.27200,71.37300,1.53200,1.55900,3.09100,5.30000,-2.20900,-2.20900,-0.72700,8.63300,1.53200,76.02700,76.02700,-0.01000,-0.01000,1.59980,33.53060,0.70460,0.70460,1.42160,-0.33440,0.63690,16.12010,5.58310,-1.28100,-2.33660,-0.64710,-1.28100,0.76670,0.40650,0.31960
2023-12-31,193.85100,131.84800,62.00300,57.91500,65.53000,-3.52690,1.33500,-2.19200,3.26300,-5.45500,-5.45500,-1.72700,4.08810,-3.52700,68.50800,68.50800,-0.02000,-0.02000,1.66030,31.98490,-1.81940,-1.81940,-1.13080,-0.89090,0.60850,18.43390,4.88230,-3.28360,-5.97780,-1.71230,-3.28360,0.74560,0.0104,-0.0778
2023-09-30,169.88700,116.15900,53.72800,57.02900,65.43000,-11.70200,0.76200,-10.94000,2.42600,-13.36600,-13.36600,-4.17900,-3.30100,-11.70200,69.69880,69.69880,-0.06000,-0.06000,1.62050,31.62570,-6.88810,-6.88810,-6.43960,-2.45990,0.53960,11.32880,7.94430,-8.23360,-15.33110,-4.24560,-8.23360,0.73050,0.4543,0.3746
2023-06-30,165.06200,109.85300,55.20900,61.52300,69.51100,-14.30200,0.28800,-14.01400,2.72000,-16.73400,-16.73400,-5.13900,-6.31400,-14.30200,67.38950,67.38950,-0.08000,-0.08000,1.79010,33.44740,-8.66460,-8.66460,-8.49010,-3.11340,0.55950,18.74850,4.80040,-10.03220,-18.28690,-5.67170,-10.03220,0.75130,-0.1793,-0.2651
2023-03-31,162.36100,107.15400,55.20700,71.53200,77.28700,-22.08000,0.38000,-21.70000,2.80000,-24.50000,-24.50000,-7.26000,-16.32500,-22.08000,65.26000,65.26000,-0.11000,-0.11000,1.75370,34.00260,-13.59930,-13.59930,-13.36530,-4.47150,0.50850,20.01250,4.49720,-14.04870,-24.84330,-7.67330,-14.04870,0.78640,-0.37200,-0.46730
2022-12-31,165.53400,106.60300,58.93100,83.03700,87.29600,-28.36500,0.09100,-28.27400,2.78500,-31.05900,-31.05900,-8.98900,-24.10600,-28.36500,63.53300,63.53300,-0.14000,-0.14000,1.83730,35.60050,-17.13550,-17.13550,-17.08050,-5.43030,0.47250,14.81420,6.07520,-16.27200,-25.48970,-8.86520,-16.27200,0.86340,-0.1279,-0.2269
2022-09-30,148.00400,103.32100,44.68300,61.24300,65.28200,-20.59900,-0.21900,-20.81800,1.83900,-22.65700,-22.65700,-6.61300,-16.56000,-20.59900,64.05800,64.05800,-0.10000,-0.10000,2.36430,30.19040,-13.91790,-13.91790,-14.06580,-4.46810,0.42930,21.14340,4.25660,-10.42890,-14.91690,-6.57150,-10.42890,0.98540,0.1361,0.0205
2022-06-30,143.73600,104.88200,38.85400,61.35200,64.64200,-25.78800,-0.22300,-26.01100,2.33500,-28.34600,-28.34600,-8.33200,-22.49800,-25.78800,63.97600,63.97600,-0.13000,-0.13000,2.91410,27.03150,-17.94120,-17.94120,-18.09640,-5.79670,0.41470,20.09450,4.47880,-11.95060,-16.01740,-8.17840,-11.95060,1.07600,-0.3588,-0.434
2022-03-31,134.93800,99.85800,35.08000,82.38900,85.12600,-50.04600,-0.22200,-50.26800,2.00200,-52.27000,-52.27000,-14.69700,-47.30900,-50.04600,61.80000,61.80000,-0.24000,-0.24000,3.11150,25.99710,-37.08820,-37.08820,-37.25270,-10.89170,0.35820,18.57630,4.84490,-20.03590,-25.20740,-13.87610,-20.03590,1.18680,-0.59880,-0.63840
2021-12-31,130.56500,86.47700,44.08800,79.50800,81.15800,-37.07000,-0.14600,-37.21600,0.90700,-38.12300,-38.12300,-10.40500,-35.42000,-37.07000,56.26600,57.42700,-0.20000,-0.18000,4.07170,33.76710,-28.39200,-28.39200,-28.50380,-7.96920,0.31940,22.39920,4.01800,-12.38960,-14.99010,-9.32720,-12.38960,1.39980,-0.5574,-0.6116
2021-09-30,122.92000,81.22100,41.69900,58.39500,59.40200,-17.70300,-0.01100,-17.71400,1.22500,-18.93900,-18.93900,-5.30000,-16.69600,-17.70300,59.19140,59.19140,-0.09000,-0.09000,5.22940,33.92370,-14.40210,-14.40210,-14.41100,-4.31170,0.29190,15.00120,5.99950,-5.56660,-5.81280,-4.49810,-5.56660,1.55230,-0.1055,-0.1445
2021-06-30,122.80000,84.76000,38.04000,49.31100,50.22500,-12.18500,-0.01700,-12.20200,1.75200,-13.95400,-13.95400,-3.76700,-11.27100,-12.18500,59.16360,59.16360,-0.06000,-0.06000,7.21000,30.97720,-9.92260,-9.92260,-9.93650,-3.06760,0.29610,26.07220,3.45200,-3.93220,-4.07960,-3.36480,-3.93220,1.61910,0.0341,0.0145
2021-03-31,111.82000,79.68700,32.13300,58.78000,59.45400,-27.32100,28.04900,0.72800,0.80400,-0.07600,-0.07600,-0.01700,-26.64700,-27.32100,46.95530,53.41550,0.00000,-0.18000,6.92840,28.73640,-24.43300,-24.43300,0.65100,-0.01520,0.26080,32.99500,2.72770,-0.02080,-0.02150,-0.01770,-0.02080,1.66440,-0.21030,-0.23570
2020-12-31,100.04800,72.09900,27.94900,70.72800,71.44200,-43.49300,4.79400,-38.69900,2.91900,-41.61800,-0.57500,-0.57500,-42.77900,-43.49300,43.58000,43.58000,-0.01000,-0.01000,0.73440,27.93560,-43.47210,-43.47210,-38.68040,-0.57470,0.32420,128.43130,0.70080,0.21510,0.20750,-0.18630,0.21510,-1.30540,0.3712,0.3283
2020-09-30,78.23700,47.10700,31.13000,57.15600,57.60800,-26.47800,-0.01600,-26.49400,,-26.49400,-26.49400,-26.49400,-26.02600,-26.47800,0.00000,0.00000,0.00000,0.00000,,39.78940,-33.84330,-33.84330,-33.86380,-33.86380,,,,,,,,,0,0
2020-06-30,65.03800,49.28700,15.75100,65.84400,66.30100,-50.55000,-0.04000,-50.59000,,-50.59000,-50.59000,-50.59000,-50.09300,-50.55000,,,,0.00000,,24.21820,-77.72380,-77.72380,-77.78530,-77.78530,,,,,,,,,0,0
2020-03-31,35.17700,22.38000,12.79700,25.23600,25.69500,-12.89800,-0.04500,-12.94300,,-12.94300,-12.94300,-12.94300,-12.43900,-12.89800,,,,0.00000,,36.37890,-36.66600,-36.66600,-36.79390,-36.79390,,,,,,,,,0.00000,
2019-12-31,,,,,,,,,,,,,,,,,,0.00000,,,,,,,,,,,,,,,0,0
