Stock,Sector
0101.HK,Real Estate
1038.HK,Utilities
1044.HK,Consumer Defensive
1088.HK,Energy
1093.HK,Healthcare
1099.HK,Healthcare
1109.HK,Real Estate
1113.HK,Real Estate
1177.HK,Healthcare
0011.HK,Financial Services
1209.HK,Real Estate
1211.HK,Consumer Cyclical
1299.HK,Financial Services
0012.HK,Real Estate
1378.HK,Basic Materials
1398.HK,Financial Services
0016.HK,Real Estate
0175.HK,Consumer Cyclical
0017.HK,Real Estate
1810.HK,Technology
1876.HK,Consumer Defensive
1928.HK,Consumer Cyclical
1929.HK,Consumer Cyclical
1997.HK,Real Estate
0001.HK,Industrials
2015.HK,Consumer Cyclical
2020.HK,Consumer Cyclical
2269.HK,Healthcare
2313.HK,Consumer Cyclical
2318.HK,Financial Services
2319.HK,Consumer Defensive
2331.HK,Consumer Cyclical
2359.HK,Healthcare
2382.HK,Technology
2388.HK,Financial Services
0241.HK,Healthcare
2628.HK,Financial Services
0267.HK,Industrials
2688.HK,Utilities
0027.HK,Consumer Cyclical
0285.HK,Technology
0288.HK,Consumer Defensive
2899.HK,Basic Materials
0291.HK,Consumer Defensive
0002.HK,Utilities
0316.HK,Industrials
0322.HK,Consumer Defensive
3690.HK,Consumer Cyclical
3692.HK,Healthcare
0386.HK,Energy
0388.HK,Financial Services
3968.HK,Financial Services
3988.HK,Financial Services
0003.HK,Utilities
0005.HK,Financial Services
6618.HK,Healthcare
6690.HK,Consumer Cyclical
0669.HK,Industrials
0066.HK,Industrials
6862.HK,Consumer Cyclical
0688.HK,Real Estate
0006.HK,Utilities
0700.HK,Communication Services
0762.HK,Communication Services
0823.HK,Real Estate
0836.HK,Utilities
0857.HK,Energy
0868.HK,Basic Materials
0881.HK,Consumer Cyclical
0883.HK,Energy
0939.HK,Financial Services
0941.HK,Communication Services
0960.HK,Real Estate
9618.HK,Consumer Cyclical
9633.HK,Consumer Defensive
0968.HK,Technology
0981.HK,Technology
9888.HK,Communication Services
0992.HK,Technology
9961.HK,Consumer Cyclical
9988.HK,Consumer Cyclical
9999.HK,Communication Services
